index,run,trial,onset,duration,cond,repType,repCount,word,pic,resp,respRT,ISIresp,ISIrespRT
1,1,1,10.0051,1.9979,WO,4,1,SHEEP,general_store,R,1.6131,NR,3.0000
2,1,2,22.0661,-10.0645,WO,4,1,TRAY,office_building,UR,1.5314,NR,3.0000
3,1,3,34.1215,-22.1196,WI,2,1,HONEY,pantry,R,1.2122,NR,3.0000
4,1,4,46.1783,-34.1762,WO,4,1,SQUIRREL,bamboo_forest,R,2.2762,NR,3.0000
5,1,5,58.2365,-46.2358,WO,2,1,BIBLE,river,NR,999.0000,UR,3.0428
6,1,6,70.2923,-58.2902,WI,4,1,SLIPPER,cockpit,UR,1.5977,NR,3.0000
7,1,7,82.3500,-70.3480,WI,4,1,SHOVEL,hospital_room,NR,999.0000,UR,3.1266
8,1,8,94.4072,-82.4054,WI,4,1,HAM,toyshop,UR,1.4815,NR,3.0000
9,1,9,106.4641,-94.4627,WO,4,2,TRAY,office_building,UR,2.0396,NR,3.0000
10,1,10,118.5211,-106.5196,WI,2,1,WOLF,garage,UR,1.5978,NR,3.0000
11,1,11,130.5777,-118.5761,WO,4,1,ACCORDIAN,cliff,UR,1.8010,NR,3.0000
12,1,12,142.6343,-130.6328,WI,4,1,GEESE,synagogue,UR,1.7524,NR,3.0000
13,1,13,154.6911,-142.6891,WO,4,1,NEST,ocean,R,1.7242,NR,3.0000
14,1,14,166.7483,-154.7471,WI,2,1,YACHT,brewery,UR,1.5787,NR,3.0000
15,1,15,178.8053,-166.8035,WI,2,1,CLARINET,stable,NR,999.0000,UR,3.3158
16,1,16,190.8622,-178.8615,WI,2,1,ANCHOR,riding_arena,UR,1.2619,NR,3.0000
17,1,17,202.9197,-190.9184,WO,4,2,ACCORDIAN,cliff,UR,2.1552,NR,3.0000
18,1,18,214.9764,-202.9752,WI,4,1,BASKET,ballroom,UR,1.6249,NR,3.0000
19,1,19,227.0327,-215.0309,WO,2,1,PENCIL,mausoleum,UR,1.5670,NR,3.0000
