index,run,trial,onset,duration,cond,shockCond,shockTrial,target,associate,resp,acc,accSpec,respRT,ISIresp,ISIacc,ISIaccSpec,ISIrespRT
1,1,1,12.0204,9.0707,TO_4,safe,0,TYPEWRITER,fountain,F,M,MI,1.9747,F,M,MI,0.0760
2,1,2,21.1181,9.9332,TO_2,safe,0,CROWN,formal_garden,F,M,MI,1.0491,NR,NR,NR,999.0000
3,1,3,31.0862,10.1929,TI_4,safe,0,MOON,theater,F,M,MI,0.8982,NR,NR,NR,999.0000
4,1,4,41.3061,9.2761,TI_2,safe,0,FAN,banquet_hall,F,M,MI,1.0768,NR,NR,NR,999.0000
5,1,5,50.6084,9.2585,F,safe,0,GEESE,foil,F,CR,CR,1.0381,NR,NR,NR,999.0000
6,1,6,59.8934,9.1268,TI_2,safe,0,TIGER,stable,TO,SM,SMI_Hi,1.9179,NR,NR,NR,999.0000
7,1,7,69.0467,9.6938,TI_2,safe,0,VINE,bar,TO,SM,SMI_Lo,1.9438,NR,NR,NR,999.0000
8,1,8,78.7676,10.6548,F,safe,0,SCORPION,foil,TO,FA,FAO_Lo,1.4992,NR,NR,NR,999.0000
9,1,9,89.4489,11.6224,F,safe,0,GARBAGE,foil,F,CR,CR,1.1411,NR,NR,NR,999.0000
10,1,10,101.0984,10.7119,TO_4,safe,0,WOLF,highway,TO,H,HO_Lo,2.0002,NR,NR,NR,999.0000
11,1,11,111.8366,12.3277,F,safe,0,VIOLIN,foil,TI,FA,FAI_Hi,2.2493,NR,NR,NR,999.0000
12,1,12,124.1908,9.8986,F,safe,0,SCISSORS,foil,TI,FA,FAI_Lo,1.7766,NR,NR,NR,999.0000
13,1,13,134.1162,9.9263,TO_2,safe,0,ROPE,marsh,TI,SM,SMO_Lo,2.1931,NR,NR,NR,999.0000
14,1,14,144.0692,9.5384,TI_2,safe,0,CORAL,limousine_interior,TI,H,HI_Lo,2.8513,TI,H,HI_Lo,0.0801
15,1,15,153.6343,10.4746,TO_2,safe,0,LAMP,power_plant,TO,H,HO_Lo,1.3627,NR,NR,NR,999.0000
16,1,16,164.1361,9.4193,TO_4,safe,0,PIE,manufactured_home,TI,SM,SMO_Lo,1.3104,NR,NR,NR,999.0000
17,1,17,173.5820,9.3948,TI_4,safe,0,PIANO,elevator,TI,H,HI_Lo,1.1486,NR,NR,NR,999.0000
18,1,18,183.0036,9.6889,TO_4,safe,0,SHEEP,forest_path,TO,H,HO_Lo,1.8987,NR,NR,NR,999.0000
19,1,19,192.7196,10.5545,F,safe,0,PEARL,foil,F,CR,CR,2.4607,NR,NR,NR,999.0000
20,1,20,203.3008,10.9990,TI_4,safe,0,CEREAL,florist_shop,TI,H,HI_Hi,1.7994,NR,NR,NR,999.0000
21,1,21,214.3266,12.3324,TI_2,safe,0,NIGHTGOWN,office,F,M,MI,1.3961,NR,NR,NR,999.0000
22,1,22,226.6862,11.9447,F,safe,0,SHARK,foil,TO,FA,FAO_Lo,2.0652,NR,NR,NR,999.0000
23,1,23,238.6576,10.1093,TO_2,safe,0,SNOW,islet,F,M,MI,2.0506,NR,NR,NR,999.0000
24,1,24,248.7936,11.3398,TI_4,safe,0,SHOVEL,badminton_court,TI,H,HI_Hi,2.1721,NR,NR,NR,999.0000
25,1,25,260.1606,9.7570,F,safe,0,COFFEE,foil,TI,FA,FAI_Lo,2.5212,NR,NR,NR,999.0000
26,1,26,269.9443,11.1899,TO_4,safe,0,WRENCH,ice_shelf,TI,SM,SMO_Lo,1.9454,NR,NR,NR,999.0000
27,1,27,281.1616,11.2693,TI_4,safe,0,CAMERA,dining_room,TI,H,HI_Lo,1.5226,NR,NR,NR,999.0000
28,1,28,292.4576,11.6833,TO_4,safe,0,TROPHY,construction_site,TI,SM,SMO_Lo,1.1469,NR,NR,NR,999.0000
29,1,29,304.1674,9.1030,F,safe,0,PAN,foil,F,CR,CR,1.5943,NR,NR,NR,999.0000
30,1,30,313.2984,9.3775,TI_2,safe,0,MANURE,music_studio,TO,SM,SMI_Lo,1.9567,NR,NR,NR,999.0000
31,1,31,322.7028,9.9911,TO_2,safe,0,BALLOON,balcony,TO,H,HO_Lo,2.4769,NR,NR,NR,999.0000
32,1,32,332.7209,9.9166,TO_2,safe,0,OYSTER,plaza,TI,SM,SMO_Lo,1.6693,NR,NR,NR,999.0000
33,1,33,342.6652,9.7624,TO_2,safe,0,CHICKEN,phone_booth,TO,H,HO_Lo,1.7161,NR,NR,NR,999.0000
34,1,34,352.4546,10.0995,TI_4,safe,0,PENNY,dentists_office,TO,SM,SMI_Hi,2.0345,NR,NR,NR,999.0000
35,1,35,362.5811,10.3754,TI_2,safe,0,OPIUM,bookstore,TO,SM,SMI_Lo,1.7522,NR,NR,NR,999.0000
