index,run,trial,onset,duration,cond,shockCond,shockTrial,target,associate,resp,acc,accSpec,respRT,ISIresp,ISIacc,ISIaccSpec,ISIrespRT
1,1,1,12.0273,9.5411,F,threat,0,SCREWDRIVER,foil,TI,FA,FAI_Hi,2.2377,NR,NR,NR,999.0000
2,1,2,21.5972,11.2667,TO_4,threat,0,ROPE,igloo,F,M,MI,1.1214,NR,NR,NR,999.0000
3,1,3,32.9018,11.9231,TI_2,threat,1,ARMOR,beauty_salon,TO,SM,SMI_Lo,1.1529,NR,NR,NR,999.0000
4,1,4,44.9635,10.0881,TI_2,threat,0,GLOBE,swimming_pool,TO,SM,SMI_Hi,1.4554,NR,NR,NR,999.0000
5,1,5,55.0825,10.7080,TO_4,threat,0,OPIUM,orchard,TI,SM,SMO_Hi,2.0326,NR,NR,NR,999.0000
6,1,6,65.8213,11.3361,TO_2,threat,0,TRIBE,motel,TO,H,HO_Hi,1.4215,NR,NR,NR,999.0000
7,1,7,77.1887,9.1236,TI_4,threat,0,SOAP,assembly_line,TO,SM,SMI_Hi,1.4279,NR,NR,NR,999.0000
8,1,8,86.3432,11.6184,TO_2,threat,0,CROWN,picnic_area,TO,H,HO_Hi,1.4089,NR,NR,NR,999.0000
9,1,9,97.9925,9.1461,TI_2,threat,0,HELMET,jewelry_shop,TI,H,HI_Hi,1.2464,NR,NR,NR,999.0000
10,1,10,107.1696,9.4187,TI_2,threat,0,RICE,car_interior,TI,H,HI_Hi,1.5345,NR,NR,NR,999.0000
11,1,11,116.6194,9.3731,TI_4,threat,0,OTTER,basement,TO,SM,SMI_Hi,1.1539,NR,NR,NR,999.0000
12,1,12,126.0235,9.2515,F,threat,0,HIGHWAY,foil,F,CR,CR,1.5050,NR,NR,NR,999.0000
13,1,13,135.3064,9.6851,F,threat,0,BONE,foil,F,CR,CR,1.3993,NR,NR,NR,999.0000
14,1,14,145.0225,11.9401,TO_4,threat,0,BOWL,park,TI,SM,SMO_Hi,2.0339,NR,NR,NR,999.0000
15,1,15,156.9936,11.1849,F,threat,0,DIAMOND,foil,TI,FA,FAI_Lo,1.7293,NR,NR,NR,999.0000
16,1,16,168.2101,10.3711,TI_4,threat,0,DOVE,jail_cell,TO,SM,SMI_Hi,1.9469,NR,NR,NR,999.0000
17,1,17,178.6122,9.8053,F,threat,0,COFFEE,foil,TO,FA,FAO_Lo,2.0657,NR,NR,NR,999.0000
18,1,18,188.4483,9.7529,TI_2,threat,0,SHELL,lobby,TI,H,HI_Hi,1.4446,NR,NR,NR,999.0000
19,1,19,198.2327,9.1778,TI_4,threat,0,SCROLL,archive,F,M,MI,1.4256,NR,NR,NR,999.0000
20,1,20,207.4416,11.6794,TO_2,threat,0,QUILL,boathouse,TO,H,HO_Hi,1.7907,NR,NR,NR,999.0000
21,1,21,219.1521,9.1141,F,threat,0,GLOVE,foil,TI,FA,FAI_Lo,1.3627,NR,NR,NR,999.0000
22,1,22,228.2978,9.0562,F,threat,0,PUMPKIN,foil,F,CR,CR,2.5363,NR,NR,NR,999.0000
23,1,23,237.3850,9.6891,TO_4,threat,0,CEREAL,ice_floe,TO,H,HO_Hi,1.5991,NR,NR,NR,999.0000
24,1,24,247.1052,10.9937,TO_2,threat,0,BLANKET,arch,TI,SM,SMO_Lo,1.6233,NR,NR,NR,999.0000
25,1,25,258.1305,10.5522,F,threat,0,MEDICINE,foil,F,CR,CR,1.6142,NR,NR,NR,999.0000
26,1,26,268.7138,9.9108,TO_2,threat,0,BATON,cliff,TI,SM,SMO_Hi,1.7108,NR,NR,NR,999.0000
27,1,27,278.6555,9.8931,F,threat,0,KILT,foil,F,CR,CR,1.5282,NR,NR,NR,999.0000
28,1,28,288.5807,10.1037,TO_2,threat,0,APPLE,lift_bridge,TI,SM,SMO_Lo,2.4172,NR,NR,NR,999.0000
29,1,29,298.9424,9.4061,TI_4,threat,0,TRAY,classroom,TO,SM,SMI_Hi,2.1723,NR,NR,NR,999.0000
30,1,30,308.3800,9.7521,TI_2,threat,0,TROPHY,pulpit,TI,H,HI_Hi,2.6464,NR,NR,NR,999.0000
31,1,31,318.1635,9.2732,TO_4,threat,0,BIBLE,athletic_field,TO,H,HO_Hi,2.7219,NR,NR,NR,999.0000
32,1,32,327.4680,9.3896,TI_4,threat,0,TORNADO,hospital_room,TI,H,HI_Hi,1.8798,NR,NR,NR,999.0000
33,1,33,336.8890,10.0944,F,threat,0,QUARTER,foil,F,CR,CR,2.0513,NR,NR,NR,999.0000
34,1,34,347.0150,10.4673,TO_2,threat,0,CANARY,canyon,TI,SM,SMO_Hi,2.1481,NR,NR,NR,999.0000
35,1,35,357.5135,10.6514,F,threat,0,BOAT,foil,TI,FA,FAI_Lo,2.0403,NR,NR,NR,999.0000
36,1,36,368.1963,9.0987,F,threat,0,PASTE,foil,TO,FA,FAO_Lo,1.8392,NR,NR,NR,999.0000
37,1,37,377.3258,9.7617,TI_2,threat,0,BABY,natural_history_museum,F,M,MI,1.1748,NR,NR,NR,999.0000
38,1,38,387.1190,9.9193,TO_4,threat,0,DAISY,forest_needleleaf,TI,SM,SMO_Hi,2.8358,NR,NR,NR,999.0000
39,1,39,397.0699,9.9879,F,threat,0,MOON,foil,TO,FA,FAO_Hi,2.1282,NR,NR,NR,999.0000
40,1,40,407.0895,12.3212,F,threat,0,SPATULA,foil,TI,FA,FAI_Hi,2.9455,NR,NR,NR,999.0000
41,1,41,419.4423,10.5668,TO_4,threat,0,WORM,kasbah,TO,H,HO_Hi,2.2005,NR,NR,NR,999.0000
42,1,42,430.0402,12.3288,TI_4,threat,0,MITTEN,cloister,TI,H,HI_Hi,2.7086,NR,NR,NR,999.0000
43,2,1,12.0052,12.3500,TI_4,safe,0,EAGLE,garage,TI,H,HI_Hi,1.7593,NR,NR,NR,999.0000
44,2,2,24.3865,10.3698,TO_4,safe,0,HONEY,inn,F,M,MI,1.2395,NR,NR,NR,999.0000
45,2,3,34.7866,9.8958,F,safe,0,NEEDLE,foil,TI,FA,FAI_Lo,1.7482,NR,NR,NR,999.0000
46,2,4,44.7125,9.9121,TI_4,safe,0,SCOOTER,closet,TO,SM,SMI_Hi,1.5442,NR,NR,NR,999.0000
47,2,5,54.6542,9.1005,F,safe,0,RING,foil,F,CR,CR,1.6622,NR,NR,NR,999.0000
48,2,6,63.7858,9.1247,TO_4,safe,0,DOUGHNUT,forest_path,TI,SM,SMO_Hi,1.9984,NR,NR,NR,999.0000
49,2,7,72.9407,9.6880,TI_2,safe,0,ROSE,parlor,TO,SM,SMI_Lo,2.0153,NR,NR,NR,999.0000
50,2,8,82.6595,9.6312,TI_4,safe,0,ASPARAGUS,childs_room,F,M,MI,2.3689,NR,NR,NR,999.0000
51,2,9,92.3208,9.4183,F,safe,0,LION,foil,TI,FA,FAI_Hi,2.3522,NR,NR,NR,999.0000
52,2,10,101.7691,9.1778,F,safe,0,RIFLE,foil,TO,FA,FAO_Hi,0.9558,NR,NR,NR,999.0000
53,2,11,110.9766,9.9322,TO_2,safe,0,OWL,ice_shelf,TI,SM,SMO_Lo,2.3589,NR,NR,NR,999.0000
54,2,12,120.9395,9.7526,TI_2,safe,0,JACKET,computer_room,F,M,MI,1.2203,NR,NR,NR,999.0000
55,2,13,130.7222,10.1978,TO_4,safe,0,LAMB,ocean,TO,H,HO_Lo,1.3873,NR,NR,NR,999.0000
56,2,14,140.9502,9.2756,TI_4,safe,0,SEAWEED,fastfood_restaurant,TO,SM,SMI_Hi,1.6885,NR,NR,NR,999.0000
57,2,15,150.2556,11.1848,TO_2,safe,0,MAP,gazebo,TI,SM,SMO_Hi,2.6465,NR,NR,NR,999.0000
58,2,16,161.4709,10.1072,TI_4,safe,0,TWEEZERS,bathroom,TO,SM,SMI_Hi,2.4791,NR,NR,NR,999.0000
59,2,17,171.6083,9.1463,TI_4,safe,0,HARPOON,clothing_store,TI,H,HI_Hi,2.4966,NR,NR,NR,999.0000
60,2,18,180.7853,9.9217,TO_4,safe,0,POTATO,greenhouse,TI,SM,SMO_Hi,2.7832,NR,NR,NR,999.0000
61,2,19,190.7372,9.2512,F,safe,0,SCISSORS,foil,F,CR,CR,1.2097,NR,NR,NR,999.0000
62,2,20,200.0187,9.3744,TO_4,safe,0,MANURE,hayfield,TI,SM,SMO_Hi,2.1543,NR,NR,NR,999.0000
63,2,21,209.4234,9.7621,F,safe,0,CRAB,foil,TO,FA,FAO_Lo,3.2305,NR,NR,NR,999.0000
64,2,22,219.2159,9.5352,F,safe,0,MILK,foil,F,CR,CR,2.4661,NR,NR,NR,999.0000
