index,run,trial,onset,duration,cond,shockCond,shockTrial,target,associate,resp,acc,accSpec,respRT,ISIresp,ISIacc,ISIaccSpec,ISIrespRT
1,1,1,12.0273,9.9266,F,threat,0,SYRUP,foil,F,CR,CR,1.3784,NR,NR,NR,999.0000
2,1,2,21.9825,9.8076,TO_4,threat,0,BONE,ruin,TI,SM,SMO_Lo,2.4161,NR,NR,NR,999.0000
3,1,3,31.8264,9.2461,TO_2,threat,0,ROSARY,ice_shelf,TO,H,HO_Lo,2.9510,NR,NR,NR,999.0000
4,1,4,41.1005,9.7651,F,threat,0,QUAIL,foil,TI,FA,FAI_Lo,2.8912,NR,NR,NR,999.0000
5,1,5,50.8932,12.3245,TO_4,threat,0,HAMMER,igloo,TO,H,HO_Lo,3.0068,NR,NR,NR,999.0000
6,1,6,63.2462,10.0981,TI_2,threat,0,CUCUMBER,playroom,TI,H,HI_Hi,2.8343,NR,NR,NR,999.0000
7,1,7,73.3720,9.2761,F,threat,0,DRUG,foil,NR,NR,NR,999.0000,TI,FA,FAI_Lo,0.1006
8,1,8,82.6760,9.5388,F,threat,0,SCISSORS,foil,TI,FA,FAI_Lo,2.7265,NR,NR,NR,999.0000
9,1,9,92.2434,11.3377,F,threat,0,TULIP,foil,NR,NR,NR,999.0000,NR,NR,NR,999.0000
10,1,10,103.6090,9.1025,TO_4,threat,0,MEDAL,general_store,TO,H,HO_Hi,3.8227,NR,NR,NR,999.0000
11,1,11,112.7389,9.8976,TO_2,threat,0,BANDAGE,desert,TO,H,HO_Hi,2.5519,NR,NR,NR,999.0000
12,1,12,122.6649,9.9908,TI_4,threat,0,BRACELET,museum,TI,H,HI_Hi,2.3906,NR,NR,NR,999.0000
13,1,13,132.6837,9.9329,TI_4,threat,0,HELMET,archive,TI,H,HI_Hi,2.2137,NR,NR,NR,999.0000
14,1,14,142.6445,9.3770,TO_4,threat,0,WORM,canal,TO,H,HO_Hi,2.5208,NR,NR,NR,999.0000
15,1,15,152.0500,11.1866,TI_2,threat,0,QUARTER,brewery,TI,H,HI_Hi,2.5538,NR,NR,NR,999.0000
16,1,16,163.2647,9.1483,F,threat,0,GARBAGE,foil,F,CR,CR,3.3634,NR,NR,NR,999.0000
17,1,17,172.4409,9.4213,TI_4,threat,0,CORAL,television_studio,TI,H,HI_Hi,2.4613,NR,NR,NR,999.0000
18,1,18,181.8908,10.7113,F,threat,0,CANE,foil,F,CR,CR,2.2131,NR,NR,NR,999.0000
19,1,19,192.6301,9.6909,TI_4,threat,0,BROWNIE,burial_chamber,TI,H,HI_Lo,3.7696,NR,NR,NR,999.0000
20,1,20,202.3490,10.1980,F,threat,0,EMPEROR,foil,F,CR,CR,1.7525,NR,NR,NR,999.0000
21,1,21,212.5750,9.1799,F,threat,0,SUNBURN,foil,F,CR,CR,1.6180,NR,NR,NR,999.0000
22,1,22,221.7829,10.3736,TO_4,threat,0,TOBACCO,pavilion,NR,NR,NR,999.0000,NR,NR,NR,999.0000
23,1,23,232.1845,9.0613,F,threat,0,ORCHID,foil,TI,FA,FAI_Lo,2.8006,NR,NR,NR,999.0000
24,1,24,241.2741,9.7552,TO_4,threat,0,TEETH,rope_bridge,TO,H,HO_Lo,3.5723,NR,NR,NR,999.0000
25,1,25,251.0572,9.7572,TI_4,threat,0,CROWN,music_store,TI,H,HI_Lo,3.0193,NR,NR,NR,999.0000
26,1,26,260.8424,9.3916,TI_2,threat,0,PEARL,stable,NR,NR,NR,999.0000,NR,NR,NR,999.0000
27,1,27,270.2626,9.1172,TI_4,threat,0,YACHT,airplane_cabin,TO,SM,SMI_Hi,2.7865,TI,H,HI_Hi,0.0170
28,1,28,279.4076,11.2678,TO_2,threat,0,KNIFE,chalet,TI,SM,SMO_Lo,2.0485,NR,NR,NR,999.0000
29,1,29,290.7034,9.9143,TI_4,threat,0,GLOVE,kennel,TI,H,HI_Hi,2.5892,NR,NR,NR,999.0000
30,1,30,300.6464,10.5694,F,threat,0,PANTS,foil,F,CR,CR,2.4520,NR,NR,NR,999.0000
31,1,31,311.2440,12.3309,TO_2,threat,0,ARMOR,driving_range,TI,SM,SMO_Hi,2.2231,NR,NR,NR,999.0000
32,1,32,323.6031,10.6545,TO_2,threat,0,BARREL,fire_station,TO,H,HO_Hi,2.7523,NR,NR,NR,999.0000
33,1,33,334.2862,11.9433,TI_2,threat,0,NEST,shopping_mall,TI,H,HI_Lo,2.2373,NR,NR,NR,999.0000
34,1,34,346.2575,10.5542,TI_2,threat,0,ROPE,jail_cell,F,M,MI,1.6021,NR,NR,NR,999.0000
35,1,35,356.8405,11.6825,TO_4,threat,0,GLOBE,crosswalk,TO,H,HO_Lo,3.4706,NR,NR,NR,999.0000
36,1,36,368.5512,9.1264,F,threat,0,ROCKER,foil,F,CR,CR,1.1770,NR,NR,NR,999.0000
37,1,37,377.7059,9.6878,TI_2,threat,0,SHARK,music_studio,TI,H,HI_Hi,3.0529,NR,NR,NR,999.0000
38,1,38,387.4224,10.4706,TO_2,threat,0,ICICLE,castle,TO,H,HO_Hi,2.0787,NR,NR,NR,999.0000
39,1,39,397.9212,11.6217,TI_2,threat,0,BATON,office,F,M,MI,3.1906,NR,NR,NR,999.0000
40,1,40,409.5733,11.6328,F,threat,1,FORK,foil,F,CR,CR,3.9226,NR,NR,NR,999.0000
41,1,41,421.3412,10.8897,F,threat,0,PUDDLE,foil,F,CR,CR,2.5093,NR,NR,NR,999.0000
42,1,42,432.2623,10.1055,TO_2,threat,0,HOOK,mountain,F,M,MI,3.6752,TO,H,HO_Hi,1.2626
