index	block	cond	shockCond	shockTrial	term	ForS	condID	wordID	wordName	imgID	imgName	imgFile	imgType	subType	repType
1	1	F	safe	0	F	FOIL	F_9	W206	wwTRIBE	FOIL	FOIL	FOIL	FOIL	FOIL	0
2	1	TO_2	safe	0	TO_2	Outdoor	WO_3	W197	wwGLOBE	Outdoor119	rope_bridge	outdoor_rope_bridge.jpg	outdoor	natural	2
3	1	F	safe	0	F	FOIL	F_4	W153	wwDIAMOND	FOIL	FOIL	FOIL	FOIL	FOIL	0
4	1	TO_2	safe	0	TO_2	Outdoor	WO_1	W230	wwCAMERA	Outdoor28	castle	outdoor_castle.jpg	outdoor	manmade	2
5	1	TI_2	safe	0	TI_2	Indoor	WI_1	W58	wwPASTE	Indoor86	music_store	indoor_music_store.jpg	indoor	indoor	2
6	1	TO_4	safe	0	TO_4	Outdoor	WO_4	W23	wwSALAD	Outdoor70	ice_floe	outdoor_ice_floe.jpg	outdoor	natural	4
7	1	F	safe	0	F	FOIL	F_12	W14	wwACROBAT	FOIL	FOIL	FOIL	FOIL	FOIL	0
8	1	F	safe	0	F	FOIL	F_7	W1	wwSCROLL	FOIL	FOIL	FOIL	FOIL	FOIL	0
9	1	TI_4	safe	0	TI_4	Indoor	WI_4	W119	wwLIME	Indoor21	bathroom	indoor_bathroom.jpg	indoor	indoor	4
10	1	TI_2	safe	0	TI_2	Indoor	WI_11	W128	wwTOAST	Indoor53	dining_room	indoor_dining_room.jpg	indoor	indoor	2
11	1	TI_2	safe	0	TI_2	Indoor	WI_13	W187	wwWORM	Indoor93	optician	indoor_optician.jpg	indoor	indoor	2
12	1	TO_2	safe	0	TO_2	Outdoor	WO_9	W49	wwRASH	Outdoor114	raceway	outdoor_raceway.jpg	outdoor	manmade	2
13	1	TO_4	safe	0	TO_4	Outdoor	WO_8	W152	wwPUMPKIN	Outdoor50	forest_needleleaf	outdoor_forest_needleleaf.jpg	outdoor	natural	4
14	1	TO_4	safe	0	TO_4	Outdoor	WO_6	W163	wwROSE	Outdoor73	igloo	outdoor_igloo.jpg	outdoor	natural	4
15	1	TO_2	safe	0	TO_2	Outdoor	WO_11	W149	wwOWL	Outdoor100	pagoda	outdoor_pagoda.jpg	outdoor	manmade	2
16	1	TI_4	safe	0	TI_4	Indoor	WI_2	W35	wwBOOT	Indoor77	laundromat	indoor_laundromat.jpg	indoor	indoor	4
17	1	F	safe	0	F	FOIL	F_1	W231	wwHAM	FOIL	FOIL	FOIL	FOIL	FOIL	0
18	1	F	safe	0	F	FOIL	F_8	W117	wwHOSE	FOIL	FOIL	FOIL	FOIL	FOIL	0
19	1	F	safe	0	F	FOIL	F_6	W74	wwQUILT	FOIL	FOIL	FOIL	FOIL	FOIL	0
20	1	TO_4	safe	0	TO_4	Outdoor	WO_10	W159	wwSQUIRREL	Outdoor106	phone_booth	outdoor_phone_booth.jpg	outdoor	manmade	4
21	1	TO_4	safe	0	TO_4	Outdoor	WO_2	W200	wwTULIP	Outdoor83	manufactured_home	outdoor_manufactured_home.jpg	outdoor	manmade	4
22	1	F	safe	0	F	FOIL	F_11	W30	wwROCKER	FOIL	FOIL	FOIL	FOIL	FOIL	0
23	1	F	safe	0	F	FOIL	F_3	W170	wwSOOT	FOIL	FOIL	FOIL	FOIL	FOIL	0
24	1	TI_2	safe	0	TI_2	Indoor	WI_9	W6	wwPIGEON	Indoor95	parking_garage	indoor_parking_garage.jpg	indoor	indoor	2
25	1	F	safe	0	F	FOIL	F_2	W13	wwSTOMACH	FOIL	FOIL	FOIL	FOIL	FOIL	0
26	1	F	safe	0	F	FOIL	F_10	W192	wwORCHID	FOIL	FOIL	FOIL	FOIL	FOIL	0
27	1	F	safe	0	F	FOIL	F_14	W76	wwBANDIT	FOIL	FOIL	FOIL	FOIL	FOIL	0
28	1	TI_4	safe	0	TI_4	Indoor	WI_6	W34	wwFLASK	Indoor55	drugstore	indoor_drugstore.jpg	indoor	indoor	4
29	1	TI_4	safe	0	TI_4	Indoor	WI_10	W57	wwSHOWER	Indoor117	throne_room	indoor_throne_room.jpg	indoor	indoor	4
