index	block	cond	term	ForS	condID	wordID	wordName	imgID	imgName	imgFile	imgType	subType
1	1	TO	TO	outdoor	WO_4	W1	wwTHORN	Scene2	apartment_building	outdoor_apartment_building.jpg	outdoor	none
2	1	TO	TO	outdoor	WO_5	W10	wwPHONE	Scene1	alley	outdoor_alley.jpg	outdoor	none
3	1	TI	TI	indoor	WI4	W4	wwABACUS	Indoor2	utility_room	indoor_utility_room.jpg	indoor	none
4	1	F	F	FOIL	F2	W6	wwBADGE	FOIL	FOIL	FOIL	FOIL	FOIL
5	1	F	F	FOIL	F1	W5	wwTENNIS	FOIL	FOIL	FOIL	FOIL	FOIL
6	1	TO	TO	outdoor	WO_2	W7	wwCARRIAGE	Scene5	lake	outdoor_lake.jpg	outdoor	none
7	1	TO	TO	outdoor	WO_1	W13	wwKETTLE	Scene3	rainforest	outdoor_rainforest.jpg	outdoor	none
8	1	F	F	FOIL	F3	W9	wwRATTLE	FOIL	FOIL	FOIL	FOIL	FOIL
9	1	TI	TI	indoor	WI1	W3	wwPURSE	Indoor4	organ_loft	indoor_organ_loft.jpg	indoor	none
10	1	TO	TO	outdoor	WO_3	W2	wwKING	Scene4	residential_neighborhood	outdoor_residential_neighborhood.jpg	outdoor	none
11	1	TI	TI	indoor	WI3	W8	wwSKILLET	Indoor5	staircase	indoor_staircase.jpg	indoor	none
12	1	TI	TI	indoor	WI2	W11	wwLOBSTER	Indoor3	poolroom	indoor_poolroom.jpg	indoor	none
13	1	TI	TI	indoor	WI5	W12	wwMARBLE	Indoor1	berth	indoor_berth.jpg	indoor	none
