index	block	cond	term	ForS	condID	wordID	wordName	imgID	imgName	imgFile	imgType	subType	repType	repCount
1	1	WI	WI	Indoor	WI_13	W11	wwPOWDER	Indoor100	restaurant	indoor_restaurant.jpg	indoor	indoor	2	1
2	1	WO	WO	Outdoor	WO_13	W49	wwRASH	Outdoor13	bayou	outdoor_bayou.jpg	outdoor	natural	2	1
3	1	WO	WO	Outdoor	WO_5	W145	wwBIBLE	Outdoor83	manufactured_home	outdoor_manufactured_home.jpg	outdoor	manmade	2	1
4	1	WI	WI	Indoor	WI_12	W38	wwTOBACCO	Indoor50	cubicle	indoor_cubicle.jpg	indoor	indoor	4	1
5	1	WO	WO	Outdoor	WO_3	W207	wwLAMP	Outdoor64	highway	outdoor_highway.jpg	outdoor	natural	2	1
6	1	WO	WO	Outdoor	WO_10	W162	wwDESK	Outdoor98	oil_refinery	outdoor_oil_refinery.jpg	outdoor	manmade	4	1
7	1	WI	WI	Indoor	WI_4	W155	wwBAYONET	Indoor107	squash_court	indoor_squash_court.jpg	indoor	indoor	4	1
8	1	WI	WI	Indoor	WI_14	W227	wwROCK	Indoor1	airplane_cabin	indoor_airplane_cabin.jpg	indoor	indoor	4	1
9	1	WO	WO	Outdoor	WO_8	W171	wwSARDINE	Outdoor88	mosque	outdoor_mosque.jpg	outdoor	manmade	4	1
10	1	WI	WI	Indoor	WI_10	W124	wwSNAIL	Indoor30	brewery	indoor_brewery.jpg	indoor	indoor	4	1
11	1	WI	WI	Indoor	WI_4	W155	wwBAYONET	Indoor107	squash_court	indoor_squash_court.jpg	indoor	indoor	4	2
12	1	WI	WI	Indoor	WI_9	W28	wwMUSTARD	Indoor8	assembly_line	indoor_assembly_line.jpg	indoor	indoor	2	1
13	1	WO	WO	Outdoor	WO_6	W62	wwSHOVEL	Outdoor78	landing_deck	outdoor_landing_deck.jpg	outdoor	manmade	4	1
14	1	WI	WI	Indoor	WI_5	W27	wwSOUP	Indoor88	museum	indoor_museum.jpg	indoor	indoor	2	1
15	1	WI	WI	Indoor	WI_2	W72	wwTYPEWRITER	Indoor81	living_room	indoor_living_room.jpg	indoor	indoor	4	1
16	1	WI	WI	Indoor	WI_6	W141	wwTORNADO	Indoor17	ballroom	indoor_ballroom.jpg	indoor	indoor	4	1
17	1	WO	WO	Outdoor	WO_4	W64	wwJACKET	Outdoor65	hill	outdoor_hill.jpg	outdoor	natural	4	1
18	1	WO	WO	Outdoor	WO_2	W22	wwDOUGHNUT	Outdoor61	hayfield	outdoor_hayfield.jpg	outdoor	natural	4	1
19	1	WO	WO	Outdoor	WO_2	W22	wwDOUGHNUT	Outdoor61	hayfield	outdoor_hayfield.jpg	outdoor	natural	4	2
20	1	WI	WI	Indoor	WI_2	W72	wwTYPEWRITER	Indoor81	living_room	indoor_living_room.jpg	indoor	indoor	4	2
21	1	WO	WO	Outdoor	WO_6	W62	wwSHOVEL	Outdoor78	landing_deck	outdoor_landing_deck.jpg	outdoor	manmade	4	2
22	1	WI	WI	Indoor	WI_11	W51	wwEMPEROR	Indoor5	archive	indoor_archive.jpg	indoor	indoor	2	1
23	1	WO	WO	Outdoor	WO_12	W107	wwCRADLE	Outdoor10	baseball_field	outdoor_baseball_field.jpg	outdoor	manmade	4	1
24	1	WO	WO	Outdoor	WO_9	W89	wwBOAT	Outdoor95	oilrig	outdoor_oilrig.jpg	outdoor	manmade	2	1
25	1	WO	WO	Outdoor	WO_8	W171	wwSARDINE	Outdoor88	mosque	outdoor_mosque.jpg	outdoor	manmade	4	2
26	1	WI	WI	Indoor	WI_6	W141	wwTORNADO	Indoor17	ballroom	indoor_ballroom.jpg	indoor	indoor	4	2
