index	block	cond	term	ForS	condID	wordID	wordName	imgID	imgName	imgFile	imgType	subType	repType	repCount
1	1	WO	WO	Outdoor	WO_14	W76	wwBANDIT	Outdoor13	bayou	outdoor_bayou.jpg	outdoor	natural	4	1
2	1	WI	WI	Indoor	WI_1	W97	wwASPARAGUS	Indoor98	pulpit	indoor_pulpit.jpg	indoor	indoor	2	1
3	1	WO	WO	Outdoor	WO_1	W114	wwBUTTER	Outdoor22	butte	outdoor_butte.jpg	outdoor	natural	2	1
4	1	WI	WI	Indoor	WI_8	W84	wwTROLLEY	Indoor104	shoe_shop	indoor_shoe_shop.jpg	indoor	indoor	4	1
5	1	WI	WI	Indoor	WI_12	W13	wwSTOMACH	Indoor52	diner	indoor_diner.jpg	indoor	indoor	4	1
6	1	WI	WI	Indoor	WI_9	W127	wwYACHT	Indoor69	ice_skating_rink	indoor_ice_skating_rink.jpg	indoor	indoor	2	1
7	1	WO	WO	Outdoor	WO_8	W68	wwMEDICINE	Outdoor101	palace	outdoor_palace.jpg	outdoor	manmade	4	1
8	1	WO	WO	Outdoor	WO_14	W76	wwBANDIT	Outdoor13	bayou	outdoor_bayou.jpg	outdoor	natural	4	2
9	1	WI	WI	Indoor	WI_2	W186	wwTURTLE	Indoor120	volleyball_court	indoor_volleyball_court.jpg	indoor	indoor	4	1
10	1	WO	WO	Outdoor	WO_7	W217	wwARROW	Outdoor26	canyon	outdoor_canyon.jpg	outdoor	natural	2	1
11	1	WI	WI	Indoor	WI_7	W106	wwWITCH	Indoor100	restaurant	indoor_restaurant.jpg	indoor	indoor	2	1
12	1	WO	WO	Outdoor	WO_10	W244	wwNOODLE	Outdoor9	barn	outdoor_barn.jpg	outdoor	natural	4	1
13	1	WO	WO	Outdoor	WO_4	W241	wwRAKE	Outdoor83	manufactured_home	outdoor_manufactured_home.jpg	outdoor	manmade	4	1
14	1	WI	WI	Indoor	WI_12	W13	wwSTOMACH	Indoor52	diner	indoor_diner.jpg	indoor	indoor	4	2
15	1	WO	WO	Outdoor	WO_6	W28	wwMUSTARD	Outdoor120	ruin	outdoor_ruin.jpg	outdoor	natural	4	1
16	1	WI	WI	Indoor	WI_8	W84	wwTROLLEY	Indoor104	shoe_shop	indoor_shoe_shop.jpg	indoor	indoor	4	2
17	1	WO	WO	Outdoor	WO_6	W28	wwMUSTARD	Outdoor120	ruin	outdoor_ruin.jpg	outdoor	natural	4	2
18	1	WO	WO	Outdoor	WO_12	W88	wwGOAT	Outdoor111	power_plant	outdoor_power_plant.jpg	outdoor	manmade	4	1
19	1	WI	WI	Indoor	WI_14	W34	wwFLASK	Indoor81	living_room	indoor_living_room.jpg	indoor	indoor	4	1
