,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
27,CR,lh,88.0,epi,DefaultA_IPL,unsmoothed,ap100,-2407.68847656,control
56,FA,lh,88.0,epi,DefaultA_IPL,unsmoothed,ap100,-832.026916504,control
85,sourcehit,lh,88.0,epi,DefaultA_IPL,unsmoothed,ap100,874.730529785,control
114,itemhit_lo,lh,88.0,epi,DefaultA_IPL,unsmoothed,ap100,-1453.74719238,control
143,sourcemiss_hi,lh,88.0,epi,DefaultA_IPL,unsmoothed,ap100,-1149.8527832,control
172,M,lh,88.0,epi,DefaultA_IPL,unsmoothed,ap100,-2173.92407227,control
201,CR,lh,128.0,epi,DefaultA_IPL,unsmoothed,ap101,-1724.00476074,control
230,FA,lh,128.0,epi,DefaultA_IPL,unsmoothed,ap101,112.884597778,control
259,sourcehit,lh,128.0,epi,DefaultA_IPL,unsmoothed,ap101,502.119110107,control
288,itemhit_lo,lh,128.0,epi,DefaultA_IPL,unsmoothed,ap101,-444.337585449,control
317,sourcemiss_hi,lh,128.0,epi,DefaultA_IPL,unsmoothed,ap101,710.927856445,control
346,M,lh,128.0,epi,DefaultA_IPL,unsmoothed,ap101,-1342.6661377,control
375,CR,lh,161.0,epi,DefaultA_IPL,unsmoothed,ap102,-1996.70861816,control
404,FA,lh,161.0,epi,DefaultA_IPL,unsmoothed,ap102,-983.835998535,control
433,sourcehit,lh,161.0,epi,DefaultA_IPL,unsmoothed,ap102,-523.945495605,control
462,itemhit_lo,lh,161.0,epi,DefaultA_IPL,unsmoothed,ap102,-1070.16796875,control
491,sourcemiss_hi,lh,161.0,epi,DefaultA_IPL,unsmoothed,ap102,-249.196228027,control
520,M,lh,161.0,epi,DefaultA_IPL,unsmoothed,ap102,-816.106445312,control
549,CR,lh,122.0,epi,DefaultA_IPL,unsmoothed,ap103,-1136.64916992,control
578,FA,lh,122.0,epi,DefaultA_IPL,unsmoothed,ap103,-777.578857422,control
607,sourcehit,lh,122.0,epi,DefaultA_IPL,unsmoothed,ap103,189.591110229,control
636,itemhit_lo,lh,122.0,epi,DefaultA_IPL,unsmoothed,ap103,-1350.23742676,control
665,sourcemiss_hi,lh,122.0,epi,DefaultA_IPL,unsmoothed,ap103,-1177.65783691,control
694,M,lh,122.0,epi,DefaultA_IPL,unsmoothed,ap103,-1361.38476562,control
723,CR,lh,166.0,epi,DefaultA_IPL,unsmoothed,ap104,-2196.81469727,control
752,FA,lh,166.0,epi,DefaultA_IPL,unsmoothed,ap104,-804.823791504,control
781,sourcehit,lh,166.0,epi,DefaultA_IPL,unsmoothed,ap104,-518.597351074,control
810,itemhit_lo,lh,166.0,epi,DefaultA_IPL,unsmoothed,ap104,-2.05681555121e-10,control
839,sourcemiss_hi,lh,166.0,epi,DefaultA_IPL,unsmoothed,ap104,-1855.01525879,control
868,M,lh,166.0,epi,DefaultA_IPL,unsmoothed,ap104,-1485.23400879,control
