,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
10,CR,lh,56.0,epi,DefaultC_Rsp,unsmoothed,ap100,-591.099243164,control
11,CR,rh,53.0,epi,DefaultC_Rsp,unsmoothed,ap100,-1517.75830078,control
39,FA,lh,56.0,epi,DefaultC_Rsp,unsmoothed,ap100,478.618347168,control
40,FA,rh,53.0,epi,DefaultC_Rsp,unsmoothed,ap100,-42.8079528809,control
68,sourcehit,lh,56.0,epi,DefaultC_Rsp,unsmoothed,ap100,1586.59265137,control
69,sourcehit,rh,53.0,epi,DefaultC_Rsp,unsmoothed,ap100,253.828048706,control
97,itemhit_lo,lh,56.0,epi,DefaultC_Rsp,unsmoothed,ap100,317.327941895,control
98,itemhit_lo,rh,53.0,epi,DefaultC_Rsp,unsmoothed,ap100,-883.60357666,control
126,sourcemiss_hi,lh,56.0,epi,DefaultC_Rsp,unsmoothed,ap100,863.517272949,control
127,sourcemiss_hi,rh,53.0,epi,DefaultC_Rsp,unsmoothed,ap100,-277.784423828,control
155,M,lh,56.0,epi,DefaultC_Rsp,unsmoothed,ap100,-50.8721733093,control
156,M,rh,53.0,epi,DefaultC_Rsp,unsmoothed,ap100,-1032.82434082,control
184,CR,lh,50.0,epi,DefaultC_Rsp,unsmoothed,ap101,781.386108398,control
185,CR,rh,57.0,epi,DefaultC_Rsp,unsmoothed,ap101,1.2726483345,control
213,FA,lh,50.0,epi,DefaultC_Rsp,unsmoothed,ap101,3119.74780273,control
214,FA,rh,57.0,epi,DefaultC_Rsp,unsmoothed,ap101,2221.68676758,control
242,sourcehit,lh,50.0,epi,DefaultC_Rsp,unsmoothed,ap101,3523.3112793,control
243,sourcehit,rh,57.0,epi,DefaultC_Rsp,unsmoothed,ap101,2534.71020508,control
271,itemhit_lo,lh,50.0,epi,DefaultC_Rsp,unsmoothed,ap101,2926.09277344,control
272,itemhit_lo,rh,57.0,epi,DefaultC_Rsp,unsmoothed,ap101,1316.8692627,control
300,sourcemiss_hi,lh,50.0,epi,DefaultC_Rsp,unsmoothed,ap101,3745.80004883,control
301,sourcemiss_hi,rh,57.0,epi,DefaultC_Rsp,unsmoothed,ap101,1809.27392578,control
329,M,lh,50.0,epi,DefaultC_Rsp,unsmoothed,ap101,1820.63598633,control
330,M,rh,57.0,epi,DefaultC_Rsp,unsmoothed,ap101,343.341003418,control
358,CR,lh,50.0,epi,DefaultC_Rsp,unsmoothed,ap102,-2033.26794434,control
359,CR,rh,58.0,epi,DefaultC_Rsp,unsmoothed,ap102,-2217.17651367,control
387,FA,lh,50.0,epi,DefaultC_Rsp,unsmoothed,ap102,-674.791564941,control
388,FA,rh,58.0,epi,DefaultC_Rsp,unsmoothed,ap102,-494.387298584,control
416,sourcehit,lh,50.0,epi,DefaultC_Rsp,unsmoothed,ap102,480.168670654,control
417,sourcehit,rh,58.0,epi,DefaultC_Rsp,unsmoothed,ap102,899.099060059,control
445,itemhit_lo,lh,50.0,epi,DefaultC_Rsp,unsmoothed,ap102,-474.650909424,control
446,itemhit_lo,rh,58.0,epi,DefaultC_Rsp,unsmoothed,ap102,-281.35925293,control
474,sourcemiss_hi,lh,50.0,epi,DefaultC_Rsp,unsmoothed,ap102,596.300964355,control
