,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
0,CR,lh,726.0,epi,dorsalattn,unsmoothed,ap100,60.0898742676,control
1,CR,rh,695.0,epi,dorsalattn,unsmoothed,ap100,-517.047241211,control
2,FA,lh,726.0,epi,dorsalattn,unsmoothed,ap100,1984.82922363,control
3,FA,rh,695.0,epi,dorsalattn,unsmoothed,ap100,919.861572266,control
4,sourcehit,lh,726.0,epi,dorsalattn,unsmoothed,ap100,737.781188965,control
5,sourcehit,rh,695.0,epi,dorsalattn,unsmoothed,ap100,-331.354156494,control
6,itemhit_lo,lh,726.0,epi,dorsalattn,unsmoothed,ap100,294.472259521,control
7,itemhit_lo,rh,695.0,epi,dorsalattn,unsmoothed,ap100,-624.240539551,control
8,sourcemiss_hi,lh,726.0,epi,dorsalattn,unsmoothed,ap100,-68.6318893433,control
9,sourcemiss_hi,rh,695.0,epi,dorsalattn,unsmoothed,ap100,-1216.3885498,control
10,M,lh,726.0,epi,dorsalattn,unsmoothed,ap100,366.60458374,control
11,M,rh,695.0,epi,dorsalattn,unsmoothed,ap100,-590.473632812,control
12,CR,lh,720.0,epi,dorsalattn,unsmoothed,ap101,1060.32910156,control
13,CR,rh,557.0,epi,dorsalattn,unsmoothed,ap101,868.462341309,control
14,FA,lh,720.0,epi,dorsalattn,unsmoothed,ap101,1644.62133789,control
15,FA,rh,557.0,epi,dorsalattn,unsmoothed,ap101,1128.28259277,control
16,sourcehit,lh,720.0,epi,dorsalattn,unsmoothed,ap101,1814.35534668,control
17,sourcehit,rh,557.0,epi,dorsalattn,unsmoothed,ap101,1492.78820801,control
18,itemhit_lo,lh,720.0,epi,dorsalattn,unsmoothed,ap101,2227.43164062,control
19,itemhit_lo,rh,557.0,epi,dorsalattn,unsmoothed,ap101,1714.13574219,control
20,sourcemiss_hi,lh,720.0,epi,dorsalattn,unsmoothed,ap101,1987.15161133,control
21,sourcemiss_hi,rh,557.0,epi,dorsalattn,unsmoothed,ap101,1567.44702148,control
22,M,lh,720.0,epi,dorsalattn,unsmoothed,ap101,1118.66967773,control
23,M,rh,557.0,epi,dorsalattn,unsmoothed,ap101,718.81036377,control
24,CR,lh,672.0,epi,dorsalattn,unsmoothed,ap102,827.693237305,control
25,CR,rh,745.0,epi,dorsalattn,unsmoothed,ap102,326.531341553,control
26,FA,lh,672.0,epi,dorsalattn,unsmoothed,ap102,1392.63415527,control
27,FA,rh,745.0,epi,dorsalattn,unsmoothed,ap102,732.300476074,control
28,sourcehit,lh,672.0,epi,dorsalattn,unsmoothed,ap102,1273.76831055,control
29,sourcehit,rh,745.0,epi,dorsalattn,unsmoothed,ap102,533.509216309,control
30,itemhit_lo,lh,672.0,epi,dorsalattn,unsmoothed,ap102,1098.07287598,control
31,itemhit_lo,rh,745.0,epi,dorsalattn,unsmoothed,ap102,471.033966064,control
32,sourcemiss_hi,lh,672.0,epi,dorsalattn,unsmoothed,ap102,1003.95574951,control
33,sourcemiss_hi,rh,745.0,epi,dorsalattn,unsmoothed,ap102,202.812789917,control
34,M,lh,672.0,epi,dorsalattn,unsmoothed,ap102,854.624145508,control
35,M,rh,745.0,epi,dorsalattn,unsmoothed,ap102,341.042022705,control
36,CR,lh,704.0,epi,dorsalattn,unsmoothed,ap103,77.8292770386,control
37,CR,rh,702.0,epi,dorsalattn,unsmoothed,ap103,-795.718505859,control
38,FA,lh,704.0,epi,dorsalattn,unsmoothed,ap103,-157.860092163,control
39,FA,rh,702.0,epi,dorsalattn,unsmoothed,ap103,-1208.28112793,control
40,sourcehit,lh,704.0,epi,dorsalattn,unsmoothed,ap103,1318.68054199,control
41,sourcehit,rh,702.0,epi,dorsalattn,unsmoothed,ap103,-116.48223877,control
42,itemhit_lo,lh,704.0,epi,dorsalattn,unsmoothed,ap103,996.88079834,control
43,itemhit_lo,rh,702.0,epi,dorsalattn,unsmoothed,ap103,-599.041687012,control
44,sourcemiss_hi,lh,704.0,epi,dorsalattn,unsmoothed,ap103,382.988098145,control
45,sourcemiss_hi,rh,702.0,epi,dorsalattn,unsmoothed,ap103,-887.597473145,control
46,M,lh,704.0,epi,dorsalattn,unsmoothed,ap103,191.711776733,control
47,M,rh,702.0,epi,dorsalattn,unsmoothed,ap103,-831.713378906,control
48,CR,lh,861.0,epi,dorsalattn,unsmoothed,ap104,15.2697505951,control
49,CR,rh,685.0,epi,dorsalattn,unsmoothed,ap104,42.9874305725,control
50,FA,lh,861.0,epi,dorsalattn,unsmoothed,ap104,1622.97912598,control
51,FA,rh,685.0,epi,dorsalattn,unsmoothed,ap104,720.15234375,control
52,sourcehit,lh,861.0,epi,dorsalattn,unsmoothed,ap104,3.96867060661,control
53,sourcehit,rh,685.0,epi,dorsalattn,unsmoothed,ap104,-474.186401367,control
54,itemhit_lo,lh,861.0,epi,dorsalattn,unsmoothed,ap104,3.45884085262e-11,control
55,itemhit_lo,rh,685.0,epi,dorsalattn,unsmoothed,ap104,-1.54167859034e-11,control
56,sourcemiss_hi,lh,861.0,epi,dorsalattn,unsmoothed,ap104,-426.817260742,control
57,sourcemiss_hi,rh,685.0,epi,dorsalattn,unsmoothed,ap104,-915.223693848,control
58,M,lh,861.0,epi,dorsalattn,unsmoothed,ap104,-553.89831543,control
59,M,rh,685.0,epi,dorsalattn,unsmoothed,ap104,-121.241493225,control
60,CR,lh,681.0,epi,dorsalattn,unsmoothed,ap105,1481.43554688,control
61,CR,rh,677.0,epi,dorsalattn,unsmoothed,ap105,532.891662598,control
62,FA,lh,681.0,epi,dorsalattn,unsmoothed,ap105,1928.11560059,control
63,FA,rh,677.0,epi,dorsalattn,unsmoothed,ap105,825.71484375,control
64,sourcehit,lh,681.0,epi,dorsalattn,unsmoothed,ap105,1963.08300781,control
65,sourcehit,rh,677.0,epi,dorsalattn,unsmoothed,ap105,519.619018555,control
66,itemhit_lo,lh,681.0,epi,dorsalattn,unsmoothed,ap105,1050.77368164,control
67,itemhit_lo,rh,677.0,epi,dorsalattn,unsmoothed,ap105,-361.1796875,control
68,sourcemiss_hi,lh,681.0,epi,dorsalattn,unsmoothed,ap105,2080.40258789,control
69,sourcemiss_hi,rh,677.0,epi,dorsalattn,unsmoothed,ap105,519.768066406,control
70,M,lh,681.0,epi,dorsalattn,unsmoothed,ap105,1717.7701416,control
71,M,rh,677.0,epi,dorsalattn,unsmoothed,ap105,376.76473999,control
72,CR,lh,693.0,epi,dorsalattn,unsmoothed,ap107,466.970336914,control
73,CR,rh,724.0,epi,dorsalattn,unsmoothed,ap107,-16.6707706451,control
74,FA,lh,693.0,epi,dorsalattn,unsmoothed,ap107,718.241699219,control
75,FA,rh,724.0,epi,dorsalattn,unsmoothed,ap107,-18.278842926,control
76,sourcehit,lh,693.0,epi,dorsalattn,unsmoothed,ap107,1382.39758301,control
77,sourcehit,rh,724.0,epi,dorsalattn,unsmoothed,ap107,679.674194336,control
78,itemhit_lo,lh,693.0,epi,dorsalattn,unsmoothed,ap107,1585.79309082,control
79,itemhit_lo,rh,724.0,epi,dorsalattn,unsmoothed,ap107,792.45098877,control
80,sourcemiss_hi,lh,693.0,epi,dorsalattn,unsmoothed,ap107,1309.88098145,control
81,sourcemiss_hi,rh,724.0,epi,dorsalattn,unsmoothed,ap107,460.647674561,control
82,M,lh,693.0,epi,dorsalattn,unsmoothed,ap107,583.422912598,control
83,M,rh,724.0,epi,dorsalattn,unsmoothed,ap107,-23.1358985901,control
84,CR,lh,760.0,epi,dorsalattn,unsmoothed,ap108,962.100891113,control
85,CR,rh,743.0,epi,dorsalattn,unsmoothed,ap108,577.879394531,control
86,FA,lh,760.0,epi,dorsalattn,unsmoothed,ap108,1048.05627441,control
87,FA,rh,743.0,epi,dorsalattn,unsmoothed,ap108,517.703735352,control
88,sourcehit,lh,760.0,epi,dorsalattn,unsmoothed,ap108,1202.68566895,control
89,sourcehit,rh,743.0,epi,dorsalattn,unsmoothed,ap108,858.969970703,control
90,itemhit_lo,lh,760.0,epi,dorsalattn,unsmoothed,ap108,726.660095215,control
91,itemhit_lo,rh,743.0,epi,dorsalattn,unsmoothed,ap108,287.378601074,control
92,sourcemiss_hi,lh,760.0,epi,dorsalattn,unsmoothed,ap108,1097.18395996,control
93,sourcemiss_hi,rh,743.0,epi,dorsalattn,unsmoothed,ap108,1282.3034668,control
94,M,lh,760.0,epi,dorsalattn,unsmoothed,ap108,419.234863281,control
95,M,rh,743.0,epi,dorsalattn,unsmoothed,ap108,9.90060901642,control
96,CR,lh,688.0,epi,dorsalattn,unsmoothed,ap109,761.445556641,control
97,CR,rh,675.0,epi,dorsalattn,unsmoothed,ap109,629.309692383,control
98,FA,lh,688.0,epi,dorsalattn,unsmoothed,ap109,563.245727539,control
99,FA,rh,675.0,epi,dorsalattn,unsmoothed,ap109,538.038635254,control
100,sourcehit,lh,688.0,epi,dorsalattn,unsmoothed,ap109,547.88079834,control
101,sourcehit,rh,675.0,epi,dorsalattn,unsmoothed,ap109,468.125732422,control
102,itemhit_lo,lh,688.0,epi,dorsalattn,unsmoothed,ap109,954.806396484,control
103,itemhit_lo,rh,675.0,epi,dorsalattn,unsmoothed,ap109,772.550170898,control
104,sourcemiss_hi,lh,688.0,epi,dorsalattn,unsmoothed,ap109,792.550231934,control
105,sourcemiss_hi,rh,675.0,epi,dorsalattn,unsmoothed,ap109,549.257751465,control
106,M,lh,688.0,epi,dorsalattn,unsmoothed,ap109,626.607116699,control
107,M,rh,675.0,epi,dorsalattn,unsmoothed,ap109,741.605895996,control
108,CR,lh,809.0,epi,dorsalattn,unsmoothed,ap110,708.176269531,control
109,CR,rh,772.0,epi,dorsalattn,unsmoothed,ap110,269.930633545,control
110,FA,lh,809.0,epi,dorsalattn,unsmoothed,ap110,1995.37304688,control
111,FA,rh,772.0,epi,dorsalattn,unsmoothed,ap110,1285.98303223,control
112,sourcehit,lh,809.0,epi,dorsalattn,unsmoothed,ap110,2397.28930664,control
113,sourcehit,rh,772.0,epi,dorsalattn,unsmoothed,ap110,1166.83703613,control
