,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
12,CR,lh,1530.0,epi,frontoparietal,unsmoothed,ap100,-999.336669922,control
13,CR,rh,1802.0,epi,frontoparietal,unsmoothed,ap100,-1308.15063477,control
41,FA,lh,1530.0,epi,frontoparietal,unsmoothed,ap100,1203.58178711,control
42,FA,rh,1802.0,epi,frontoparietal,unsmoothed,ap100,-270.651885986,control
70,sourcehit,lh,1530.0,epi,frontoparietal,unsmoothed,ap100,945.812072754,control
71,sourcehit,rh,1802.0,epi,frontoparietal,unsmoothed,ap100,-1006.69403076,control
99,itemhit_lo,lh,1530.0,epi,frontoparietal,unsmoothed,ap100,156.210494995,control
100,itemhit_lo,rh,1802.0,epi,frontoparietal,unsmoothed,ap100,-1755.94787598,control
128,sourcemiss_hi,lh,1530.0,epi,frontoparietal,unsmoothed,ap100,448.474761963,control
129,sourcemiss_hi,rh,1802.0,epi,frontoparietal,unsmoothed,ap100,-1856.68554688,control
157,M,lh,1530.0,epi,frontoparietal,unsmoothed,ap100,-382.420684814,control
158,M,rh,1802.0,epi,frontoparietal,unsmoothed,ap100,-1428.69506836,control
186,CR,lh,1366.0,epi,frontoparietal,unsmoothed,ap101,-356.224609375,control
187,CR,rh,1494.0,epi,frontoparietal,unsmoothed,ap101,-666.156555176,control
215,FA,lh,1366.0,epi,frontoparietal,unsmoothed,ap101,1849.61401367,control
216,FA,rh,1494.0,epi,frontoparietal,unsmoothed,ap101,142.87046814,control
244,sourcehit,lh,1366.0,epi,frontoparietal,unsmoothed,ap101,1188.93664551,control
245,sourcehit,rh,1494.0,epi,frontoparietal,unsmoothed,ap101,70.6328125,control
273,itemhit_lo,lh,1366.0,epi,frontoparietal,unsmoothed,ap101,1538.82763672,control
274,itemhit_lo,rh,1494.0,epi,frontoparietal,unsmoothed,ap101,116.551330566,control
302,sourcemiss_hi,lh,1366.0,epi,frontoparietal,unsmoothed,ap101,1880.69458008,control
303,sourcemiss_hi,rh,1494.0,epi,frontoparietal,unsmoothed,ap101,522.203491211,control
331,M,lh,1366.0,epi,frontoparietal,unsmoothed,ap101,329.529022217,control
332,M,rh,1494.0,epi,frontoparietal,unsmoothed,ap101,-1015.7543335,control
