,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
4,CR,lh,16.0,epi,hippocampus-body,unsmoothed,ap100,-1035.96240234,control
5,CR,rh,37.0,epi,hippocampus-body,unsmoothed,ap100,-957.330993652,control
33,FA,lh,16.0,epi,hippocampus-body,unsmoothed,ap100,-1381.234375,control
34,FA,rh,37.0,epi,hippocampus-body,unsmoothed,ap100,-1000.4208374,control
62,sourcehit,lh,16.0,epi,hippocampus-body,unsmoothed,ap100,-39.6027526855,control
63,sourcehit,rh,37.0,epi,hippocampus-body,unsmoothed,ap100,-155.331192017,control
91,itemhit_lo,lh,16.0,epi,hippocampus-body,unsmoothed,ap100,-978.913757324,control
92,itemhit_lo,rh,37.0,epi,hippocampus-body,unsmoothed,ap100,-902.348815918,control
120,sourcemiss_hi,lh,16.0,epi,hippocampus-body,unsmoothed,ap100,-567.166137695,control
121,sourcemiss_hi,rh,37.0,epi,hippocampus-body,unsmoothed,ap100,-980.646728516,control
149,M,lh,16.0,epi,hippocampus-body,unsmoothed,ap100,-1325.37280273,control
150,M,rh,37.0,epi,hippocampus-body,unsmoothed,ap100,-987.099243164,control
178,CR,lh,36.0,epi,hippocampus-body,unsmoothed,ap101,-491.542633057,control
179,CR,rh,42.0,epi,hippocampus-body,unsmoothed,ap101,-445.986419678,control
207,FA,lh,36.0,epi,hippocampus-body,unsmoothed,ap101,-332.926147461,control
208,FA,rh,42.0,epi,hippocampus-body,unsmoothed,ap101,-370.727935791,control
236,sourcehit,lh,36.0,epi,hippocampus-body,unsmoothed,ap101,112.171913147,control
237,sourcehit,rh,42.0,epi,hippocampus-body,unsmoothed,ap101,177.582778931,control
265,itemhit_lo,lh,36.0,epi,hippocampus-body,unsmoothed,ap101,-367.019226074,control
266,itemhit_lo,rh,42.0,epi,hippocampus-body,unsmoothed,ap101,-277.272033691,control
294,sourcemiss_hi,lh,36.0,epi,hippocampus-body,unsmoothed,ap101,710.762695312,control
295,sourcemiss_hi,rh,42.0,epi,hippocampus-body,unsmoothed,ap101,216.264434814,control
323,M,lh,36.0,epi,hippocampus-body,unsmoothed,ap101,-702.923278809,control
324,M,rh,42.0,epi,hippocampus-body,unsmoothed,ap101,-645.542114258,control
352,CR,lh,38.0,epi,hippocampus-body,unsmoothed,ap102,-406.743743896,control
353,CR,rh,40.0,epi,hippocampus-body,unsmoothed,ap102,-542.158996582,control
381,FA,lh,38.0,epi,hippocampus-body,unsmoothed,ap102,-307.089385986,control
382,FA,rh,40.0,epi,hippocampus-body,unsmoothed,ap102,-140.932037354,control
410,sourcehit,lh,38.0,epi,hippocampus-body,unsmoothed,ap102,160.089279175,control
411,sourcehit,rh,40.0,epi,hippocampus-body,unsmoothed,ap102,334.87322998,control
439,itemhit_lo,lh,38.0,epi,hippocampus-body,unsmoothed,ap102,-316.177154541,control
440,itemhit_lo,rh,40.0,epi,hippocampus-body,unsmoothed,ap102,-204.663452148,control
468,sourcemiss_hi,lh,38.0,epi,hippocampus-body,unsmoothed,ap102,5.81603622437,control
469,sourcemiss_hi,rh,40.0,epi,hippocampus-body,unsmoothed,ap102,202.486236572,control
497,M,lh,38.0,epi,hippocampus-body,unsmoothed,ap102,219.354110718,control
498,M,rh,40.0,epi,hippocampus-body,unsmoothed,ap102,725.753112793,control
526,CR,lh,32.0,epi,hippocampus-body,unsmoothed,ap103,-387.783874512,control
527,CR,rh,33.0,epi,hippocampus-body,unsmoothed,ap103,-594.470397949,control
555,FA,lh,32.0,epi,hippocampus-body,unsmoothed,ap103,-697.852111816,control
556,FA,rh,33.0,epi,hippocampus-body,unsmoothed,ap103,-411.541229248,control
584,sourcehit,lh,32.0,epi,hippocampus-body,unsmoothed,ap103,-62.2707901001,control
585,sourcehit,rh,33.0,epi,hippocampus-body,unsmoothed,ap103,6.77472782135,control
613,itemhit_lo,lh,32.0,epi,hippocampus-body,unsmoothed,ap103,-451.875854492,control
614,itemhit_lo,rh,33.0,epi,hippocampus-body,unsmoothed,ap103,-772.784790039,control
642,sourcemiss_hi,lh,32.0,epi,hippocampus-body,unsmoothed,ap103,-427.09967041,control
643,sourcemiss_hi,rh,33.0,epi,hippocampus-body,unsmoothed,ap103,-680.702819824,control
671,M,lh,32.0,epi,hippocampus-body,unsmoothed,ap103,-942.361328125,control
672,M,rh,33.0,epi,hippocampus-body,unsmoothed,ap103,-891.905944824,control
700,CR,lh,44.0,epi,hippocampus-body,unsmoothed,ap104,-705.610168457,control
701,CR,rh,41.0,epi,hippocampus-body,unsmoothed,ap104,-609.796325684,control
729,FA,lh,44.0,epi,hippocampus-body,unsmoothed,ap104,-759.948181152,control
730,FA,rh,41.0,epi,hippocampus-body,unsmoothed,ap104,-1450.7232666,control
758,sourcehit,lh,44.0,epi,hippocampus-body,unsmoothed,ap104,-272.393188477,control
759,sourcehit,rh,41.0,epi,hippocampus-body,unsmoothed,ap104,-322.252838135,control
787,itemhit_lo,lh,44.0,epi,hippocampus-body,unsmoothed,ap104,0.0,control
788,itemhit_lo,rh,41.0,epi,hippocampus-body,unsmoothed,ap104,2.22398960359e-10,control
816,sourcemiss_hi,lh,44.0,epi,hippocampus-body,unsmoothed,ap104,-648.008056641,control
817,sourcemiss_hi,rh,41.0,epi,hippocampus-body,unsmoothed,ap104,-808.009216309,control
845,M,lh,44.0,epi,hippocampus-body,unsmoothed,ap104,-1091.70397949,control
846,M,rh,41.0,epi,hippocampus-body,unsmoothed,ap104,-779.787658691,control
874,CR,lh,37.0,epi,hippocampus-body,unsmoothed,ap105,-34.996509552,control
875,CR,rh,35.0,epi,hippocampus-body,unsmoothed,ap105,235.009597778,control
903,FA,lh,37.0,epi,hippocampus-body,unsmoothed,ap105,-622.642456055,control
904,FA,rh,35.0,epi,hippocampus-body,unsmoothed,ap105,-156.652893066,control
932,sourcehit,lh,37.0,epi,hippocampus-body,unsmoothed,ap105,475.933380127,control
933,sourcehit,rh,35.0,epi,hippocampus-body,unsmoothed,ap105,737.280090332,control
961,itemhit_lo,lh,37.0,epi,hippocampus-body,unsmoothed,ap105,-459.457122803,control
962,itemhit_lo,rh,35.0,epi,hippocampus-body,unsmoothed,ap105,-86.8993225098,control
990,sourcemiss_hi,lh,37.0,epi,hippocampus-body,unsmoothed,ap105,296.683105469,control
991,sourcemiss_hi,rh,35.0,epi,hippocampus-body,unsmoothed,ap105,819.381713867,control
1019,M,lh,37.0,epi,hippocampus-body,unsmoothed,ap105,-589.586730957,control
1020,M,rh,35.0,epi,hippocampus-body,unsmoothed,ap105,-264.911804199,control
1048,CR,lh,32.0,epi,hippocampus-body,unsmoothed,ap107,-772.69543457,control
1049,CR,rh,38.0,epi,hippocampus-body,unsmoothed,ap107,-1072.34851074,control
1077,FA,lh,32.0,epi,hippocampus-body,unsmoothed,ap107,-1096.92919922,control
1078,FA,rh,38.0,epi,hippocampus-body,unsmoothed,ap107,-1318.4967041,control
1106,sourcehit,lh,32.0,epi,hippocampus-body,unsmoothed,ap107,38.5522422791,control
1107,sourcehit,rh,38.0,epi,hippocampus-body,unsmoothed,ap107,-208.488082886,control
1135,itemhit_lo,lh,32.0,epi,hippocampus-body,unsmoothed,ap107,-997.838439941,control
1136,itemhit_lo,rh,38.0,epi,hippocampus-body,unsmoothed,ap107,-781.296081543,control
1164,sourcemiss_hi,lh,32.0,epi,hippocampus-body,unsmoothed,ap107,-634.338439941,control
1165,sourcemiss_hi,rh,38.0,epi,hippocampus-body,unsmoothed,ap107,-815.952575684,control
1193,M,lh,32.0,epi,hippocampus-body,unsmoothed,ap107,-2082.72338867,control
1194,M,rh,38.0,epi,hippocampus-body,unsmoothed,ap107,-1543.28186035,control
1222,CR,lh,32.0,epi,hippocampus-body,unsmoothed,ap108,-39.4349212646,control
1223,CR,rh,44.0,epi,hippocampus-body,unsmoothed,ap108,-87.359085083,control
1251,FA,lh,32.0,epi,hippocampus-body,unsmoothed,ap108,-228.675827026,control
1252,FA,rh,44.0,epi,hippocampus-body,unsmoothed,ap108,-359.570129395,control
1280,sourcehit,lh,32.0,epi,hippocampus-body,unsmoothed,ap108,-220.454956055,control
1281,sourcehit,rh,44.0,epi,hippocampus-body,unsmoothed,ap108,-419.904907227,control
1309,itemhit_lo,lh,32.0,epi,hippocampus-body,unsmoothed,ap108,-322.511016846,control
1310,itemhit_lo,rh,44.0,epi,hippocampus-body,unsmoothed,ap108,-180.046646118,control
1338,sourcemiss_hi,lh,32.0,epi,hippocampus-body,unsmoothed,ap108,658.559753418,control
1339,sourcemiss_hi,rh,44.0,epi,hippocampus-body,unsmoothed,ap108,704.291625977,control
1367,M,lh,32.0,epi,hippocampus-body,unsmoothed,ap108,-697.015380859,control
1368,M,rh,44.0,epi,hippocampus-body,unsmoothed,ap108,-639.455200195,control
1396,CR,lh,34.0,epi,hippocampus-body,unsmoothed,ap109,-62.9481925964,control
1397,CR,rh,22.0,epi,hippocampus-body,unsmoothed,ap109,-14.6443758011,control
1425,FA,lh,34.0,epi,hippocampus-body,unsmoothed,ap109,-276.560424805,control
1426,FA,rh,22.0,epi,hippocampus-body,unsmoothed,ap109,-41.9677886963,control
1454,sourcehit,lh,34.0,epi,hippocampus-body,unsmoothed,ap109,-7.71722793579,control
1455,sourcehit,rh,22.0,epi,hippocampus-body,unsmoothed,ap109,426.964630127,control
1483,itemhit_lo,lh,34.0,epi,hippocampus-body,unsmoothed,ap109,-31.4343185425,control
1484,itemhit_lo,rh,22.0,epi,hippocampus-body,unsmoothed,ap109,434.603820801,control
1512,sourcemiss_hi,lh,34.0,epi,hippocampus-body,unsmoothed,ap109,199.091400146,control
1513,sourcemiss_hi,rh,22.0,epi,hippocampus-body,unsmoothed,ap109,379.95211792,control
1541,M,lh,34.0,epi,hippocampus-body,unsmoothed,ap109,-314.419616699,control
1542,M,rh,22.0,epi,hippocampus-body,unsmoothed,ap109,2.65289020538,control
1570,CR,lh,42.0,epi,hippocampus-body,unsmoothed,ap110,-347.222229004,control
1571,CR,rh,46.0,epi,hippocampus-body,unsmoothed,ap110,-262.538482666,control
1599,FA,lh,42.0,epi,hippocampus-body,unsmoothed,ap110,233.69821167,control
1600,FA,rh,46.0,epi,hippocampus-body,unsmoothed,ap110,289.041900635,control
1628,sourcehit,lh,42.0,epi,hippocampus-body,unsmoothed,ap110,503.936523438,control
1629,sourcehit,rh,46.0,epi,hippocampus-body,unsmoothed,ap110,608.113098145,control
1657,itemhit_lo,lh,42.0,epi,hippocampus-body,unsmoothed,ap110,-119.241073608,control
1658,itemhit_lo,rh,46.0,epi,hippocampus-body,unsmoothed,ap110,-301.754638672,control
1686,sourcemiss_hi,lh,42.0,epi,hippocampus-body,unsmoothed,ap110,2025.3692627,control
