,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
2,CR,lh,69.0,epi,hippocampus-head,unsmoothed,ap100,-160.584121704,control
3,CR,rh,54.0,epi,hippocampus-head,unsmoothed,ap100,-443.020355225,control
31,FA,lh,69.0,epi,hippocampus-head,unsmoothed,ap100,-130.236358643,control
32,FA,rh,54.0,epi,hippocampus-head,unsmoothed,ap100,-458.092132568,control
60,sourcehit,lh,69.0,epi,hippocampus-head,unsmoothed,ap100,124.528930664,control
61,sourcehit,rh,54.0,epi,hippocampus-head,unsmoothed,ap100,115.873542786,control
89,itemhit_lo,lh,69.0,epi,hippocampus-head,unsmoothed,ap100,177.466964722,control
90,itemhit_lo,rh,54.0,epi,hippocampus-head,unsmoothed,ap100,85.1153717041,control
118,sourcemiss_hi,lh,69.0,epi,hippocampus-head,unsmoothed,ap100,-127.658416748,control
119,sourcemiss_hi,rh,54.0,epi,hippocampus-head,unsmoothed,ap100,-257.818725586,control
147,M,lh,69.0,epi,hippocampus-head,unsmoothed,ap100,-215.769241333,control
148,M,rh,54.0,epi,hippocampus-head,unsmoothed,ap100,-265.31439209,control
176,CR,lh,65.0,epi,hippocampus-head,unsmoothed,ap101,25.7033748627,control
177,CR,rh,65.0,epi,hippocampus-head,unsmoothed,ap101,-211.873550415,control
205,FA,lh,65.0,epi,hippocampus-head,unsmoothed,ap101,88.8570175171,control
206,FA,rh,65.0,epi,hippocampus-head,unsmoothed,ap101,-365.425628662,control
234,sourcehit,lh,65.0,epi,hippocampus-head,unsmoothed,ap101,275.155700684,control
235,sourcehit,rh,65.0,epi,hippocampus-head,unsmoothed,ap101,207.933639526,control
263,itemhit_lo,lh,65.0,epi,hippocampus-head,unsmoothed,ap101,110.721183777,control
264,itemhit_lo,rh,65.0,epi,hippocampus-head,unsmoothed,ap101,-114.466621399,control
292,sourcemiss_hi,lh,65.0,epi,hippocampus-head,unsmoothed,ap101,265.543426514,control
293,sourcemiss_hi,rh,65.0,epi,hippocampus-head,unsmoothed,ap101,207.280303955,control
321,M,lh,65.0,epi,hippocampus-head,unsmoothed,ap101,-68.235168457,control
322,M,rh,65.0,epi,hippocampus-head,unsmoothed,ap101,-226.484970093,control
350,CR,lh,80.0,epi,hippocampus-head,unsmoothed,ap102,-460.909484863,control
351,CR,rh,91.0,epi,hippocampus-head,unsmoothed,ap102,-449.070831299,control
379,FA,lh,80.0,epi,hippocampus-head,unsmoothed,ap102,-181.600753784,control
380,FA,rh,91.0,epi,hippocampus-head,unsmoothed,ap102,198.756652832,control
408,sourcehit,lh,80.0,epi,hippocampus-head,unsmoothed,ap102,134.950164795,control
409,sourcehit,rh,91.0,epi,hippocampus-head,unsmoothed,ap102,343.563323975,control
437,itemhit_lo,lh,80.0,epi,hippocampus-head,unsmoothed,ap102,-181.719161987,control
438,itemhit_lo,rh,91.0,epi,hippocampus-head,unsmoothed,ap102,4.84929943085,control
466,sourcemiss_hi,lh,80.0,epi,hippocampus-head,unsmoothed,ap102,73.3073196411,control
467,sourcemiss_hi,rh,91.0,epi,hippocampus-head,unsmoothed,ap102,122.842964172,control
495,M,lh,80.0,epi,hippocampus-head,unsmoothed,ap102,525.471984863,control
496,M,rh,91.0,epi,hippocampus-head,unsmoothed,ap102,721.089599609,control
524,CR,lh,59.0,epi,hippocampus-head,unsmoothed,ap103,-535.153564453,control
525,CR,rh,57.0,epi,hippocampus-head,unsmoothed,ap103,-722.735473633,control
553,FA,lh,59.0,epi,hippocampus-head,unsmoothed,ap103,-545.765869141,control
554,FA,rh,57.0,epi,hippocampus-head,unsmoothed,ap103,-797.607055664,control
582,sourcehit,lh,59.0,epi,hippocampus-head,unsmoothed,ap103,10.9350252151,control
583,sourcehit,rh,57.0,epi,hippocampus-head,unsmoothed,ap103,-90.0721206665,control
611,itemhit_lo,lh,59.0,epi,hippocampus-head,unsmoothed,ap103,-647.606018066,control
612,itemhit_lo,rh,57.0,epi,hippocampus-head,unsmoothed,ap103,-789.32800293,control
640,sourcemiss_hi,lh,59.0,epi,hippocampus-head,unsmoothed,ap103,-801.729187012,control
641,sourcemiss_hi,rh,57.0,epi,hippocampus-head,unsmoothed,ap103,-636.351501465,control
669,M,lh,59.0,epi,hippocampus-head,unsmoothed,ap103,-701.028625488,control
670,M,rh,57.0,epi,hippocampus-head,unsmoothed,ap103,-855.067626953,control
698,CR,lh,85.0,epi,hippocampus-head,unsmoothed,ap104,-690.599975586,control
699,CR,rh,80.0,epi,hippocampus-head,unsmoothed,ap104,-772.815307617,control
727,FA,lh,85.0,epi,hippocampus-head,unsmoothed,ap104,-978.479064941,control
728,FA,rh,80.0,epi,hippocampus-head,unsmoothed,ap104,-1338.62036133,control
756,sourcehit,lh,85.0,epi,hippocampus-head,unsmoothed,ap104,-319.377532959,control
757,sourcehit,rh,80.0,epi,hippocampus-head,unsmoothed,ap104,-340.022155762,control
785,itemhit_lo,lh,85.0,epi,hippocampus-head,unsmoothed,ap104,0.0,control
786,itemhit_lo,rh,80.0,epi,hippocampus-head,unsmoothed,ap104,0.0,control
814,sourcemiss_hi,lh,85.0,epi,hippocampus-head,unsmoothed,ap104,-778.165710449,control
815,sourcemiss_hi,rh,80.0,epi,hippocampus-head,unsmoothed,ap104,-930.732055664,control
843,M,lh,85.0,epi,hippocampus-head,unsmoothed,ap104,-1042.17089844,control
844,M,rh,80.0,epi,hippocampus-head,unsmoothed,ap104,-1257.45288086,control
872,CR,lh,60.0,epi,hippocampus-head,unsmoothed,ap105,-22.5903377533,control
873,CR,rh,66.0,epi,hippocampus-head,unsmoothed,ap105,38.6208267212,control
901,FA,lh,60.0,epi,hippocampus-head,unsmoothed,ap105,-788.870788574,control
902,FA,rh,66.0,epi,hippocampus-head,unsmoothed,ap105,-573.392456055,control
930,sourcehit,lh,60.0,epi,hippocampus-head,unsmoothed,ap105,238.222717285,control
931,sourcehit,rh,66.0,epi,hippocampus-head,unsmoothed,ap105,282.550994873,control
959,itemhit_lo,lh,60.0,epi,hippocampus-head,unsmoothed,ap105,-618.034729004,control
960,itemhit_lo,rh,66.0,epi,hippocampus-head,unsmoothed,ap105,-403.767303467,control
988,sourcemiss_hi,lh,60.0,epi,hippocampus-head,unsmoothed,ap105,-294.84085083,control
989,sourcemiss_hi,rh,66.0,epi,hippocampus-head,unsmoothed,ap105,-247.46585083,control
1017,M,lh,60.0,epi,hippocampus-head,unsmoothed,ap105,-607.006103516,control
