,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
0,CR,lh,19.0,epi,hippocampus-tail,unsmoothed,ap100,-61.4966964722,control
1,CR,rh,38.0,epi,hippocampus-tail,unsmoothed,ap100,-616.68536377,control
29,FA,lh,19.0,epi,hippocampus-tail,unsmoothed,ap100,326.804412842,control
30,FA,rh,38.0,epi,hippocampus-tail,unsmoothed,ap100,-34.6419296265,control
58,sourcehit,lh,19.0,epi,hippocampus-tail,unsmoothed,ap100,548.308288574,control
59,sourcehit,rh,38.0,epi,hippocampus-tail,unsmoothed,ap100,174.84413147,control
87,itemhit_lo,lh,19.0,epi,hippocampus-tail,unsmoothed,ap100,179.271621704,control
88,itemhit_lo,rh,38.0,epi,hippocampus-tail,unsmoothed,ap100,-478.358978271,control
116,sourcemiss_hi,lh,19.0,epi,hippocampus-tail,unsmoothed,ap100,47.7711372375,control
117,sourcemiss_hi,rh,38.0,epi,hippocampus-tail,unsmoothed,ap100,-741.779968262,control
145,M,lh,19.0,epi,hippocampus-tail,unsmoothed,ap100,26.2002468109,control
146,M,rh,38.0,epi,hippocampus-tail,unsmoothed,ap100,-684.324707031,control
174,CR,lh,36.0,epi,hippocampus-tail,unsmoothed,ap101,34.1717338562,control
175,CR,rh,36.0,epi,hippocampus-tail,unsmoothed,ap101,221.387069702,control
203,FA,lh,36.0,epi,hippocampus-tail,unsmoothed,ap101,1296.60974121,control
204,FA,rh,36.0,epi,hippocampus-tail,unsmoothed,ap101,1146.07080078,control
232,sourcehit,lh,36.0,epi,hippocampus-tail,unsmoothed,ap101,1089.56958008,control
233,sourcehit,rh,36.0,epi,hippocampus-tail,unsmoothed,ap101,978.254455566,control
261,itemhit_lo,lh,36.0,epi,hippocampus-tail,unsmoothed,ap101,627.244262695,control
262,itemhit_lo,rh,36.0,epi,hippocampus-tail,unsmoothed,ap101,569.27746582,control
290,sourcemiss_hi,lh,36.0,epi,hippocampus-tail,unsmoothed,ap101,1482.06726074,control
291,sourcemiss_hi,rh,36.0,epi,hippocampus-tail,unsmoothed,ap101,1090.53820801,control
319,M,lh,36.0,epi,hippocampus-tail,unsmoothed,ap101,-291.397247314,control
320,M,rh,36.0,epi,hippocampus-tail,unsmoothed,ap101,-89.830368042,control
348,CR,lh,31.0,epi,hippocampus-tail,unsmoothed,ap102,1.83476698399,control
349,CR,rh,34.0,epi,hippocampus-tail,unsmoothed,ap102,87.7832260132,control
377,FA,lh,31.0,epi,hippocampus-tail,unsmoothed,ap102,188.848907471,control
