,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
6,CR,lh,105.0,epi,hippocampus,unsmoothed,ap100,-278.209869385,control
7,CR,rh,120.0,epi,hippocampus,unsmoothed,ap100,-640.534240723,control
8,CR,bilat,225.0,epi,hippocampus,unsmoothed,ap100,-471.449523926,control
35,FA,lh,105.0,epi,hippocampus,unsmoothed,ap100,-239.040115356,control
36,FA,rh,120.0,epi,hippocampus,unsmoothed,ap100,-477.181060791,control
37,FA,bilat,225.0,epi,hippocampus,unsmoothed,ap100,-366.048614502,control
64,sourcehit,lh,105.0,epi,hippocampus,unsmoothed,ap100,170.701599121,control
65,sourcehit,rh,120.0,epi,hippocampus,unsmoothed,ap100,87.0093688965,control
66,sourcehit,bilat,225.0,epi,hippocampus,unsmoothed,ap100,126.065750122,control
93,itemhit_lo,lh,105.0,epi,hippocampus,unsmoothed,ap100,-9.06375217438,control
94,itemhit_lo,rh,120.0,epi,hippocampus,unsmoothed,ap100,-321.014862061,control
95,itemhit_lo,bilat,225.0,epi,hippocampus,unsmoothed,ap100,-175.437698364,control
122,sourcemiss_hi,lh,105.0,epi,hippocampus,unsmoothed,ap100,-166.071914673,control
123,sourcemiss_hi,rh,120.0,epi,hippocampus,unsmoothed,ap100,-510.957824707,control
124,sourcemiss_hi,bilat,225.0,epi,hippocampus,unsmoothed,ap100,-350.011077881,control
151,M,lh,105.0,epi,hippocampus,unsmoothed,ap100,-340.538574219,control
152,M,rh,120.0,epi,hippocampus,unsmoothed,ap100,-571.594665527,control
153,M,bilat,225.0,epi,hippocampus,unsmoothed,ap100,-463.768463135,control
180,CR,lh,137.0,epi,hippocampus,unsmoothed,ap101,-107.990028381,control
181,CR,rh,142.0,epi,hippocampus,unsmoothed,ap101,-170.330718994,control
182,CR,bilat,279.0,epi,hippocampus,unsmoothed,ap101,-139.718978882,control
209,FA,lh,137.0,epi,hippocampus,unsmoothed,ap101,295.389129639,control
210,FA,rh,142.0,epi,hippocampus,unsmoothed,ap101,38.4916496277,control
211,FA,bilat,279.0,epi,hippocampus,unsmoothed,ap101,164.638412476,control
238,sourcehit,lh,137.0,epi,hippocampus,unsmoothed,ap101,446.334411621,control
239,sourcehit,rh,142.0,epi,hippocampus,unsmoothed,ap101,387.47644043,control
240,sourcehit,bilat,279.0,epi,hippocampus,unsmoothed,ap101,416.37802124,control
267,itemhit_lo,lh,137.0,epi,hippocampus,unsmoothed,ap101,120.912239075,control
268,itemhit_lo,rh,142.0,epi,hippocampus,unsmoothed,ap101,-1.00030255318,control
269,itemhit_lo,bilat,279.0,epi,hippocampus,unsmoothed,ap101,58.8635597229,control
296,sourcemiss_hi,lh,137.0,epi,hippocampus,unsmoothed,ap101,702.205932617,control
297,sourcemiss_hi,rh,142.0,epi,hippocampus,unsmoothed,ap101,415.893829346,control
298,sourcemiss_hi,bilat,279.0,epi,hippocampus,unsmoothed,ap101,556.484313965,control
325,M,lh,137.0,epi,hippocampus,unsmoothed,ap101,-293.655670166,control
326,M,rh,142.0,epi,hippocampus,unsmoothed,ap101,-314.328552246,control
327,M,bilat,279.0,epi,hippocampus,unsmoothed,ap101,-304.177368164,control
354,CR,lh,152.0,epi,hippocampus,unsmoothed,ap102,-348.688842773,control
355,CR,rh,161.0,epi,hippocampus,unsmoothed,ap102,-379.015594482,control
356,CR,bilat,313.0,epi,hippocampus,unsmoothed,ap102,-364.288208008,control
383,FA,lh,152.0,epi,hippocampus,unsmoothed,ap102,-139.193237305,control
384,FA,rh,161.0,epi,hippocampus,unsmoothed,ap102,109.72101593,control
