,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
0,CR,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap100,0.2781278193,control
1,FA,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap100,833.850341797,control
2,sourcehit,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap100,2524.38818359,control
3,itemhit_lo,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap100,1026.95251465,control
4,sourcemiss_hi,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap100,1569.18395996,control
5,M,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap100,108.443901062,control
6,CR,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap101,63.541847229,control
7,FA,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap101,866.264038086,control
8,sourcehit,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap101,1671.23986816,control
9,itemhit_lo,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap101,617.357116699,control
10,sourcemiss_hi,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap101,1912.16467285,control
11,M,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap101,333.50592041,control
12,CR,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap102,-2253.85986328,control
13,FA,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap102,-845.329040527,control
14,sourcehit,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap102,754.420898438,control
15,itemhit_lo,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap102,-772.674072266,control
16,sourcemiss_hi,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap102,1028.85559082,control
17,M,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap102,-177.31098938,control
18,CR,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap103,-1441.90234375,control
19,FA,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap103,-1551.42297363,control
20,sourcehit,bilat,39.0,epi,ppa_scene_graymid_limitvox,unsmoothed,ap103,991.730041504,control
