,cond,hemi,mask_vox,regspace,roi,smoothing,subid,value,group
0,CR,,70.0,mni,sourcehit-cr,smoothed,ap100,-395.948699951,control
1,FA,,70.0,mni,sourcehit-cr,smoothed,ap100,390.963348389,control
2,sourcehit,,70.0,mni,sourcehit-cr,smoothed,ap100,379.937072754,control
3,itemhit_lo,,70.0,mni,sourcehit-cr,smoothed,ap100,-231.020751953,control
4,sourcemiss_hi,,70.0,mni,sourcehit-cr,smoothed,ap100,-249.205886841,control
5,M,,70.0,mni,sourcehit-cr,smoothed,ap100,-292.973480225,control
6,CR,,70.0,mni,sourcehit-cr,smoothed,ap101,319.92364502,control
7,FA,,70.0,mni,sourcehit-cr,smoothed,ap101,890.106994629,control
8,sourcehit,,70.0,mni,sourcehit-cr,smoothed,ap101,990.586914062,control
9,itemhit_lo,,70.0,mni,sourcehit-cr,smoothed,ap101,851.839416504,control
10,sourcemiss_hi,,70.0,mni,sourcehit-cr,smoothed,ap101,902.11907959,control
11,M,,70.0,mni,sourcehit-cr,smoothed,ap101,167.856201172,control
12,CR,,70.0,mni,sourcehit-cr,smoothed,ap102,107.353790283,control
13,FA,,70.0,mni,sourcehit-cr,smoothed,ap102,221.765151978,control
14,sourcehit,,70.0,mni,sourcehit-cr,smoothed,ap102,891.548156738,control
15,itemhit_lo,,70.0,mni,sourcehit-cr,smoothed,ap102,479.3984375,control
16,sourcemiss_hi,,70.0,mni,sourcehit-cr,smoothed,ap102,722.575927734,control
17,M,,70.0,mni,sourcehit-cr,smoothed,ap102,1559.53051758,control
18,CR,,70.0,mni,sourcehit-cr,smoothed,ap103,-519.105102539,control
19,FA,,70.0,mni,sourcehit-cr,smoothed,ap103,-495.6378479,control
20,sourcehit,,70.0,mni,sourcehit-cr,smoothed,ap103,90.6591491699,control
21,itemhit_lo,,70.0,mni,sourcehit-cr,smoothed,ap103,-318.799835205,control
22,sourcemiss_hi,,70.0,mni,sourcehit-cr,smoothed,ap103,-225.394775391,control
23,M,,70.0,mni,sourcehit-cr,smoothed,ap103,-727.314697266,control
24,CR,,70.0,mni,sourcehit-cr,smoothed,ap104,-415.799560547,control
25,FA,,70.0,mni,sourcehit-cr,smoothed,ap104,-552.766540527,control
26,sourcehit,,70.0,mni,sourcehit-cr,smoothed,ap104,-99.1992874146,control
27,itemhit_lo,,70.0,mni,sourcehit-cr,smoothed,ap104,1.30541535914e-10,control
28,sourcemiss_hi,,70.0,mni,sourcehit-cr,smoothed,ap104,-290.003204346,control
29,M,,70.0,mni,sourcehit-cr,smoothed,ap104,14.3217611313,control
