,category,mask_name,mean,sd,subid,type,group
0,face,bilat-parahipp_fusi_inftemp,0.949206349206,0.0349206349206,ap100,f1 score,control
2,object,bilat-parahipp_fusi_inftemp,0.840263691684,0.012677484787,ap100,f1 score,control
4,place,bilat-parahipp_fusi_inftemp,0.875341716785,0.0278840896665,ap100,f1 score,control
6,face,bilat-parahipp_fusi_inftemp,0.921367521368,0.0324786324786,ap101,f1 score,control
8,object,bilat-parahipp_fusi_inftemp,0.858748778104,0.0200391006843,ap101,f1 score,control
10,place,bilat-parahipp_fusi_inftemp,0.898511166253,0.0369727047146,ap101,f1 score,control
12,face,bilat-parahipp_fusi_inftemp,0.925892857143,0.0116071428571,ap102,f1 score,control
14,object,bilat-parahipp_fusi_inftemp,0.791199667912,0.00332088003321,ap102,f1 score,control
16,place,bilat-parahipp_fusi_inftemp,0.928059395801,0.00742447516641,ap102,f1 score,control
18,face,bilat-parahipp_fusi_inftemp,0.857918552036,0.0343891402715,ap103,f1 score,control
20,object,bilat-parahipp_fusi_inftemp,0.835317460317,0.0853174603175,ap103,f1 score,control
22,place,bilat-parahipp_fusi_inftemp,0.845741512805,0.0238237045861,ap103,f1 score,control
24,face,bilat-parahipp_fusi_inftemp,0.855042016807,0.00210084033613,ap104,f1 score,control
26,object,bilat-parahipp_fusi_inftemp,0.679487179487,0.0128205128205,ap104,f1 score,control
28,place,bilat-parahipp_fusi_inftemp,0.908466819222,0.0389016018307,ap104,f1 score,control
30,face,bilat-parahipp_fusi_inftemp,0.939958592133,0.0124223602484,ap105,f1 score,control
32,object,bilat-parahipp_fusi_inftemp,0.779411764706,0.0147058823529,ap105,f1 score,control
34,place,bilat-parahipp_fusi_inftemp,0.861466325661,0.0208866155158,ap105,f1 score,control
36,face,bilat-parahipp_fusi_inftemp,0.932157394844,0.0230664857531,ap107,f1 score,control
38,object,bilat-parahipp_fusi_inftemp,0.819444444444,0.0138888888889,ap107,f1 score,control
40,place,bilat-parahipp_fusi_inftemp,0.923097974822,0.0610290093049,ap107,f1 score,control
42,face,bilat-parahipp_fusi_inftemp,0.881800391389,0.0324853228963,ap108,f1 score,control
44,object,bilat-parahipp_fusi_inftemp,0.851993315827,0.063260921461,ap108,f1 score,control
46,place,bilat-parahipp_fusi_inftemp,0.823376623377,0.00519480519481,ap108,f1 score,control
48,face,bilat-parahipp_fusi_inftemp,0.832505729565,0.0792589763178,ap109,f1 score,control
50,object,bilat-parahipp_fusi_inftemp,0.841286525121,0.0243851166702,ap109,f1 score,control
52,place,bilat-parahipp_fusi_inftemp,0.888669301713,0.0098814229249,ap109,f1 score,control
54,face,bilat-parahipp_fusi_inftemp,0.920401195049,0.0189927443449,ap110,f1 score,control
56,object,bilat-parahipp_fusi_inftemp,0.831243781095,0.00457711442786,ap110,f1 score,control
58,place,bilat-parahipp_fusi_inftemp,0.910973084886,0.0414078674948,ap110,f1 score,control
60,face,bilat-parahipp_fusi_inftemp,0.840188014101,0.0293772032902,ap111,f1 score,control
62,object,bilat-parahipp_fusi_inftemp,0.876013657704,0.00277422108408,ap111,f1 score,control
64,place,bilat-parahipp_fusi_inftemp,0.917017297803,0.018466573165,ap111,f1 score,control
66,face,bilat-parahipp_fusi_inftemp,0.928571428571,0.0714285714286,ap113,f1 score,control
68,object,bilat-parahipp_fusi_inftemp,0.732835820896,0.132835820896,ap113,f1 score,control
70,place,bilat-parahipp_fusi_inftemp,0.909926470588,0.0275735294118,ap113,f1 score,control
72,face,bilat-parahipp_fusi_inftemp,0.947535052013,0.0221619176843,ap114,f1 score,control
74,object,bilat-parahipp_fusi_inftemp,0.770989573806,0.0177428205597,ap114,f1 score,control
76,place,bilat-parahipp_fusi_inftemp,0.84724857685,0.0237191650854,ap114,f1 score,control
78,face,bilat-parahipp_fusi_inftemp,0.85619047619,0.0295238095238,ap115,f1 score,control
80,object,bilat-parahipp_fusi_inftemp,0.840093240093,0.0522144522145,ap115,f1 score,control
82,place,bilat-parahipp_fusi_inftemp,0.890625,0.015625,ap115,f1 score,control
84,face,bilat-parahipp_fusi_inftemp,0.867788461538,0.0552884615385,ap116,f1 score,control
86,object,bilat-parahipp_fusi_inftemp,0.861228813559,0.0137711864407,ap116,f1 score,control
88,place,bilat-parahipp_fusi_inftemp,0.848262548263,0.0374517374517,ap116,f1 score,control
90,face,bilat-parahipp_fusi_inftemp,0.865834004835,0.0165189363417,ap117,f1 score,control
92,object,bilat-parahipp_fusi_inftemp,0.734210994485,0.0329122931863,ap117,f1 score,control
94,place,bilat-parahipp_fusi_inftemp,0.870266479663,0.00070126227209,ap117,f1 score,control
96,face,bilat-parahipp_fusi_inftemp,0.88526119403,0.0102611940299,ap118,f1 score,control
98,object,bilat-parahipp_fusi_inftemp,0.839653085922,0.055869302138,ap118,f1 score,control
