,index,group,subid,run,onset,condition,category,0,2,4,6,8,10,12,avg_logit,cond,reps
2,2,control,ap100,1.0,0.0191,sourcemiss_hi-4,place,-6.63497329965,-6.31628705335,-1.49224587633,2.58889118867,-1.03446957853,-0.64169129098,-1.10260697975,-0.144878889292,sourcemiss_hi,4
5,5,control,ap100,1.0,10.7129,CR-0,place,-0.18252702504,-0.977621527227,-4.189034068,-6.56025282095,-9.26307946147,-7.0734201052,4.52846813764,-6.7714466139,CR,0
8,8,control,ap100,1.0,19.8642,sourcehit-2,place,-9.2647195197,-4.38872712937,5.79291572167,5.69390980791,8.64548584353,6.48642774487,6.64358371326,6.65468477949,sourcehit,2
11,11,control,ap100,1.0,29.3132,sourcehit-2,place,6.80371531169,7.22220633077,4.22040846363,-3.02623442243,-1.67897804749,8.46836405917,11.4893177826,1.99589001322,sourcehit,2
14,14,control,ap100,1.0,40.6786,sourcehit-2,place,8.43097765044,3.92027790295,1.79723072433,3.70025882125,-1.27689607006,-0.230259839886,-3.5502257554,0.997583408908,sourcehit,2
17,17,control,ap100,1.0,50.4701,sourcehit-4,place,0.203407519991,-3.53608202134,-2.74808379623,3.73754529967,-2.27617275239,-9.40502635235,-5.63960570618,-2.67293440032,sourcehit,4
20,20,control,ap100,1.0,59.6147,CR-0,place,-1.88305452321,-7.30378898171,-4.43147977436,-5.08774230942,-3.38236009945,5.65055543536,9.47044047485,-1.81275668697,CR,0
23,23,control,ap100,1.0,69.7414,M-4,place,6.2397493768,9.5074884378,4.85061379958,-7.61723174841,-5.08937167301,-0.139552237937,-0.555035416584,-1.99888546494,M,4
26,26,control,ap100,1.0,79.7024,M-2,place,0.424137258044,0.209628886454,-4.72008537746,-6.94534575633,-0.393885108411,6.38028619664,0.362100093791,-1.41975751139,M,2
29,29,control,ap100,1.0,89.1064,CR-0,place,6.61266632843,0.741803999523,-2.51157316245,1.48275916477,-1.66544568127,-4.74526750502,-3.15217144136,-1.85988179599,CR,0
