,run,trial,onset,duration,shockCond,shockTrial,target,associate,resp,acc,accSpec,respRT,subid,group,remove,anxious,happy,safe,stressed,life_stress,sleep,cond_orig,cond,reps,shock_and_post,conf,onset_adj,mem_conditions,obj_conditions,onset_code,rt_z,mem_conditions_byrep,onset_code_byrep
0,1,1,12.0191,10.6661,safe,0,BANDIT,cemetery,indoor,SM,SMO_Hi,2.1094,ap100,control-fmri,,3,2,3,3,4,4.5,TO_4,outdoor,4,0,Hi,0.0191,sourcemiss_hi,old,itemhit,-1.2038800913,sourcemiss_hi-4,itemhit-4
1,1,2,22.7129,9.1242,safe,0,WALRUS,foil,foil,CR,CR,1.7773,ap100,control-fmri,,3,2,3,3,4,4.5,F_0,foil,0,0,N,10.7129,CR,new,CR,-0.1286752619,CR-0,CR-0
2,1,3,31.8642,9.4224,safe,0,VIOLIN,throne_room,indoor,H,HI_Hi,1.6804,ap100,control-fmri,,3,2,3,3,4,4.5,TI_2,indoor,2,0,Hi,19.8642,sourcehit,old,sourcehit,-0.7460198777,sourcehit-2,sourcehit-2
3,1,4,41.3132,11.3389,safe,0,MEDAL,hayfield,outdoor,H,HO_Hi,1.7268,ap100,control-fmri,,3,2,3,3,4,4.5,TO_2,outdoor,2,0,Hi,29.3132,sourcehit,old,sourcehit,-0.6738595226,sourcehit-2,sourcehit-2
4,1,5,52.6786,9.7644,safe,0,MANURE,canyon,outdoor,H,HO_Hi,1.3734,ap100,control-fmri,,3,2,3,3,4,4.5,TO_2,outdoor,2,0,Hi,40.6786,sourcehit,old,sourcehit,-1.223460158,sourcehit-2,sourcehit-2
5,1,6,62.4701,9.118,safe,0,SARDINE,mountain_snowy,outdoor,H,HO_Hi,2.1476,ap100,control-fmri,,3,2,3,3,4,4.5,TO_4,outdoor,4,0,Hi,50.4701,sourcehit,old,sourcehit,-0.0194397508,sourcehit-4,sourcehit-4
6,1,7,71.6147,10.1001,safe,0,SHEEP,foil,foil,CR,CR,2.0589,ap100,control-fmri,,3,2,3,3,4,4.5,F_0,foil,0,0,N,59.6147,CR,new,CR,0.5135534866,CR-0,CR-0
7,1,8,81.7414,9.9338,safe,0,TOBACCO,synagogue,foil,M,MI,1.9086,ap100,control-fmri,,3,2,3,3,4,4.5,TI_4,indoor,4,0,N,69.7414,M,old,M,-0.2200555102,M-4,M-4
8,1,9,91.7024,9.3774,safe,0,GOAT,bus_interior,foil,M,MI,2.1548,ap100,control-fmri,,3,2,3,3,4,4.5,TI_2,indoor,2,0,N,79.7024,M,old,M,0.1393916062,M-2,M-2
9,1,10,101.1064,9.758,safe,0,MILK,foil,foil,CR,CR,1.4059,ap100,control-fmri,,3,2,3,3,4,4.5,F_0,foil,0,0,N,89.1064,CR,new,CR,-0.9757056496,CR-0,CR-0
