,run,trial,onset,duration,cond,subcond,resp,acc,respRT,subid,group,duration_adj,onset_adj
0,1,1,12.0068,1.4946,object,manmade,manmade,1,0.8153,loc100,control,0.4946,0.0068
1,1,2,13.9136,1.0869,object,manmade,manmade,1,0.8784,loc100,control,0.0869,1.9136
2,1,3,15.029,1.4716,object,natural,natural,1,0.6792,loc100,control,0.4716,3.029
3,1,4,16.5293,1.4712,object,manmade,manmade,1,0.6867,loc100,control,0.4712,4.5293
4,1,5,18.0304,1.4701,object,natural,natural,1,0.5906,loc100,control,0.4701,6.0304
5,1,6,19.5308,1.47,object,natural,natural,1,0.3726,loc100,control,0.47,7.5308
6,1,7,21.0319,1.4686,object,manmade,manmade,1,0.5161,loc100,control,0.4686,9.0319
7,1,8,22.5321,1.4683,object,manmade,manmade,1,0.5143,loc100,control,0.4683,10.5321
8,1,9,24.0324,1.4688,object,natural,natural,1,0.411,loc100,control,0.4688,12.0324
9,1,10,25.5345,1.4665,object,natural,manmade,0,0.5462,loc100,control,0.4665,13.5345
11,1,12,37.5486,1.4529,face,female,female,1,0.5439,loc100,control,0.4529,25.5486
12,1,13,39.0508,1.4493,face,male,male,1,0.4022,loc100,control,0.4493,27.0508
13,1,14,40.5353,1.4662,face,female,female,1,0.4125,loc100,control,0.4662,28.5353
14,1,15,42.0369,1.4632,face,male,male,1,0.4059,loc100,control,0.4632,30.0369
15,1,16,43.5367,1.4645,face,female,female,1,0.4516,loc100,control,0.4645,31.5367
16,1,17,45.0373,1.4635,face,male,male,1,0.556,loc100,control,0.4635,33.0373
17,1,18,46.5379,1.4626,face,male,male,1,0.4522,loc100,control,0.4626,34.5379
18,1,19,48.0387,1.4615,face,female,female,1,0.5134,loc100,control,0.4615,36.0387
19,1,20,49.5387,1.4616,face,male,male,1,0.5633,loc100,control,0.4616,37.5387
20,1,21,51.0396,1.4618,face,female,female,1,0.3376,loc100,control,0.4618,39.0396
22,1,23,63.0589,1.4421,object,manmade,natural,0,0.6524,loc100,control,0.4421,51.0589
23,1,24,64.5593,1.4417,object,manmade,manmade,1,0.6945,loc100,control,0.4417,52.5593
24,1,25,66.0429,1.4576,object,manmade,natural,0,0.4359,loc100,control,0.4576,54.0429
25,1,26,67.5418,1.4591,object,natural,natural,1,0.5198,loc100,control,0.4591,55.5418
26,1,27,69.0439,1.4569,object,natural,natural,1,0.6203,loc100,control,0.4569,57.0439
27,1,28,70.5436,1.4576,object,manmade,manmade,1,0.5865,loc100,control,0.4576,58.5436
28,1,29,72.0456,1.4558,object,manmade,natural,0,0.5129,loc100,control,0.4558,60.0456
29,1,30,73.5455,1.4552,object,natural,natural,1,0.4071,loc100,control,0.4552,61.5455
30,1,31,75.0457,1.4552,object,natural,natural,1,0.5033,loc100,control,0.4552,63.0457
31,1,32,76.5464,1.4547,object,natural,natural,1,0.6639,loc100,control,0.4547,64.5464
33,1,34,88.569,1.4329,face,female,female,1,0.6189,loc100,control,0.4329,76.569
34,1,35,90.0698,1.4311,face,male,male,1,0.366,loc100,control,0.4311,78.0698
35,1,36,91.5488,1.4525,face,male,male,1,0.5135,loc100,control,0.4525,79.5488
36,1,37,93.0492,1.4514,face,female,female,1,0.4233,loc100,control,0.4514,81.0492
37,1,38,94.5492,1.452,face,male,male,1,0.3939,loc100,control,0.452,82.5492
38,1,39,96.0503,1.4508,face,female,female,1,0.3941,loc100,control,0.4508,84.0503
39,1,40,97.5516,1.4485,face,female,male,0,0.3959,loc100,control,0.4485,85.5516
40,1,41,99.0503,1.4502,face,male,male,1,0.6946,loc100,control,0.4502,87.0503
41,1,42,100.552,1.449,face,female,female,1,0.6366,loc100,control,0.449,88.552
42,1,43,102.0536,1.4476,face,male,male,1,0.4254,loc100,control,0.4476,90.0536
44,1,45,114.0783,1.4228,face,male,male,1,0.5882,loc100,control,0.4228,102.0783
45,1,46,115.5794,1.4223,face,male,female,0,0.3422,loc100,control,0.4223,103.5794
46,1,47,117.0571,1.4436,face,female,female,1,0.359,loc100,control,0.4436,105.0571
47,1,48,118.555,1.4452,face,female,NR,0,999.5,loc100,control,0.4452,106.555
48,1,49,120.0559,1.4444,face,male,male,1,0.5228,loc100,control,0.4444,108.0559
49,1,50,121.5567,1.444,face,female,female,1,0.744,loc100,control,0.444,109.5567
50,1,51,123.0576,1.4426,face,female,female,1,0.4055,loc100,control,0.4426,111.0576
51,1,52,124.5572,1.4434,face,female,female,1,0.5247,loc100,control,0.4434,112.5572
52,1,53,126.0594,1.4414,face,male,NR,0,999.5,loc100,control,0.4414,114.0594
53,1,54,127.559,1.4423,face,male,NR,0,999.5,loc100,control,0.4423,115.559
55,1,56,139.5873,1.413,object,natural,natural,1,0.7863,loc100,control,0.413,127.5873
56,1,57,141.0879,1.4133,object,natural,manmade,0,0.1016,loc100,control,0.4133,129.0879
57,1,58,142.5629,1.4378,object,manmade,natural,0,0.5932,loc100,control,0.4378,130.5629
58,1,59,144.0623,1.4381,object,manmade,manmade,1,0.6301,loc100,control,0.4381,132.0623
59,1,60,145.5631,1.4373,object,manmade,manmade,1,0.5961,loc100,control,0.4373,133.5631
60,1,61,147.0626,1.4381,object,natural,NR,0,999.5,loc100,control,0.4381,135.0626
61,1,62,148.5643,1.436,object,natural,natural,1,0.5132,loc100,control,0.436,136.5643
62,1,63,150.065,1.4352,object,natural,natural,1,0.4145,loc100,control,0.4352,138.065
63,1,64,151.5654,1.4354,object,manmade,manmade,1,0.6984,loc100,control,0.4354,139.5654
64,1,65,153.0663,1.4343,object,manmade,manmade,1,0.5872,loc100,control,0.4343,141.0663
66,1,67,165.0967,1.404,place,indoor,indoor,1,0.721,loc100,control,0.404,153.0967
67,1,68,166.5976,1.4044,place,outdoor,indoor,0,0.5382,loc100,control,0.4044,154.5976
68,1,69,168.0705,1.4304,place,indoor,indoor,1,0.3871,loc100,control,0.4304,156.0705
69,1,70,169.5683,1.4331,place,outdoor,outdoor,1,0.6802,loc100,control,0.4331,157.5683
70,1,71,171.0706,1.4298,place,indoor,indoor,1,0.6097,loc100,control,0.4298,159.0706
71,1,72,172.5699,1.4304,place,outdoor,outdoor,1,0.3399,loc100,control,0.4304,160.5699
72,1,73,174.0701,1.4304,place,indoor,indoor,1,0.5097,loc100,control,0.4304,162.0701
73,1,74,175.5715,1.4299,place,outdoor,outdoor,1,0.3905,loc100,control,0.4299,163.5715
74,1,75,177.0734,1.4281,place,indoor,indoor,1,0.6337,loc100,control,0.4281,165.0734
75,1,76,178.573,1.4276,place,outdoor,outdoor,1,0.6283,loc100,control,0.4276,166.573
77,1,78,190.6061,1.3956,place,outdoor,outdoor,1,0.7322,loc100,control,0.3956,178.6061
78,1,79,192.1081,1.3923,place,outdoor,outdoor,1,0.7076,loc100,control,0.3923,180.1081
79,1,80,193.5748,1.4258,place,indoor,indoor,1,0.5689,loc100,control,0.4258,181.5748
80,1,81,195.0757,1.425,place,indoor,indoor,1,0.3535,loc100,control,0.425,183.0757
81,1,82,196.5759,1.4253,place,indoor,indoor,1,0.5047,loc100,control,0.4253,184.5759
82,1,83,198.0772,1.4236,place,indoor,indoor,1,0.4114,loc100,control,0.4236,186.0772
83,1,84,199.5771,1.4241,place,indoor,indoor,1,0.3822,loc100,control,0.4241,187.5771
84,1,85,201.0782,1.4227,place,outdoor,outdoor,1,0.8695,loc100,control,0.4227,189.0782
85,1,86,202.578,1.4231,place,outdoor,outdoor,1,0.6675,loc100,control,0.4231,190.578
86,1,87,204.0801,1.4212,place,outdoor,outdoor,1,0.4079,loc100,control,0.4212,192.0801
88,1,89,216.1159,1.3862,object,natural,natural,1,0.641,loc100,control,0.3862,204.1159
89,1,90,217.6182,1.3826,object,manmade,natural,0,0.5148,loc100,control,0.3826,205.6182
90,1,91,219.0815,1.4186,object,manmade,natural,0,0.3962,loc100,control,0.4186,207.0815
91,1,92,220.5803,1.4201,object,manmade,natural,0,0.5601,loc100,control,0.4201,208.5803
92,1,93,222.0821,1.4188,object,natural,natural,1,0.3551,loc100,control,0.4188,210.0821
93,1,94,223.5821,1.4181,object,manmade,manmade,1,0.5989,loc100,control,0.4181,211.5821
94,1,95,225.0828,1.4179,object,natural,NR,0,999.5,loc100,control,0.4179,213.0828
95,1,96,226.5837,1.4174,object,natural,natural,1,0.3624,loc100,control,0.4174,214.5837
96,1,97,228.0847,1.4161,object,natural,natural,1,0.3553,loc100,control,0.4161,216.0847
97,1,98,229.5848,1.4162,object,manmade,manmade,1,0.7091,loc100,control,0.4162,217.5848
99,1,100,241.6259,1.3753,place,indoor,outdoor,0,0.9147,loc100,control,0.3753,229.6259
100,1,101,243.1269,1.3746,place,indoor,outdoor,0,0.5487,loc100,control,0.3746,231.1269
