"","subid","group","shockCond","reps","resp","H","SM","dprime","c"
"1","ap100","control","safe","2","indoor",0.5,0.0555555555555556,1.59321881802305,0.796609409011525
"2","ap100","control","safe","2","outdoor",0.555555555555556,0.025,2.09967428342192,0.910126842829096
"3","ap100","control","safe","4","indoor",0.666666666666667,0.05,2.07558092624693,0.607063163828008
"4","ap100","control","safe","4","outdoor",0.7,0.166666666666667,1.49182207880974,0.22151052669683
"5","ap100","control","threat","2","indoor",0.476190476190476,0.0476190476190476,1.60867409416176,0.864054146866201
"6","ap100","control","threat","2","outdoor",0.476190476190476,0.0952380952380952,1.24945461700045,0.68444440828555
"7","ap100","control","threat","4","indoor",0.476190476190476,0.142857142857143,1.00785342409282,0.563643811831732
"8","ap100","control","threat","4","outdoor",0.619047619047619,0.0952380952380952,1.61215216484198,0.503095634364785
"9","ap101","control","safe","2","indoor",0.428571428571429,0.0476190476190476,1.48837882415437,0.924201781869892
"10","ap101","control","safe","2","outdoor",0.428571428571429,0.0952380952380952,1.12915934699307,0.744592043289241
"11","ap101","control","safe","4","indoor",0.857142857142857,0.0238095238095238,3.04832292052542,0.456590936384569
"12","ap101","control","safe","4","outdoor",0.857142857142857,0.0238095238095238,3.04832292052542,0.456590936384569
"13","ap101","control","threat","2","indoor",0.333333333333333,0.0476190476190476,1.23766389465162,1.04955924662127
"14","ap101","control","threat","2","outdoor",0.619047619047619,0.142857142857143,1.37055097193435,0.382295037910968
"15","ap101","control","threat","4","indoor",0.714285714285714,0.0238095238095238,2.54670121858014,0.707401787357208
"16","ap101","control","threat","4","outdoor",0.761904761904762,0.0238095238095238,2.69319542903677,0.634154682128895
"17","ap102","control","safe","2","indoor",0.19047619047619,0.142857142857143,0.191427674631301,0.971856686562491
"18","ap102","control","safe","2","outdoor",0.380952380952381,0.333333333333333,0.127746851239251,0.366853873675832
"19","ap102","control","safe","4","indoor",0.476190476190476,0.0952380952380952,1.24945461700045,0.68444440828555
"20","ap102","control","safe","4","outdoor",0.571428571428571,0.0952380952380952,1.48918408657848,0.564579673496536
"21","ap102","control","threat","2","indoor",0.142857142857143,0.0263157894736842,0.870360986974687,1.50275101736548
"22","ap102","control","threat","2","outdoor",0.421052631578947,0.142857142857143,0.868369199088875,0.633385924333704
"23","ap102","control","threat","4","indoor",0.476190476190476,0.19047619047619,0.816425749461518,0.467929974516082
"24","ap102","control","threat","4","outdoor",0.619047619047619,0.380952380952381,0.605960896112413,0
"25","ap103","control","safe","2","indoor",0.428571428571429,0.0238095238095238,1.80074002685457,1.08038238321999
"26","ap103","control","safe","2","outdoor",0.619047619047619,0.142857142857143,1.37055097193435,0.382295037910968
"27","ap103","control","safe","4","indoor",0.80952380952381,0.025,2.83610683378689,0.541910567646606
"28","ap103","control","safe","4","outdoor",0.85,0.0476190476190476,2.70482458344087,0.315978902226645
"29","ap103","control","threat","2","indoor",0.666666666666667,0.15,1.46716068878925,0.302853045099166
"30","ap103","control","threat","2","outdoor",0.6,0.0476190476190476,1.92173829708288,0.707522045405639
"31","ap103","control","threat","4","indoor",0.619047619047619,0.0238095238095238,2.28373284470349,0.838885974295536
"32","ap103","control","threat","4","outdoor",0.857142857142857,0.238095238095238,1.78001355626763,-0.177563745744326
"33","ap104","control","safe","2","indoor",0.80952380952381,0.05,2.52099647619831,0.384355388852316
"34","ap104","control","safe","2","outdoor",0.95,0.0952380952380952,2.95402534373725,-0.167840955082847
"35","ap104","control","safe","4","indoor",0.904761904761905,0.0238095238095238,3.28992411343306,0.335790339930751
"36","ap104","control","safe","4","outdoor",0.952380952380952,0.0952380952380952,2.97756291073286,-0.179609738580651
"37","ap104","control","threat","2","indoor",0.80952380952381,0.19047619047619,1.75228569849368,0
"38","ap104","control","threat","2","outdoor",0.714285714285714,0.19047619047619,1.4420916711797,0.155097013656989
"39","ap104","control","threat","4","indoor",0.952380952380952,0.025,3.62835517848713,0.145786395296488
"40","ap104","control","threat","4","outdoor",0.975,0.0476190476190476,3.62835517848713,-0.145786395296487
"41","ap105","control","safe","2","indoor",0.523809523809524,0.1,1.34126866532992,0.610917232879639
"42","ap105","control","safe","2","outdoor",0.6,0.142857142857143,1.32091762701394,0.407111710371171
"43","ap105","control","safe","4","indoor",0.80952380952381,0.0952380952380952,2.18531456603262,0.216514433769468
"44","ap105","control","safe","4","outdoor",0.857142857142857,0.142857142857143,2.13514104775628,1.11022302462516e-16
"45","ap105","control","threat","2","indoor",0.619047619047619,0.0952380952380952,1.61215216484198,0.503095634364785
"46","ap105","control","threat","2","outdoor",0.666666666666667,0.0476190476190476,2.09911849324254,0.618831947325811
"47","ap105","control","threat","4","indoor",0.761904761904762,0.1,1.99399459793409,0.284554266577556
"48","ap105","control","threat","4","outdoor",0.9,0.19047619047619,2.15769441479144,-0.20270435814888
"49","ap106","control","safe","2","indoor",0.142857142857143,0.0238095238095238,0.913181872769137,1.52416146026271
"50","ap106","control","safe","2","outdoor",0.285714285714286,0.19047619047619,0.310194027313978,0.721045835589852
"51","ap106","control","safe","4","indoor",0.19047619047619,0.238095238095238,-0.163699816857352,0.794292940818165
"52","ap106","control","safe","4","outdoor",0.19047619047619,0.428571428571429,-0.696130479454136,0.528077609519773
"53","ap106","control","threat","2","indoor",0.0714285714285714,0.0714285714285714,0,1.46523379268552
"54","ap106","control","threat","2","outdoor",0.214285714285714,0.285714285714286,-0.225689785810511,0.678793714838119
"55","ap106","control","threat","4","indoor",0.285714285714286,0.142857142857143,0.501621701945279,0.816759672905502
"56","ap106","control","threat","4","outdoor",0.285714285714286,0.214285714285714,0.225689785810511,0.678793714838119
"57","ap107","control","safe","2","indoor",0.714285714285714,0.0952380952380952,1.87512053871864,0.371611447426457
"58","ap107","control","safe","2","outdoor",0.666666666666667,0.142857142857143,1.4982978231736,0.318421612291342
"59","ap107","control","safe","4","indoor",0.714285714285714,0.1,1.84750038747746,0.357801371805869
"60","ap107","control","safe","4","outdoor",0.75,0.142857142857143,1.74206027407422,0.19654038684103
"61","ap107","control","threat","2","indoor",0.857142857142857,0.05,2.71242415082961,0.288641551536666
"62","ap107","control","threat","2","outdoor",0.75,0.0476190476190476,2.34288094414316,0.496950721875499
"63","ap107","control","threat","4","indoor",0.714285714285714,0.0952380952380952,1.87512053871864,0.371611447426457
"64","ap107","control","threat","4","outdoor",0.857142857142857,0.142857142857143,2.13514104775628,1.11022302462516e-16
"65","ap108","control","safe","2","indoor",0.285714285714286,0.0476190476190476,1.10244237201422,1.11717000793997
"66","ap108","control","safe","2","outdoor",0.0476190476190476,0.0238095238095238,0.3123612027002,1.82457179529718
"67","ap108","control","safe","4","indoor",0.19047619047619,0.142857142857143,0.191427674631301,0.971856686562491
"68","ap108","control","safe","4","outdoor",0.0952380952380952,0.0476190476190476,0.359219477161302,1.48878145536643
"69","ap108","control","threat","2","indoor",0.238095238095238,0.142857142857143,0.355127491488653,0.890006778133815
"70","ap108","control","threat","2","outdoor",0.0238095238095238,0.0238095238095238,0,1.98075239664728
"71","ap108","control","threat","4","indoor",0.428571428571429,0.142857142857143,0.887558154085437,0.623791446835423
"72","ap108","control","threat","4","outdoor",0.0952380952380952,0.0476190476190476,0.359219477161302,1.48878145536643
"73","ap109","control","safe","2","indoor",0.19047619047619,0.142857142857143,0.191427674631301,0.971856686562491
"74","ap109","control","safe","2","outdoor",0.380952380952381,0.333333333333333,0.127746851239251,0.366853873675832
"75","ap109","control","safe","4","indoor",0.523809523809524,0.0952380952380952,1.3688888165711,0.624727308500227
"76","ap109","control","safe","4","outdoor",0.666666666666667,0.285714285714286,0.99667612122832,0.0676107613187029
"77","ap109","control","threat","2","indoor",0.142857142857143,0.0952380952380952,0.241601192907636,1.18837112033196
"78","ap109","control","threat","2","outdoor",0.238095238095238,0.19047619047619,0.163699816857352,0.794292940818165
"79","ap109","control","threat","4","indoor",0.380952380952381,0.157894736842105,0.700167519606327,0.65306420785937
"80","ap109","control","threat","4","outdoor",0.421052631578947,0.285714285714286,0.366747497143596,0.382575073361065
"81","ap110","control","safe","2","indoor",0.0238095238095238,0.025,-0.0207884121072248,1.97035819059367
"82","ap110","control","safe","2","outdoor",0.025,0.0238095238095238,0.0207884121072248,1.97035819059367
"83","ap110","control","safe","4","indoor",0.285714285714286,0.0238095238095238,1.41480357471442,1.27335060929007
"84","ap110","control","safe","4","outdoor",0.0952380952380952,0.0238095238095238,0.671580679861501,1.64496205671653
"85","ap110","control","threat","2","indoor",0.0476190476190476,0.0238095238095238,0.3123612027002,1.82457179529718
"86","ap110","control","threat","2","outdoor",0.0952380952380952,0.0476190476190476,0.359219477161302,1.48878145536643
"87","ap110","control","threat","4","indoor",0.142857142857143,0.025,0.892393460661912,1.5137672542091
"88","ap110","control","threat","4","outdoor",0.3,0.0238095238095238,1.45635188393924,1.25257645467766
"89","ap111","control","safe","2","indoor",0.19047619047619,0.1,0.40540871629776,1.07884720739572
"90","ap111","control","safe","2","outdoor",0.35,0.0952380952380952,0.92385125037821,0.847246091596672
"91","ap111","control","safe","4","indoor",0.476190476190476,0.0238095238095238,1.92103529686196,1.0202347482163
"92","ap111","control","safe","4","outdoor",0.666666666666667,0.0952380952380952,1.73989901608123,0.43922220874516
"93","ap111","control","threat","2","indoor",0.333333333333333,0.025,1.5292366852446,1.19534564191776
"94","ap111","control","threat","2","outdoor",0.25,0.0238095238095238,1.3062626464512,1.32762107342168
"95","ap111","control","threat","4","indoor",0.476190476190476,0.0476190476190476,1.60867409416176,0.864054146866201
"96","ap111","control","threat","4","outdoor",0.761904761904762,0.0476190476190476,2.38083422633657,0.477974080778795
"97","ap113","control","safe","2","indoor",0.428571428571429,0.285714285714286,0.385936452140158,0.372980595862784
"98","ap113","control","safe","2","outdoor",0.238095238095238,0.0476190476190476,0.95594816155759,1.19041711316828
"99","ap113","control","safe","4","indoor",0.571428571428571,0.142857142857143,1.24758289367085,0.443779077042718
"100","ap113","control","safe","4","outdoor",0.571428571428571,0.0476190476190476,1.84840356373978,0.744189412077187
"101","ap113","control","threat","2","indoor",0.19047619047619,0.0476190476190476,0.792248344700238,1.27226702159696
"102","ap113","control","threat","2","outdoor",0.476190476190476,0.0476190476190476,1.60867409416176,0.864054146866201
"103","ap113","control","threat","4","indoor",0.571428571428571,0.19047619047619,1.05615521903955,0.348065239727068
"104","ap113","control","threat","4","outdoor",0.523809523809524,0.0238095238095238,2.0404694964326,0.960517648430978
"105","ap114","control","safe","2","indoor",0.571428571428571,0.0952380952380952,1.48918408657848,0.564579673496536
"106","ap114","control","safe","2","outdoor",0.571428571428571,0.0238095238095238,2.16076476643998,0.900370013427287
"107","ap114","control","safe","4","indoor",0.666666666666667,0.0238095238095238,2.41147969594274,0.775012548675911
"108","ap114","control","safe","4","outdoor",0.80952380952381,0.0476190476190476,2.54453404319392,0.396124172350119
"109","ap114","control","threat","2","indoor",0.476190476190476,0.105263157894737,1.1924024204799,0.655918310025271
"110","ap114","control","threat","2","outdoor",0.526315789473684,0.0476190476190476,1.73440300632292,0.801189690785619
"111","ap114","control","threat","4","indoor",0.666666666666667,0.0238095238095238,2.41147969594274,0.775012548675911
"112","ap114","control","threat","4","outdoor",0.619047619047619,0.0476190476190476,1.97137164200329,0.682705372945436
"113","ap115","control","safe","2","indoor",0.428571428571429,0.25,0.494477380403377,0.427251059994393
"114","ap115","control","safe","2","outdoor",0.25,0.142857142857143,0.39308077368206,0.871030137037112
"115","ap115","control","safe","4","indoor",0.619047619047619,0.2,1.14460168162912,0.269320392758354
"116","ap115","control","safe","4","outdoor",0.6,0.0952380952380952,1.56251881992158,0.527912306824989
"117","ap115","control","threat","2","indoor",0.428571428571429,0.19047619047619,0.696130479454136,0.528077609519773
"118","ap115","control","threat","2","outdoor",0.476190476190476,0.0952380952380952,1.24945461700045,0.68444440828555
"119","ap115","control","threat","4","indoor",0.285714285714286,0.0476190476190476,1.10244237201422,1.11717000793997
"120","ap115","control","threat","4","outdoor",0.666666666666667,0.285714285714286,0.99667612122832,0.0676107613187029
"121","ap116","control","safe","2","indoor",0.857142857142857,0.0238095238095238,3.04832292052542,0.456590936384569
"122","ap116","control","safe","2","outdoor",0.904761904761905,0.0476190476190476,2.97756291073286,0.179609738580651
"123","ap116","control","safe","4","indoor",0.857142857142857,0.025,3.0275345084182,0.446196730330956
"124","ap116","control","safe","4","outdoor",0.975,0.0952380952380952,3.26913570132583,-0.325396133877138
"125","ap116","control","threat","2","indoor",0.80952380952381,0.05,2.52099647619831,0.384355388852316
"126","ap116","control","threat","2","outdoor",0.9,0.0476190476190476,2.94994275949168,0.193419814201239
"127","ap116","control","threat","4","indoor",0.857142857142857,0.0238095238095238,3.04832292052542,0.456590936384569
"128","ap116","control","threat","4","outdoor",0.952380952380952,0.0476190476190476,3.33678238789416,1.11022302462516e-16
"129","ap117","control","safe","2","indoor",0.238095238095238,0.0238095238095238,1.26830936425779,1.34659771451838
"130","ap117","control","safe","2","outdoor",0.619047619047619,0.380952380952381,0.605960896112413,0
"131","ap117","control","safe","4","indoor",0.523809523809524,0.1,1.34126866532992,0.610917232879639
"132","ap117","control","safe","4","outdoor",0.7,0.285714285714286,1.0903493346409,0.0207741546124112
"133","ap117","control","threat","2","indoor",0.380952380952381,0.0476190476190476,1.36541074589087,0.985685821001643
"134","ap117","control","threat","2","outdoor",0.476190476190476,0.333333333333333,0.371010199510135,0.24522219954039
"135","ap117","control","threat","4","indoor",0.571428571428571,0.05,1.82486599674418,0.732420628579384
"136","ap117","control","threat","4","outdoor",0.6,0.19047619047619,1.12948995238264,0.311397873055521
"137","ap118","control","safe","2","indoor",0.285714285714286,0.19047619047619,0.310194027313978,0.721045835589852
"138","ap118","control","safe","2","outdoor",0.142857142857143,0.0476190476190476,0.600820670068937,1.36798085891261
"139","ap118","control","safe","4","indoor",0.714285714285714,0.0952380952380952,1.87512053871864,0.371611447426457
"140","ap118","control","safe","4","outdoor",0.619047619047619,0.0476190476190476,1.97137164200329,0.682705372945436
"141","ap118","control","threat","2","indoor",0.380952380952381,0.2,0.538640785516708,0.57230084081456
"142","ap118","control","threat","2","outdoor",0.2,0.0476190476190476,0.826769960374165,1.25500621376
"143","ap118","control","threat","4","indoor",0.333333333333333,0.2,0.410893934277457,0.636174266434186
"144","ap118","control","threat","4","outdoor",0.35,0.0952380952380952,0.92385125037821,0.847246091596672
"145","ap119","control","safe","2","indoor",0.666666666666667,0.142857142857143,1.4982978231736,0.318421612291342
"146","ap119","control","safe","2","outdoor",0.428571428571429,0.0476190476190476,1.48837882415437,0.924201781869892
"147","ap119","control","safe","4","indoor",0.761904761904762,0.0526315789473684,2.33229929102776,0.45370661312439
"148","ap119","control","safe","4","outdoor",0.894736842105263,0.142857142857143,2.31969004414336,-0.0922744981935389
"149","ap119","control","threat","2","indoor",0.571428571428571,0.0476190476190476,1.84840356373978,0.744189412077187
"150","ap119","control","threat","2","outdoor",0.523809523809524,0.0476190476190476,1.7281082937324,0.804337047080878
"151","ap119","control","threat","4","indoor",0.857142857142857,0.0952380952380952,2.37674224066392,0.120800596453818
"152","ap119","control","threat","4","outdoor",0.857142857142857,0.0476190476190476,2.73596171782522,0.300410335034469
"153","ap120","control","safe","2","indoor",0.428571428571429,0.0476190476190476,1.48837882415437,0.924201781869892
"154","ap120","control","safe","2","outdoor",0.428571428571429,0.0238095238095238,1.80074002685457,1.08038238321999
"155","ap120","control","safe","4","indoor",0.428571428571429,0.0476190476190476,1.48837882415437,0.924201781869892
"156","ap120","control","safe","4","outdoor",0.619047619047619,0.0476190476190476,1.97137164200329,0.682705372945436
"157","ap120","control","threat","2","indoor",0.285714285714286,0.19047619047619,0.310194027313978,0.721045835589852
"158","ap120","control","threat","2","outdoor",0.333333333333333,0.0952380952380952,0.87844441749032,0.869949508040617
"159","ap120","control","threat","4","indoor",0.476190476190476,0.0238095238095238,1.92103529686196,1.0202347482163
