"","subid","group","shockCond","reps","hits","olds","fas","news","hitRate","faRate","halfHit","halfFA","crRate","dprime","c"
"1","ap100","control","safe","2",29,38,8,37,0.763157894736842,0.216216216216216,0.0131578947368421,0.0135135135135135,0.783783783783784,1.50153355005488,0.0342692748494502
"2","ap100","control","threat","2",32,42,8,42,0.761904761904762,0.19047619047619,0.0119047619047619,0.0119047619047619,0.80952380952381,1.58858588163633,0.0818499084286761
"3","ap100","control","safe","4",31,38,8,37,0.815789473684211,0.216216216216216,0.0131578947368421,0.0135135135135135,0.783783783783784,1.68447095754413,-0.0571994288951709
"4","ap100","control","threat","4",35,42,8,42,0.833333333333333,0.19047619047619,0.0119047619047619,0.0119047619047619,0.80952380952381,1.84356441534854,-0.0456393584274302
"5","ap101","control","safe","2",28,42,1,42,0.666666666666667,0.0238095238095238,0.0119047619047619,0.0119047619047619,0.976190476190476,2.41147969594274,0.775012548675911
"6","ap101","control","threat","2",32,42,1,42,0.761904761904762,0.0238095238095238,0.0119047619047619,0.0119047619047619,0.976190476190476,2.69319542903677,0.634154682128895
"7","ap101","control","safe","4",39,42,1,42,0.928571428571429,0.0238095238095238,0.0119047619047619,0.0119047619047619,0.976190476190476,3.4459861893328,0.257759301980878
"8","ap101","control","threat","4",34,42,1,42,0.80952380952381,0.0238095238095238,0.0119047619047619,0.0119047619047619,0.976190476190476,2.85689524589412,0.552304773700219
"9","ap102","control","safe","2",40,42,33,42,0.952380952380952,0.785714285714286,0.0119047619047619,0.0119047619047619,0.214285714285714,0.876752586203704,-1.23001490084523
"10","ap102","control","threat","2",36,40,28,42,0.9,0.666666666666667,0.0125,0.0119047619047619,0.333333333333333,0.850824266249143,-0.856139432420029
"11","ap102","control","safe","4",42,42,33,42,0.988095238095238,0.785714285714286,0.0119047619047619,0.0119047619047619,0.214285714285714,1.468550383586,-1.52591379953638
"12","ap102","control","threat","4",42,42,28,42,0.988095238095238,0.666666666666667,0.0119047619047619,0.0119047619047619,0.333333333333333,1.82946169203392,-1.34545814531242
"13","ap103","control","safe","2",34,42,4,42,0.80952380952381,0.0952380952380952,0.0119047619047619,0.0119047619047619,0.904761904761905,2.18531456603262,0.216514433769468
"14","ap103","control","threat","2",36,41,6,42,0.878048780487805,0.142857142857143,0.0121951219512195,0.0119047619047619,0.857142857142857,2.23285851357482,-0.0488587329092703
"15","ap103","control","safe","4",37,41,4,42,0.902439024390244,0.0952380952380952,0.0121951219512195,0.0119047619047619,0.904761904761905,2.60474670388346,0.00679836484404506
"16","ap103","control","threat","4",41,42,6,42,0.976190476190476,0.142857142857143,0.0119047619047619,0.0119047619047619,0.857142857142857,3.04832292052542,-0.456590936384568
"17","ap104","control","safe","2",39,41,0,42,0.951219512195122,0.0119047619047619,0.0121951219512195,0.0119047619047619,1,3.91698375714536,0.301697112756697
"18","ap104","control","threat","2",40,42,3,42,0.952380952380952,0.0714285714285714,0.0119047619047619,0.0119047619047619,0.928571428571429,3.1336249866326,-0.101578700630778
"19","ap104","control","safe","4",41,42,0,42,0.976190476190476,0.0119047619047619,0.0119047619047619,0.0119047619047619,1,4.24094138797665,0.139718297341048
"20","ap104","control","threat","4",41,41,3,42,0.98780487804878,0.0714285714285714,0.0121951219512195,0.0119047619047619,0.928571428571429,3.71615948918832,-0.392845951908636
"21","ap105","control","safe","2",33,41,7,42,0.804878048780488,0.166666666666667,0.0121951219512195,0.0119047619047619,0.833333333333333,1.82659669569755,0.0541232182529255
"22","ap105","control","threat","2",40,42,4,42,0.952380952380952,0.0952380952380952,0.0119047619047619,0.0119047619047619,0.904761904761905,2.97756291073286,-0.179609738580651
"23","ap105","control","safe","4",41,42,7,42,0.976190476190476,0.166666666666667,0.0119047619047619,0.0119047619047619,0.833333333333333,2.94817396274898,-0.506665415272789
"24","ap105","control","threat","4",41,41,4,42,0.98780487804878,0.0952380952380952,0.0121951219512195,0.0119047619047619,0.904761904761905,3.56009741328857,-0.470876989858508
"25","ap106","control","safe","2",38,42,27,42,0.904761904761905,0.642857142857143,0.0119047619047619,0.0119047619047619,0.357142857142857,0.943065359985208,-0.837639036793173
"26","ap106","control","threat","2",25,28,17,28,0.892857142857143,0.607142857142857,0.0178571428571429,0.0178571428571429,0.392857142857143,0.96998678644406,-0.756873398621291
"27","ap106","control","safe","4",41,42,27,42,0.976190476190476,0.642857142857143,0.0119047619047619,0.0119047619047619,0.357142857142857,1.61464603984671,-1.17342937672392
"28","ap106","control","threat","4",28,28,17,28,0.982142857142857,0.607142857142857,0.0178571428571429,0.0178571428571429,0.392857142857143,1.82828548744521,-1.18602274912186
"29","ap107","control","safe","2",39,42,15,42,0.928571428571429,0.357142857142857,0.0119047619047619,0.0119047619047619,0.642857142857143,1.83134014948609,-0.549563717942476
"30","ap107","control","threat","2",40,41,18,42,0.975609756097561,0.428571428571429,0.0121951219512195,0.0119047619047619,0.571428571428571,2.15051767296303,-0.895246466688812
"31","ap107","control","safe","4",39,41,15,42,0.951219512195122,0.357142857142857,0.0121951219512195,0.0119047619047619,0.642857142857143,2.02290112261655,-0.645344204507705
"32","ap107","control","threat","4",41,42,18,42,0.976190476190476,0.428571428571429,0.0119047619047619,0.0119047619047619,0.571428571428571,2.16076476643998,-0.900370013427287
"33","ap108","control","safe","2",28,42,21,42,0.666666666666667,0.5,0.0119047619047619,0.0119047619047619,0.5,0.430727299295457,-0.215363649647729
"34","ap108","control","threat","2",22,42,13,42,0.523809523809524,0.30952380952381,0.0119047619047619,0.0119047619047619,0.69047619047619,0.556917670466877,0.218741735448116
"35","ap108","control","safe","4",34,42,21,42,0.80952380952381,0.5,0.0119047619047619,0.0119047619047619,0.5,0.876142849246841,-0.438071424623421
"36","ap108","control","threat","4",26,42,13,42,0.619047619047619,0.30952380952381,0.0119047619047619,0.0119047619047619,0.69047619047619,0.80018101873776,0.0971100613126737
"37","ap109","control","safe","2",31,42,19,42,0.738095238095238,0.452380952380952,0.0119047619047619,0.0119047619047619,0.547619047619048,0.757132274002219,-0.258918023961268
"38","ap109","control","threat","2",35,42,19,42,0.833333333333333,0.452380952380952,0.0119047619047619,0.0119047619047619,0.547619047619048,1.08706967914154,-0.42388672653093
"39","ap109","control","safe","4",36,42,19,42,0.857142857142857,0.452380952380952,0.0119047619047619,0.0119047619047619,0.547619047619048,1.18721863691798,-0.47396120541915
"40","ap109","control","threat","4",38,40,19,42,0.95,0.452380952380952,0.0125,0.0119047619047619,0.547619047619048,1.76450173999131,-0.762602756955815
"41","ap110","control","safe","2",27,41,9,42,0.658536585365854,0.214285714285714,0.0121951219512195,0.0119047619047619,0.785714285714286,1.2001110897175,0.191583062884625
"42","ap110","control","threat","2",31,42,8,42,0.738095238095238,0.19047619047619,0.0119047619047619,0.0119047619047619,0.80952380952381,1.51362701020922,0.119329344142232
"43","ap110","control","safe","4",33,42,9,42,0.785714285714286,0.214285714285714,0.0119047619047619,0.0119047619047619,0.785714285714286,1.58327721548675,0
"44","ap110","control","threat","4",37,41,8,42,0.902439024390244,0.19047619047619,0.0121951219512195,0.0119047619047619,0.80952380952381,2.17171783634453,-0.209716068925423
"45","ap111","control","safe","2",34,41,10,42,0.829268292682927,0.238095238095238,0.0121951219512195,0.0119047619047619,0.761904761904762,1.66372075111858,-0.119417343169801
"46","ap111","control","threat","2",38,41,10,42,0.926829268292683,0.238095238095238,0.0121951219512195,0.0119047619047619,0.761904761904762,2.16501921320149,-0.370066574211258
"47","ap111","control","safe","4",39,42,10,42,0.928571428571429,0.238095238095238,0.0119047619047619,0.0119047619047619,0.761904761904762,2.17767682507501,-0.376395380148017
"48","ap111","control","threat","4",38,42,10,42,0.904761904761905,0.238095238095238,0.0119047619047619,0.0119047619047619,0.761904761904762,2.02161474917527,-0.298364342198144
"49","ap113","control","safe","2",35,42,10,42,0.833333333333333,0.238095238095238,0.0119047619047619,0.0119047619047619,0.761904761904762,1.67986459849119,-0.127489266856106
"50","ap113","control","threat","2",34,42,13,42,0.80952380952381,0.30952380952381,0.0119047619047619,0.0119047619047619,0.69047619047619,1.37334341992839,-0.189471139282644
"51","ap113","control","safe","4",38,42,10,42,0.904761904761905,0.238095238095238,0.0119047619047619,0.0119047619047619,0.761904761904762,2.02161474917527,-0.298364342198144
"52","ap113","control","threat","4",37,42,13,42,0.880952380952381,0.30952380952381,0.0119047619047619,0.0119047619047619,0.69047619047619,1.67696168829341,-0.341280273465153
"53","ap114","control","safe","2",42,42,15,42,0.988095238095238,0.357142857142857,0.0119047619047619,0.0119047619047619,0.642857142857143,2.62629534812995,-0.947041317264403
"54","ap114","control","threat","2",40,40,19,42,0.9875,0.452380952380952,0.0125,0.0119047619047619,0.547619047619048,2.36105084064479,-1.06087730728255
"55","ap114","control","safe","4",40,42,15,42,0.952380952380952,0.357142857142857,0.0119047619047619,0.0119047619047619,0.642857142857143,2.03449755074765,-0.651142418573254
"56","ap114","control","threat","4",38,42,19,42,0.904761904761905,0.452380952380952,0.0119047619047619,0.0119047619047619,0.547619047619048,1.42881982982562,-0.594761801872968
"57","ap115","control","safe","2",36,41,17,42,0.878048780487805,0.404761904761905,0.0121951219512195,0.0119047619047619,0.595238095238095,1.40632838358271,-0.462123797905328
"58","ap115","control","threat","2",36,42,10,42,0.857142857142857,0.238095238095238,0.0119047619047619,0.0119047619047619,0.761904761904762,1.78001355626763,-0.177563745744326
"59","ap115","control","safe","4",40,41,17,42,0.975609756097561,0.404761904761905,0.0121951219512195,0.0119047619047619,0.595238095238095,2.21154569705635,-0.864732454642151
"60","ap115","control","threat","4",37,42,10,42,0.880952380952381,0.238095238095238,0.0119047619047619,0.0119047619047619,0.761904761904762,1.89220415000135,-0.233659042611186
"61","ap116","control","safe","2",39,42,6,42,0.928571428571429,0.142857142857143,0.0119047619047619,0.0119047619047619,0.857142857142857,2.53280431656366,-0.19883163440369
"62","ap116","control","threat","2",38,41,3,42,0.926829268292683,0.0714285714285714,0.0121951219512195,0.0119047619047619,0.928571428571429,2.91780997349753,0.00632880593675889
"63","ap116","control","safe","4",40,41,6,42,0.975609756097561,0.142857142857143,0.0121951219512195,0.0119047619047619,0.857142857142857,3.03807582704847,-0.451467389646093
"64","ap116","control","threat","4",40,42,3,42,0.952380952380952,0.0714285714285714,0.0119047619047619,0.0119047619047619,0.928571428571429,3.1336249866326,-0.101578700630778
"65","ap117","control","safe","2",32,42,7,42,0.761904761904762,0.166666666666667,0.0119047619047619,0.0119047619047619,0.833333333333333,1.67986459849119,0.127489266856106
"66","ap117","control","threat","2",35,42,8,42,0.833333333333333,0.19047619047619,0.0119047619047619,0.0119047619047619,0.80952380952381,1.84356441534854,-0.0456393584274302
"67","ap117","control","safe","4",38,41,7,42,0.926829268292683,0.166666666666667,0.0121951219512195,0.0119047619047619,0.833333333333333,2.41999774691371,-0.242577307355152
"68","ap117","control","threat","4",34,41,8,42,0.829268292682927,0.19047619047619,0.0121951219512195,0.0119047619047619,0.80952380952381,1.82742056797593,-0.0375674347411253
"69","ap118","control","safe","2",33,42,23,42,0.785714285714286,0.547619047619048,0.0119047619047619,0.0119047619047619,0.452380952380952,0.671990494703532,-0.455643360391608
"70","ap118","control","threat","2",33,41,25,42,0.804878048780488,0.595238095238095,0.0121951219512195,0.0119047619047619,0.404761904761905,0.618134735709823,-0.550107761740939
"71","ap118","control","safe","4",39,42,23,42,0.928571428571429,0.547619047619048,0.0119047619047619,0.0119047619047619,0.452380952380952,1.34558567964568,-0.792440952862682
"72","ap118","control","threat","4",33,41,25,42,0.804878048780488,0.595238095238095,0.0121951219512195,0.0119047619047619,0.404761904761905,0.618134735709823,-0.550107761740939
"73","ap119","control","safe","2",36,42,2,42,0.857142857142857,0.0476190476190476,0.0119047619047619,0.0119047619047619,0.952380952380952,2.73596171782522,0.300410335034469
"74","ap119","control","threat","2",37,42,0,42,0.880952380952381,0.0119047619047619,0.0119047619047619,0.0119047619047619,1,3.43995010894124,0.540213936858757
"75","ap119","control","safe","4",39,40,2,42,0.975,0.0476190476190476,0.0125,0.0119047619047619,0.952380952380952,3.62835517848713,-0.145786395296487
"76","ap119","control","threat","4",42,42,0,42,0.988095238095238,0.0119047619047619,0.0119047619047619,0.0119047619047619,1,4.52037798265875,-6.66133814775094e-16
"77","ap120","control","safe","2",39,42,9,42,0.928571428571429,0.214285714285714,0.0119047619047619,0.0119047619047619,0.785714285714286,2.2568724004289,-0.336797592471074
"78","ap120","control","threat","2",38,42,4,42,0.904761904761905,0.0952380952380952,0.0119047619047619,0.0119047619047619,0.904761904761905,2.61834343357155,0
"79","ap120","control","safe","4",37,42,9,42,0.880952380952381,0.214285714285714,0.0119047619047619,0.0119047619047619,0.785714285714286,1.97139972535523,-0.194061254934243
"80","ap120","control","threat","4",36,42,4,42,0.857142857142857,0.0952380952380952,0.0119047619047619,0.0119047619047619,0.904761904761905,2.37674224066392,0.120800596453818
"81","ap121","control","safe","2",41,42,32,42,0.976190476190476,0.761904761904762,0.0119047619047619,0.0119047619047619,0.238095238095238,1.26830936425779,-1.34659771451838
"82","ap121","control","threat","2",42,42,41,42,0.988095238095238,0.976190476190476,0.0119047619047619,0.0119047619047619,0.0238095238095238,0.279436594682098,-2.12047069398833
"83","ap121","control","safe","4",38,42,32,42,0.904761904761905,0.761904761904762,0.0119047619047619,0.0119047619047619,0.238095238095238,0.596728684396288,-1.01080737458763
"84","ap121","control","threat","4",42,42,41,42,0.988095238095238,0.976190476190476,0.0119047619047619,0.0119047619047619,0.0238095238095238,0.279436594682098,-2.12047069398833
"85","ap122","control","safe","2",37,42,26,42,0.880952380952381,0.619047619047619,0.0119047619047619,0.0119047619047619,0.380952380952381,0.876780669555654,-0.741370782834033
"86","ap122","control","threat","2",35,42,22,42,0.833333333333333,0.523809523809524,0.0119047619047619,0.0119047619047619,0.476190476190476,0.907704466316378,-0.513569332943512
"87","ap122","control","safe","4",41,42,26,42,0.976190476190476,0.619047619047619,0.0119047619047619,0.0119047619047619,0.380952380952381,1.67777194859107,-1.14186642235174
"88","ap122","control","threat","4",42,42,22,42,0.988095238095238,0.523809523809524,0.0119047619047619,0.0119047619047619,0.476190476190476,2.20047189154405,-1.15995304555735
"89","ap150","stress","safe","2",38,42,21,42,0.904761904761905,0.5,0.0119047619047619,0.0119047619047619,0.5,1.30917171678578,-0.654585858392889
"90","ap150","stress","threat","2",37,38,21,41,0.973684210526316,0.51219512195122,0.0131578947368421,0.0121951219512195,0.48780487804878,1.90735811103192,-0.984252455336868
"91","ap150","stress","safe","4",39,41,21,42,0.951219512195122,0.5,0.0121951219512195,0.0119047619047619,0.5,1.65679476581598,-0.82839738290799
"92","ap150","stress","threat","4",35,38,21,41,0.921052631578947,0.51219512195122,0.0131578947368421,0.0121951219512195,0.48780487804878,1.38161417908526,-0.721380489363535
"93","ap151","stress","safe","2",34,42,26,42,0.80952380952381,0.619047619047619,0.0119047619047619,0.0119047619047619,0.380952380952381,0.573162401190634,-0.589561648651524
"94","ap151","stress","threat","2",32,38,20,39,0.842105263157895,0.512820512820513,0.0131578947368421,0.0128205128205128,0.487179487179487,0.971006174335195,-0.517644880494936
"95","ap151","stress","safe","4",39,42,26,42,0.928571428571429,0.619047619047619,0.0119047619047619,0.0119047619047619,0.380952380952381,1.16225334462932,-0.884107120370864
"96","ap151","stress","threat","4",36,39,20,39,0.923076923076923,0.512820512820513,0.0128205128205128,0.0128205128205128,0.487179487179487,1.39393507894551,-0.729109332800093
"97","ap152","stress","safe","2",29,42,10,42,0.69047619047619,0.238095238095238,0.0119047619047619,0.0119047619047619,0.761904761904762,1.20964360307104,0.107621230853968
"98","ap152","stress","threat","2",29,38,6,40,0.763157894736842,0.15,0.0131578947368421,0.0125,0.85,1.75293088967178,0.159967944657899
"99","ap152","stress","safe","4",34,42,10,42,0.80952380952381,0.238095238095238,0.0119047619047619,0.0119047619047619,0.761904761904762,1.58858588163633,-0.081849908428676
"100","ap152","stress","threat","4",35,40,6,40,0.875,0.15,0.0125,0.0125,0.85,2.1867827698698,-0.0569579954411092
