"","group","subid","mean"
"1","control","ap100",1.08398711576148
"2","control","ap101",0.692715203000166
"3","control","ap102",1.32773086686817
"4","control","ap103",0.325701363655611
"5","control","ap104",0.846549639671674
"6","control","ap105",0.484852741331815
"7","control","ap107",0.810123637329816
"8","control","ap108",0.708206090890286
"9","control","ap109",0.187237990276252
"10","control","ap110",1.50721353701955
"11","control","ap111",1.46737196073028
"12","control","ap113",1.06450530603849
"13","control","ap114",0.754190985517674
"14","control","ap115",1.23897099015158
"15","control","ap116",0.928489028858395
"16","control","ap117",1.70288925882454
"17","control","ap118",2.54780808627447
"18","control","ap119",0.460903675914779
"19","control","ap120",0.975357876779393
"20","control","ap121",-0.112801650343818
"21","control","ap122",1.339945404288
"22","control","ap158",0.862551933827091
"23","stress","ap150",-0.907702471426788
"24","stress","ap152",1.57288299468045
"25","stress","ap153",0.744888407004871
"26","stress","ap154",-0.07253646677285
"27","stress","ap155",0.572194795489768
"28","stress","ap157",0.969556131538152
"29","stress","ap159",1.11721542285161
"30","stress","ap160",-0.151778752772535
"31","stress","ap161",-0.872914503418026
"32","stress","ap162",0.555684754702488
"33","stress","ap163",1.64780889851505
"34","stress","ap164",1.22750475150237
"35","stress","ap165",1.5110828946315
"36","stress","ap166",0.670202718226913
"37","stress","ap167",1.22835302404445
"38","stress","ap169",0.732950485587188
"39","stress","ap170",1.27842239460464
"40","stress","ap171",1.43479378818174
"41","stress","ap172",0.5859905997034
"42","stress","ap173",0.828502828420625
