index,run,trial,onset,duration,cond,repType,repCount,word,pic,resp,respRT,ISIresp,ISIrespRT
1,1,1,10.0062,1.9975,WO,2,1,SARDINE,basilica,UR,1.3949,NR,3.0000
2,1,2,22.0663,-10.0644,WO,4,1,POWDER,lido_deck,R,1.3702,NR,3.0000
3,1,3,34.1211,-22.1202,WO,4,1,SCREWDRIVER,marsh,UR,1.4243,NR,3.0000
4,1,4,46.1756,-34.1744,WI,2,1,POSTER,casino,R,2.1026,NR,3.0000
5,1,5,58.2312,-46.2295,WI,4,1,MEDICINE,chicken_coop,R,1.7318,NR,3.0000
6,1,6,70.2867,-58.2854,WO,2,1,CORAL,balcony,UR,2.8408,NR,3.0000
7,1,7,82.3418,-70.3401,WO,4,1,SHRIMP,baseball_field,UR,1.5250,NR,3.0000
8,1,8,94.3972,-82.3954,WI,4,1,KNIFE,limousine_interior,R,1.7881,NR,3.0000
9,1,9,106.4530,-94.4517,WO,2,1,SALAD,bamboo_forest,UR,2.3076,NR,3.0000
10,1,10,118.5087,-106.5076,WO,4,1,TABLE,crosswalk,UR,2.1120,NR,3.0000
11,1,11,130.5636,-118.5613,WI,4,1,BAYONET,childs_room,NR,999.0000,UR,3.2563
12,1,12,142.6198,-130.6176,WI,2,1,ARROW,baggage_claim,R,1.1390,NR,3.0000
13,1,13,154.6766,-142.6744,WI,4,1,RAKE,bistro,UR,1.7361,NR,3.0000
14,1,14,166.7326,-154.7311,WO,4,2,TABLE,crosswalk,UR,2.8070,NR,3.0000
15,1,15,178.7884,-166.7872,WO,4,2,SHRIMP,baseball_field,UR,2.9315,NR,3.0000
16,1,16,190.8436,-178.8414,WI,2,1,OTTER,drugstore,UR,1.8970,NR,3.0000
17,1,17,202.8997,-190.8985,WI,4,2,RAKE,bistro,UR,2.0227,NR,3.0000
18,1,18,214.9559,-202.9538,WI,2,1,FENCE,cathedral,UR,1.9885,NR,3.0000
19,1,19,227.0119,-215.0109,WO,4,1,WRENCH,campsite,UR,2.2351,NR,3.0000
20,1,20,239.0676,-227.0658,WO,4,1,FIRE,creek,UR,2.0646,NR,3.0000
21,1,21,251.1234,-239.1213,WI,4,1,BEAVER,natural_history_museum,R,2.3831,NR,3.0000
22,1,22,263.1792,-251.1783,WO,4,1,SOCK,cabin,R,2.5987,NR,3.0000
23,1,23,275.2349,-263.2331,WI,2,1,DESK,apse,R,2.0448,NR,3.0000
24,1,24,287.2907,-275.2890,WO,4,2,WRENCH,campsite,UR,2.4970,NR,3.0000
25,1,25,299.3470,-287.3446,WI,2,1,WITCH,throne_room,R,1.9678,NR,3.0000
26,1,26,311.4036,-299.4022,WO,4,2,POWDER,lido_deck,R,1.9015,NR,3.0000
27,1,27,323.4592,-311.4571,WI,4,1,STAPLER,kennel,UR,2.6359,NR,3.0000
28,1,28,335.5163,-323.5139,WI,4,2,MEDICINE,chicken_coop,R,2.0806,NR,3.0000
29,1,29,347.5727,-335.5712,WO,2,1,TYPEWRITER,forest_path,UR,1.7736,NR,3.0000
30,1,30,359.6287,-347.6280,WO,2,1,SHARK,office_building,UR,1.9179,NR,3.0000
31,1,31,371.6836,-359.6807,WO,4,2,SOCK,cabin,R,2.3210,NR,3.0000
32,1,32,383.7406,-371.7396,WI,2,1,SCORPION,catacomb,UR,2.8339,NR,3.0000
33,1,33,395.7962,-383.7934,WI,4,2,KNIFE,limousine_interior,R,1.7073,NR,3.0000
34,1,34,407.8531,-395.8515,WO,2,1,ROPE,corral,R,1.6485,NR,3.0000
35,1,35,419.9096,-407.9073,WO,4,2,FIRE,creek,UR,2.3127,NR,3.0000
36,1,36,431.9662,-419.9648,WI,4,2,BAYONET,childs_room,UR,2.4357,UR,3.1123
37,1,37,444.0216,-432.0208,WO,4,2,SCREWDRIVER,marsh,UR,1.6352,NR,3.0000
38,1,38,456.0768,-444.0746,WI,4,2,STAPLER,kennel,UR,2.2566,NR,3.0000
39,1,39,468.1331,-456.1321,WI,4,1,DAISY,bookstore,R,2.5250,NR,3.0000
40,1,40,480.1889,-468.1880,WO,2,1,ASPIRIN,aqueduct,UR,2.1473,UR,3.1753
41,1,41,492.2440,-480.2425,WI,4,2,DAISY,bookstore,UR,2.3052,NR,3.0000
42,1,42,504.2997,-492.2977,WI,4,2,BEAVER,natural_history_museum,R,0.9268,NR,3.0000
43,2,19,10.0009,2.0004,WI,4,1,DRUG,art_studio,R,1.8754,NR,3.0000
44,2,20,22.0653,-10.0642,WI,2,1,APPLE,airplane_cabin,R,1.7221,NR,3.0000
45,2,21,34.1282,-22.1261,WO,4,1,PUDDLE,hill,UR,2.0389,NR,3.0000
46,2,22,46.1917,-34.1896,WO,4,1,ACCORDIAN,mountain,R,1.7636,NR,3.0000
47,2,23,58.2550,-46.2536,WO,4,2,ACCORDIAN,mountain,R,2.9840,NR,3.0000
48,2,24,70.3184,-58.3153,WI,4,2,DRUG,art_studio,R,1.0308,NR,3.0000
49,2,25,82.3829,-70.3818,WO,4,2,PUDDLE,hill,UR,1.4505,NR,3.0000
50,2,26,94.4458,-82.4444,WI,2,1,SUBMARINE,music_studio,UR,1.8250,NR,3.0000
51,2,27,106.5085,-94.5067,WI,4,1,CRADLE,jacuzzi,UR,1.3902,NR,3.0000
52,2,28,118.5718,-106.5697,WO,4,1,SNAIL,ice_floe,UR,1.3462,NR,3.0000
53,2,29,130.6360,-118.6342,WO,2,1,ZIPPER,construction_site,UR,1.4876,NR,3.0000
54,2,30,142.6990,-130.6957,WO,2,1,TWEEZERS,cliff,UR,2.8467,NR,3.0000
55,2,31,154.7525,-142.7505,WI,4,1,DOLL,cafeteria,UR,1.4034,NR,3.0000
56,2,32,166.8159,-154.8131,WO,2,1,SCOTCH,hot_tub,R,2.3528,NR,3.0000
57,2,33,178.8805,-166.8786,WO,2,1,FLASK,general_store,R,1.2146,NR,3.0000
58,2,34,190.9439,-178.9412,WO,4,1,BASKET,cottage_garden,R,1.1162,NR,3.0000
59,2,35,203.0079,-191.0051,WI,4,1,DOUGHNUT,beauty_salon,UR,1.7521,NR,3.0000
60,2,36,215.0724,-203.0704,WO,2,1,MOUSE,iceberg,UR,1.5343,NR,3.0000
61,2,37,227.1360,-215.1346,WI,4,2,DOLL,cafeteria,UR,1.5945,NR,3.0000
62,2,38,239.1993,-227.1978,WI,4,1,GEESE,athletic_field,UR,1.4574,NR,3.0000
63,2,39,251.2622,-239.2613,WO,4,1,WORM,fire_station,NR,999.0000,UR,3.9934
64,2,40,263.3246,-251.3225,WI,4,1,DAMSEL,cubicle,UR,1.6905,NR,3.0000
65,2,41,275.3891,-263.3883,WO,2,1,BANDIT,heliport,R,1.4157,NR,3.0000
66,2,42,287.4517,-275.4496,WI,4,1,WALLET,library,R,1.7576,NR,3.0000
67,2,43,299.5151,-287.5139,WI,2,1,ORCHID,cockpit,R,2.5396,NR,3.0000
68,2,44,311.5786,-299.5764,WI,2,1,ALLIGATOR,elevator,UR,1.7996,NR,3.0000
69,2,45,323.6422,-311.6402,WO,4,1,GLOVE,crevasse,UR,2.1488,NR,3.0000
70,2,46,335.7064,-323.7057,WO,4,2,BASKET,cottage_garden,R,2.7117,NR,3.0000
71,2,47,347.7690,-335.7668,WI,4,2,DAMSEL,cubicle,UR,2.9102,UR,3.0734
72,2,48,359.8329,-347.8311,WO,4,2,SNAIL,ice_floe,UR,2.0110,NR,3.0000
73,2,49,371.8969,-359.8961,WI,4,2,CRADLE,jacuzzi,UR,1.2676,NR,3.0000
74,2,50,383.9594,-371.9572,WI,2,1,TELEGRAPH,archive,UR,1.9060,NR,3.0000
75,2,51,396.0239,-384.0221,WI,4,2,DOUGHNUT,beauty_salon,UR,1.8510,NR,3.0000
76,2,52,408.0871,-396.0862,WO,4,1,PYTHON,pagoda,R,1.7309,NR,3.0000
77,2,53,420.1497,-408.1486,WO,4,2,WORM,fire_station,UR,1.2805,NR,3.0000
78,2,54,432.2123,-420.2100,WI,4,2,GEESE,athletic_field,UR,1.2114,NR,3.0000
79,2,55,444.2776,-432.2760,WO,2,1,PIGEON,field_cultivated,UR,2.6978,NR,3.0000
80,2,56,456.3425,-444.3405,WI,4,2,WALLET,library,R,1.1475,NR,3.0000
81,2,57,468.4061,-456.4053,WO,4,2,PYTHON,pagoda,R,1.2998,NR,3.0000
82,2,58,480.4699,-468.4689,WI,2,1,QUILL,computer_room,UR,2.8948,NR,3.0000
83,2,59,492.5330,-480.5309,WI,2,1,THONG,jail_cell,UR,2.3160,NR,3.0000
84,2,60,504.5969,-492.5948,WO,4,2,GLOVE,crevasse,UR,1.0326,NR,3.0000
85,3,37,151.8233,-139.8218,WI,4,1,CAGE,optician,UR,2.5041,NR,3.0000
86,3,38,163.8820,-151.8808,WI,2,1,MONKEY,parking_garage,UR,1.1340,NR,3.0000
87,3,39,175.9396,-163.9376,WO,2,1,NEEDLE,chalet,UR,1.2832,NR,3.0000
88,3,40,187.9972,-175.9954,WI,4,1,KALE,hospital_room,UR,2.6727,NR,3.0000
89,3,41,200.0549,-188.0537,WO,4,1,MANURE,landing_deck,UR,1.6976,NR,3.0000
90,3,42,212.1123,-200.1107,WI,4,1,STOOL,cloister,R,1.7590,NR,3.0000
91,3,43,224.1696,-212.1676,WI,2,1,EASEL,stable,NR,999.0000,NR,3.0000
92,3,44,236.2273,-224.2252,WO,4,1,DETECTIVE,fountain,UR,1.4967,NR,3.0000
93,3,45,248.2861,-236.2846,WO,4,1,NOODLE,driving_range,UR,1.3044,NR,3.0000
94,3,46,260.3437,-248.3428,WO,4,1,VINE,pasture,R,1.5626,NR,3.0000
95,3,47,272.4003,-260.3989,WI,4,1,WINE,florist_shop,R,1.9270,NR,3.0000
96,3,48,284.4573,-272.4564,WO,4,2,DETECTIVE,fountain,UR,2.2826,NR,3.0000
97,3,49,296.5145,-284.5137,WO,2,1,KILT,butte,UR,1.6208,NR,3.0000
98,3,50,308.5709,-296.5694,WO,4,1,SPATULA,orchard,UR,1.3984,NR,3.0000
99,3,51,320.6283,-308.6265,WI,2,1,EMPEROR,playroom,UR,1.2415,NR,3.0000
100,3,52,332.6858,-320.6847,WO,4,2,NOODLE,driving_range,UR,1.1544,NR,3.0000
101,3,53,344.7425,-332.7402,WI,4,1,TROLLEY,bowling_alley,UR,1.3155,NR,3.0000
102,3,54,356.8013,-344.7991,WI,2,1,WOLF,supermarket,UR,2.4347,NR,3.0000
103,3,55,368.8592,-356.8578,WO,4,1,BATON,ocean,UR,1.0355,NR,3.0000
104,3,56,380.9162,-368.9149,WI,4,2,TROLLEY,bowling_alley,NR,999.0000,UR,3.1234
105,3,57,392.9737,-380.9715,WO,2,1,STOMACH,raceway,UR,2.2820,NR,3.0000
106,3,58,405.0317,-393.0294,WI,2,1,RICE,candy_store,UR,1.6585,NR,9.5398
107,3,59,417.0903,-405.0885,WI,4,1,ORNAMENT,burial_chamber,R,1.5920,NR,3.0000
108,3,60,429.1480,-417.1462,WI,4,1,TURTLE,biology_laboratory,UR,1.6135,NR,3.0000
109,3,61,441.2055,-429.2037,WO,2,1,TROPHY,manufactured_home,UR,1.5210,NR,3.0000
110,3,62,453.2632,-441.2621,WI,4,2,KALE,hospital_room,UR,1.3791,NR,3.0000
111,3,63,465.3202,-453.3189,WO,4,2,VINE,pasture,R,2.7351,NR,3.0000
112,3,64,477.3780,-465.3765,WI,4,2,CAGE,optician,UR,2.9921,NR,3.0000
113,3,65,489.4352,-477.4341,WO,4,2,BATON,ocean,UR,2.5697,NR,3.0000
114,3,66,501.4922,-489.4910,WI,2,1,TOBACCO,riding_arena,UR,1.7964,NR,3.0000
115,3,67,513.5492,-501.5484,WO,4,2,SPATULA,orchard,UR,2.9621,NR,3.0000
116,3,68,525.6058,-513.6045,WI,4,2,STOOL,cloister,UR,1.6448,NR,3.0000
117,3,69,537.6634,-525.6613,WO,4,2,MANURE,landing_deck,UR,1.3224,NR,3.0000
118,3,70,549.7213,-537.7203,WO,4,1,BROOM,fishpond,UR,2.6305,NR,3.0000
119,3,71,561.7783,-549.7770,WI,4,2,ORNAMENT,burial_chamber,R,2.2635,NR,3.0000
120,3,72,573.8359,-561.8346,WI,2,1,BUTTER,train_station,UR,1.9257,NR,3.0000
121,3,73,585.8931,-573.8924,WO,2,1,SHOWER,mausoleum,UR,2.2926,NR,3.0000
122,3,74,597.9503,-585.9492,WO,2,1,ELEPHANT,rice_paddy,UR,2.6496,NR,3.0000
123,3,75,610.0071,-598.0052,WI,4,2,TURTLE,biology_laboratory,UR,2.6820,UR,3.4446
124,3,76,622.0656,-610.0642,WO,4,2,BROOM,fishpond,NR,999.0000,UR,3.2213
125,3,77,634.1232,-622.1216,WO,2,1,EYE,promenade_deck,UR,2.6308,UR,3.0346
126,3,78,646.1807,-634.1793,WI,4,2,WINE,florist_shop,R,2.9244,R,3.1060
127,4,55,10.0038,1.9980,WI,4,1,CANARY,galley,UR,2.7966,NR,3.0000
128,4,56,22.0616,-10.0608,WI,4,1,QUARTER,ball_pit,NR,999.0000,UR,3.0217
129,4,57,34.1160,-22.1147,WO,4,1,BALLOON,ruin,UR,2.1685,NR,3.0000
130,4,58,46.1714,-34.1701,WI,2,1,NAPKIN,pantry,R,1.8187,NR,3.0000
131,4,59,58.2263,-46.2248,WI,2,1,FOX,locker_room,UR,1.6372,NR,3.0000
132,4,60,70.2816,-58.2808,WO,4,1,CHICKEN,hotel,UR,1.4067,NR,3.0000
133,4,61,82.3361,-70.3338,WI,4,1,CUCUMBER,ice_skating_rink,UR,2.6186,NR,3.0000
134,4,62,94.3922,-82.3903,WI,4,1,BOWL,car_interior,UR,2.4915,NR,3.0000
135,4,63,106.4478,-94.4462,WO,4,1,HELMET,boathouse,UR,2.7605,UR,3.1004
136,4,64,118.5028,-106.5020,WI,4,1,CARROT,control_room,UR,2.5830,NR,3.0000
137,4,65,130.5575,-118.5558,WO,2,1,CANE,picnic_area,UR,2.5606,NR,3.0000
138,4,66,142.6131,-130.6115,WI,2,1,ENVELOPE,office,UR,2.8246,R,3.0490
139,4,67,154.6685,-142.6671,WO,2,1,SLIPPER,boardwalk,UR,2.3302,UR,5.3173
140,4,68,166.7243,-154.7231,WO,2,1,SNOW,beach,UR,2.5034,NR,3.0000
141,4,69,178.7795,-166.7774,WO,4,2,CHICKEN,hotel,UR,2.7196,UR,3.0251
142,4,70,190.8355,-178.8344,WI,4,1,SOUP,lobby,UR,2.7026,UR,3.0427
143,4,71,202.8909,-190.8891,WI,4,2,BOWL,car_interior,UR,2.6175,UR,3.1660
144,4,72,214.9467,-202.9450,WI,4,1,SWORD,auto_factory,UR,2.8454,NR,3.0000
145,4,73,227.0029,-215.0021,WO,4,1,WALRUS,barn,UR,2.9516,NR,3.0000
146,4,74,239.0576,-227.0567,WO,2,1,ASPARAGUS,desert,UR,2.5976,NR,3.0000
147,4,75,251.1125,-239.1116,WI,4,2,SWORD,auto_factory,UR,2.8548,NR,3.0000
148,4,76,263.1675,-251.1655,WO,4,1,HONEY,excavation,UR,2.5258,NR,3.0000
149,4,77,275.2233,-263.2215,WI,4,2,CANARY,galley,UR,2.7543,NR,3.0000
150,4,78,287.2791,-275.2773,WO,4,1,LIGHTNING,botanical_garden,UR,2.0755,NR,3.0000
151,4,79,299.3350,-287.3329,WO,4,2,WALRUS,barn,UR,2.6573,NR,3.0000
152,4,80,311.3912,-299.3900,WI,4,2,SOUP,lobby,UR,2.0465,NR,3.0000
153,4,81,323.4469,-311.4452,WO,4,2,HELMET,boathouse,UR,2.3736,UR,3.0332
154,4,82,335.5023,-323.5008,WO,2,1,GLOBE,bayou,UR,2.8813,UR,3.1801
155,4,83,347.5593,-335.5571,WI,2,1,BROWNIE,bathroom,UR,2.7998,UR,3.0499
156,4,84,359.6157,-347.6142,WO,4,1,RIFLE,beach,NR,999.0000,UR,3.3141
