index,run,trial,onset,duration,cond,repType,repCount,word,pic,resp,respRT,ISIresp,ISIrespRT
1,1,1,10.0034,1.9991,WO,4,1,BANDIT,bayou,R,1.4169,NR,3.0000
2,1,2,22.0630,-10.0623,WI,2,1,ASPARAGUS,pulpit,UR,1.9940,NR,3.0000
3,1,3,34.1161,-22.1144,WO,2,1,BUTTER,butte,R,1.8813,NR,3.0000
4,1,4,46.1724,-34.1702,WI,4,1,TROLLEY,shoe_shop,NR,999.0000,NR,3.0000
5,1,5,58.2285,-46.2271,WI,4,1,STOMACH,diner,R,1.7692,NR,3.0000
6,1,6,70.2843,-58.2828,WI,2,1,YACHT,ice_skating_rink,NR,999.0000,R,3.0323
7,1,7,82.3397,-70.3379,WO,4,1,MEDICINE,palace,UR,2.2213,NR,3.0000
8,1,8,94.3955,-82.3940,WO,4,2,BANDIT,bayou,R,1.7232,NR,3.0000
9,1,9,106.4517,-94.4490,WI,4,1,TURTLE,volleyball_court,R,1.9376,NR,3.0000
10,1,10,118.5083,-106.5068,WO,2,1,ARROW,canyon,R,2.9505,NR,3.0000
11,1,11,130.5642,-118.5633,WI,2,1,WITCH,restaurant,R,1.8129,NR,3.0000
12,1,12,142.6190,-130.6178,WO,4,1,NOODLE,barn,R,2.5466,NR,3.0000
13,1,13,154.6744,-142.6725,WO,4,1,RAKE,manufactured_home,R,1.3270,NR,3.0000
14,1,14,166.7308,-154.7301,WI,4,2,STOMACH,diner,R,1.8864,NR,3.0000
15,1,15,178.7854,-166.7841,WO,4,1,MUSTARD,ruin,UR,2.0738,NR,3.0000
16,1,16,190.8416,-178.8401,WI,4,2,TROLLEY,shoe_shop,NR,999.0000,NR,3.0000
17,1,17,202.8970,-190.8950,WO,4,2,MUSTARD,ruin,R,2.4231,NR,3.0000
18,1,18,214.9531,-202.9509,WO,4,1,GOAT,power_plant,UR,2.1630,NR,3.0000
19,1,19,227.0091,-215.0080,WI,4,1,FLASK,living_room,R,2.5932,NR,3.0000
20,1,20,239.0644,-227.0624,WO,4,2,MEDICINE,palace,UR,2.4076,NR,3.0000
21,1,21,251.1215,-239.1197,WI,2,1,HELMET,parking_garage,R,2.7732,NR,3.0000
22,1,22,263.1773,-251.1757,WI,2,1,BOAT,lobby,UR,1.9531,NR,3.0000
23,1,23,275.2329,-263.2315,WI,4,1,SUNBURN,drugstore,R,1.8813,NR,3.0000
24,1,24,287.2889,-275.2872,WO,2,1,MOON,corn_field,R,2.5574,NR,3.0000
25,1,25,299.3448,-287.3432,WI,4,1,PIE,locker_room,UR,2.7638,NR,3.0000
26,1,26,311.4012,-299.4001,WI,2,1,STAPLER,garage,R,2.8339,NR,3.0000
27,1,27,323.4566,-311.4559,WO,2,1,BOOT,amphitheater,UR,2.8537,NR,3.0000
28,1,28,335.5113,-323.5103,WI,4,2,TURTLE,volleyball_court,R,1.8998,NR,3.0000
29,1,29,347.5668,-335.5650,WI,4,2,FLASK,living_room,R,1.2690,NR,3.0000
30,1,30,359.6226,-347.6206,WO,2,1,SALAD,ocean,R,2.6884,NR,3.0000
31,1,31,371.6795,-359.6774,WI,4,1,CAMERA,operating_room,R,2.5607,NR,3.0000
32,1,32,383.7356,-371.7349,WO,4,2,GOAT,power_plant,NR,999.0000,R,3.2138
33,1,33,395.7906,-383.7886,WO,2,1,WINE,iceberg,R,2.2444,NR,3.0000
34,1,34,407.8474,-395.8461,WO,4,1,MOUSE,badlands,NR,999.0000,UR,3.2865
35,1,35,419.9029,-407.9017,WI,4,2,CAMERA,operating_room,R,0.9813,NR,3.0000
36,1,36,431.9588,-419.9577,WO,4,2,MOUSE,badlands,R,1.4726,NR,3.0000
37,1,37,444.0143,-432.0129,WI,4,2,SUNBURN,drugstore,R,1.2881,NR,3.0000
38,1,38,456.0700,-444.0682,WI,4,2,PIE,locker_room,R,1.5307,NR,3.0000
39,1,39,468.1267,-456.1249,WO,2,1,PASSPORT,bullring,R,2.3550,NR,3.0000
40,1,40,480.1829,-468.1817,WO,4,2,RAKE,manufactured_home,R,1.8964,NR,3.0000
41,1,41,492.2390,-480.2378,WI,2,1,TRIBE,elevator,NR,999.0000,UR,3.0791
42,1,42,504.2945,-492.2922,WO,4,2,NOODLE,barn,R,1.4043,NR,3.0000
43,2,19,10.0021,1.9987,WI,2,1,CRAB,riding_arena,UR,1.7714,NR,3.0000
44,2,20,22.0737,-10.0714,WI,2,1,APPLE,music_store,UR,2.2327,NR,3.0000
45,2,21,34.1441,-22.1429,WO,4,1,POSTER,cemetery,R,1.7854,NR,3.0000
46,2,22,46.2135,-34.2124,WO,4,1,BLANKET,promenade_deck,R,2.1875,NR,3.0000
47,2,23,58.2829,-46.2821,WI,4,1,PENCIL,galley,NR,999.0000,R,3.3517
48,2,24,70.3527,-58.3512,WO,2,1,BIBLE,market,R,2.0143,NR,3.0000
49,2,25,82.4226,-70.4207,WO,4,1,RING,bamboo_forest,R,1.8990,NR,3.0000
50,2,26,94.4927,-82.4920,WO,4,1,SCORPION,marsh,R,2.1151,NR,3.0000
51,2,27,106.5623,-94.5612,WI,4,1,OWL,bedroom,NR,999.0000,UR,3.2420
52,2,28,118.6315,-106.6294,WO,4,1,SCOTCH,formal_garden,R,2.1059,NR,3.0000
53,2,29,130.7027,-118.7014,WI,4,1,FAN,bazaar,R,2.5432,NR,3.0000
54,2,30,142.7724,-130.7712,WO,2,1,WHIP,arch,UR,1.9249,NR,3.0000
55,2,31,154.8420,-142.8411,WO,2,1,HONEY,herb_garden,R,2.6375,NR,3.0000
56,2,32,166.9116,-154.9086,WI,4,1,MAGICIAN,kennel,UR,2.6442,NR,3.0000
57,2,33,178.9840,-166.9822,WI,4,1,LIME,florist_shop,NR,999.0000,UR,3.2104
58,2,34,191.0542,-179.0521,WO,2,1,JUGGLER,heliport,R,1.7243,NR,3.0000
59,2,35,203.1247,-191.1230,WO,4,2,BLANKET,promenade_deck,R,1.1618,NR,3.0000
60,2,36,215.1946,-203.1936,WI,4,2,PENCIL,galley,R,1.5433,NR,3.0000
61,2,37,227.2646,-215.2624,WO,2,1,CHERRY,ice_floe,NR,999.0000,NR,3.0000
62,2,38,239.3353,-227.3331,WI,2,1,MAP,cathedral,R,1.6573,NR,3.0000
63,2,39,251.4064,-239.4056,WO,2,1,SCISSORS,observatory,R,2.7786,NR,3.0000
64,2,40,263.4759,-251.4749,WI,2,1,LION,courtroom,R,2.1045,NR,3.0000
65,2,41,275.5454,-263.5435,WI,2,1,SOAP,playroom,R,2.3604,NR,3.0000
66,2,42,287.6164,-275.6152,WO,2,1,BOWL,lock_chamber,NR,999.0000,UR,3.0108
67,2,43,299.6860,-287.6840,WO,4,2,SCOTCH,formal_garden,R,1.4229,NR,3.0000
68,2,44,311.7566,-299.7550,WI,4,1,KEG,throne_room,R,2.3535,NR,3.0000
69,2,45,323.8268,-311.8249,WI,4,2,MAGICIAN,kennel,R,1.8730,NR,3.0000
70,2,46,335.8972,-323.8951,WO,4,1,CARROT,campsite,R,2.9586,NR,3.0000
71,2,47,347.9685,-335.9669,WO,4,2,RING,bamboo_forest,R,1.4176,NR,3.0000
72,2,48,360.0387,-348.0374,WI,4,2,OWL,bedroom,UR,1.9814,NR,3.0000
73,2,49,372.1092,-360.1082,WO,4,2,CARROT,campsite,R,0.9543,NR,3.0000
74,2,50,384.1796,-372.1787,WI,4,1,MOTH,subway_interior,NR,999.0000,R,3.2008
75,2,51,396.2490,-384.2475,WI,2,1,POWDER,assembly_line,UR,1.6861,NR,3.0000
76,2,52,408.3197,-396.3179,WI,4,2,KEG,throne_room,R,1.1291,NR,3.0000
77,2,53,420.3903,-408.3892,WO,4,2,POSTER,cemetery,R,1.2946,NR,3.0000
78,2,54,432.4606,-420.4592,WO,4,2,SCORPION,marsh,R,1.2962,NR,3.0000
79,2,55,444.5306,-432.5286,WI,4,2,FAN,bazaar,R,1.7790,NR,3.0000
80,2,56,456.6010,-444.6002,WI,4,2,LIME,florist_shop,NR,999.0000,NR,3.0000
81,2,57,468.6711,-456.6690,WO,4,1,NAPKIN,gazebo,R,2.1371,NR,3.0000
82,2,58,480.7418,-468.7399,WI,4,2,MOTH,subway_interior,R,1.2339,NR,3.0000
83,2,59,492.8127,-480.8104,WO,4,2,NAPKIN,gazebo,R,1.2320,NR,3.0000
84,2,60,504.8836,-492.8827,WI,2,1,EYE,cubicle,R,2.7663,NR,3.0000
85,3,37,151.6913,-139.6903,WO,2,1,SHOVEL,nuclear_power_plant,R,1.5393,NR,3.0000
86,3,38,163.7506,-151.7499,WI,2,1,CANE,banquet_hall,NR,999.0000,R,3.0521
87,3,39,175.8075,-163.8066,WI,4,1,SPONGE,office,R,1.8044,NR,3.0000
88,3,40,187.8654,-175.8643,WI,2,1,SCREWDRIVER,gymnasium,R,1.9000,NR,3.0000
89,3,41,199.9231,-187.9221,WO,4,1,DUST,crevasse,UR,1.9674,NR,3.0000
90,3,42,211.9810,-199.9790,WI,4,1,BRAIN,parlor,R,2.5782,NR,3.0000
91,3,43,224.0396,-212.0383,WO,2,1,TULIP,playground,R,2.5914,NR,3.0000
92,3,44,236.0973,-224.0961,WI,4,2,BRAIN,parlor,R,2.0160,NR,3.0000
93,3,45,248.1556,-236.1546,WI,4,1,CANARY,casino,NR,999.0000,NR,3.0000
94,3,46,260.2132,-248.2109,WO,4,1,FIDDLE,moat,R,1.5145,NR,3.0000
95,3,47,272.2726,-260.2707,WI,4,1,SAIL,reception,UR,1.9376,NR,3.0000
96,3,48,284.3312,-272.3303,WO,4,1,HARPOON,forest_path,UR,2.9031,NR,3.0000
97,3,49,296.3886,-284.3873,WO,2,1,TROPHY,ice_shelf,R,2.4538,NR,3.0000
98,3,50,308.4469,-296.4456,WI,2,1,SEAWEED,dining_room,R,2.5541,NR,3.0000
99,3,51,320.5048,-308.5038,WO,4,1,DOUGHNUT,fire_escape,NR,999.0000,R,3.1148
100,3,52,332.5628,-320.5615,WI,4,2,SAIL,reception,UR,1.8759,NR,3.0000
101,3,53,344.6207,-332.6189,WO,2,1,SLIPPER,lift_bridge,UR,2.9436,NR,3.0000
102,3,54,356.6790,-344.6781,WO,4,2,HARPOON,forest_path,UR,1.5966,NR,3.0000
103,3,55,368.7369,-356.7355,WO,4,2,FIDDLE,moat,R,0.9049,NR,3.0000
104,3,56,380.7949,-368.7934,WI,2,1,CUCUMBER,computer_room,R,2.3053,NR,3.0000
105,3,57,392.8527,-380.8513,WI,4,1,THONG,squash_court,R,2.8062,NR,3.0000
106,3,58,404.9107,-392.9100,WI,4,1,BRACELET,limousine_interior,NR,999.0000,NR,3.0000
