index,run,trial,onset,duration,cond,shockCond,shockTrial,target,associate,resp,acc,accSpec,respRT,ISIresp,ISIacc,ISIaccSpec,ISIrespRT
1,1,1,12.0266,9.2606,TI_4,safe,0,SPATULA,locker_room,TI,H,HI_Lo,1.9323,NR,NR,NR,999.0000
2,1,2,21.3160,11.6183,F,safe,0,CORAL,foil,TO,FA,FAO_Lo,3.8194,NR,NR,NR,999.0000
3,1,3,32.9696,11.3322,TO_4,safe,0,KALE,corn_field,TO,H,HO_Hi,3.9332,NR,NR,NR,999.0000
4,1,4,44.3302,9.1022,TI_2,safe,0,GEESE,closet,TI,H,HI_Hi,3.3693,NR,NR,NR,999.0000
5,1,5,53.4607,9.8071,TO_4,safe,0,MONKEY,pond,TO,H,HO_Hi,2.1732,NR,NR,NR,999.0000
6,1,6,63.2966,10.7117,TO_2,safe,0,BOWL,greenhouse,F,M,MI,1.6132,NR,NR,NR,999.0000
7,1,7,74.0366,10.5704,F,safe,0,SCOOTER,foil,F,CR,CR,2.0963,NR,NR,NR,999.0000
8,1,8,84.6352,9.1488,TO_2,safe,0,BARREL,raceway,TO,H,HO_Lo,2.8897,NR,NR,NR,999.0000
9,1,9,93.8119,9.7544,TO_4,safe,0,HONEY,crosswalk,TI,SM,SMO_Lo,2.8472,NR,NR,NR,999.0000
10,1,10,103.5941,11.6845,TO_2,safe,0,PLUG,basketball_court,TI,SM,SMO_Hi,3.5268,NR,NR,NR,999.0000
11,1,11,115.3071,9.6866,TI_2,safe,0,LANTERN,baggage_claim,F,M,MI,3.0883,NR,NR,NR,999.0000
12,1,12,125.0225,11.9425,F,safe,0,POTATO,foil,F,CR,CR,3.0970,NR,NR,NR,999.0000
13,1,13,136.9933,9.9337,TO_2,safe,0,ROCK,corral,TO,H,HO_Lo,2.4798,TI,SM,SMO_Lo,0.0674
14,1,14,146.9549,9.5374,TI_4,safe,0,BUCKET,elevator,TI,H,HI_Lo,2.8475,NR,NR,NR,999.0000
15,1,15,156.5212,9.6904,TO_2,safe,0,STOOL,moat,TO,H,HO_Lo,2.6575,NR,NR,NR,999.0000
16,1,16,166.2400,12.3311,F,safe,0,QUAIL,foil,F,CR,CR,1.8364,NR,NR,NR,999.0000
17,1,17,178.5991,10.1075,TI_4,safe,0,MILK,dining_room,TO,SM,SMI_Lo,2.2919,NR,NR,NR,999.0000
18,1,18,188.7358,9.0588,F,safe,0,LAMB,foil,F,CR,CR,1.6399,NR,NR,NR,999.0000
19,1,19,197.8229,9.9136,F,safe,0,QUILL,foil,F,CR,CR,1.9420,NR,NR,NR,999.0000
20,1,20,207.7649,12.3270,F,safe,0,GLOVE,foil,TO,FA,FAO_Lo,2.5033,NR,NR,NR,999.0000
21,1,21,220.1210,10.3716,TI_4,safe,0,FROG,dentists_office,F,M,MI,1.9581,NR,NR,NR,999.0000
22,1,22,230.5211,10.0961,TI_4,safe,0,BEAVER,hospital_room,TO,SM,SMI_Hi,2.8039,NR,NR,NR,999.0000
23,1,23,240.6457,9.7641,TO_2,safe,0,SHRIMP,orchard,F,M,MI,1.2205,NR,NR,NR,999.0000
24,1,24,250.4388,10.5544,F,safe,0,SHARK,foil,F,CR,CR,1.0981,NR,NR,NR,999.0000
25,1,25,261.0211,9.9900,TO_4,safe,0,VINE,mountain,TI,SM,SMO_Hi,2.5292,NR,NR,NR,999.0000
26,1,26,271.0397,9.1268,TI_2,safe,0,RASH,burial_chamber,TO,SM,SMI_Hi,2.6482,NR,NR,NR,999.0000
27,1,27,280.1956,9.2748,TI_2,safe,0,BUTTER,kennel,F,M,MI,1.6761,NR,NR,NR,999.0000
28,1,28,289.4988,9.3932,TO_2,safe,0,SHOWER,garbage_dump,TI,SM,SMO_Hi,2.5962,NR,NR,NR,999.0000
29,1,29,298.9207,9.4175,TI_2,safe,0,NEEDLE,courtroom,TI,H,HI_Hi,3.6715,NR,NR,NR,999.0000
30,1,30,308.3672,11.1884,TO_4,safe,0,SCORPION,balcony,F,M,MI,1.8468,NR,NR,NR,999.0000
31,1,31,319.5837,10.1983,TI_4,safe,0,KEG,gymnasium,NR,NR,NR,999.0000,TI,H,HI_Lo,0.1229
32,1,32,329.8104,9.3761,TI_2,safe,0,SARDINE,riding_arena,F,M,MI,2.1386,NR,NR,NR,999.0000
33,1,33,339.2160,9.8971,F,safe,0,SCREWDRIVER,foil,F,CR,CR,2.6984,NR,NR,NR,999.0000
34,1,34,349.1415,9.9219,F,safe,0,MOTH,foil,F,CR,CR,1.2333,NR,NR,NR,999.0000
35,1,35,359.0921,9.7567,TO_4,safe,0,WORM,fishpond,TO,H,HO_Hi,3.5507,NR,NR,NR,999.0000
36,1,36,368.8780,9.1788,F,safe,0,BASKET,foil,TI,FA,FAI_Hi,2.9036,NR,NR,NR,999.0000
37,1,37,378.0855,10.4705,TI_4,safe,0,CANDLE,cathedral,F,M,MI,3.0214,NR,NR,NR,999.0000
38,1,38,388.5856,9.6330,TI_2,safe,0,TELEGRAPH,computer_room,F,M,MI,1.1910,NR,NR,NR,999.0000
39,1,39,398.2476,11.2678,TO_4,safe,0,BALLOON,islet,TI,SM,SMO_Lo,2.3223,NR,NR,NR,999.0000
40,1,40,409.5438,10.9970,F,safe,0,DOLL,foil,TI,FA,FAI_Lo,1.8295,NR,NR,NR,999.0000
41,1,41,420.5696,10.6524,F,safe,0,PENNY,foil,F,CR,CR,2.9465,NR,NR,NR,999.0000
42,1,42,431.2513,9.1163,F,safe,0,BAYONET,foil,F,CR,CR,1.8335,NR,NR,NR,999.0000
43,2,1,12.0060,11.9675,TI_2,threat,0,BOAT,chicken_coop,F,M,MI,1.5111,NR,NR,NR,999.0000
44,2,2,24.0047,10.4693,TO_4,threat,0,HATCHET,ocean,TI,SM,SMO_Hi,3.3276,NR,NR,NR,999.0000
45,2,3,34.5051,9.0982,F,threat,0,TOBACCO,foil,F,CR,CR,1.3588,NR,NR,NR,999.0000
46,2,4,43.6352,9.1461,TO_4,threat,0,ACCORDIAN,lock_chamber,TI,SM,SMO_Lo,1.7473,NR,NR,NR,999.0000
47,2,5,52.8116,9.7603,TI_4,threat,0,TROLLEY,television_studio,TO,SM,SMI_Lo,1.9097,NR,NR,NR,999.0000
48,2,6,62.6025,9.9223,TO_4,threat,0,TORNADO,landing_deck,TO,H,HO_Hi,1.7967,NR,NR,NR,999.0000
49,2,7,72.5558,9.9097,TO_2,threat,0,FENCE,iceberg,F,M,MI,1.2530,NR,NR,NR,999.0000
50,2,8,82.4956,11.2672,F,threat,0,SEAL,foil,F,CR,CR,2.2301,NR,NR,NR,999.0000
51,2,9,93.7938,9.7523,TI_4,threat,0,COFFEE,clothing_store,F,M,MI,3.7524,NR,NR,NR,999.0000
52,2,10,103.5772,9.3729,TI_2,threat,0,HIGHWAY,attic,F,M,MI,3.0132,NR,NR,NR,999.0000
53,2,11,112.9807,9.4188,F,threat,0,SPONGE,foil,F,CR,CR,3.0186,NR,NR,NR,999.0000
54,2,12,122.4300,11.6793,F,threat,0,QUARTER,foil,F,CR,CR,3.1044,NR,NR,NR,999.0000
55,2,13,134.1406,10.5511,TO_2,threat,0,BRAIN,butte,F,M,MI,2.0842,NR,NR,NR,999.0000
56,2,14,144.7223,9.6332,TI_4,threat,0,PEARL,bus_interior,TO,SM,SMI_Lo,2.7521,NR,NR,NR,999.0000
57,2,15,154.3858,9.2523,TI_4,threat,0,OWL,supermarket,F,M,MI,3.6213,NR,NR,NR,999.0000
58,2,16,163.6714,11.8030,TI_2,threat,1,UMBRELLA,art_studio,TI,H,HI_Lo,0.0960,NR,NR,NR,999.0000
59,2,17,175.5047,10.6519,F,threat,0,STOMACH,foil,F,CR,CR,1.6203,NR,NR,NR,999.0000
60,2,18,186.1875,9.9312,TI_2,threat,0,DESK,beauty_salon,TI,H,HI_Lo,3.1038,NR,NR,NR,999.0000
61,2,19,196.1493,11.3360,F,threat,0,TIGER,foil,F,CR,CR,1.2899,NR,NR,NR,999.0000
62,2,20,207.5160,12.3272,F,threat,0,MOUSE,foil,TO,FA,FAO_Lo,1.8527,NR,NR,NR,999.0000
63,2,21,219.8746,9.6849,TI_4,threat,0,TWEEZERS,fastfood_restaurant,F,M,MI,1.9372,NR,NR,NR,999.0000
64,2,22,229.5899,10.0946,TO_2,threat,0,WHIP,construction_site,TO,H,HO_Lo,2.4840,NR,NR,NR,999.0000
65,2,23,239.7157,9.1144,TI_2,threat,0,RUDDER,kitchenette,TO,SM,SMI_Lo,2.5798,NR,NR,NR,999.0000
66,2,24,248.8614,10.7062,TO_4,threat,0,SOAP,putting_green,F,M,MI,1.7913,NR,NR,NR,999.0000
67,2,25,259.5982,9.8962,F,threat,0,GARBAGE,foil,TI,FA,FAI_Lo,1.5688,NR,NR,NR,999.0000
68,2,26,269.5248,10.1063,F,threat,0,ROSARY,foil,F,CR,CR,2.3376,NR,NR,NR,999.0000
69,2,27,279.6625,9.0567,TO_4,threat,0,LETTUCE,phone_booth,TO,H,HO_Lo,3.6962,NR,NR,NR,999.0000
70,2,28,288.7502,11.6185,TI_2,threat,0,TOAST,butchers_shop,TI,H,HI_Lo,1.7924,NR,NR,NR,999.0000
71,2,29,300.4000,10.3719,TO_2,threat,0,OYSTER,hayfield,F,M,MI,3.5026,NR,NR,NR,999.0000
72,2,30,310.8024,10.9938,F,threat,0,PIGEON,foil,F,CR,CR,1.3527,NR,NR,NR,999.0000
73,2,31,321.8269,9.6885,TO_2,threat,0,CANARY,gas_station,TO,H,HO_Lo,2.5936,NR,NR,NR,999.0000
74,2,32,331.5461,9.5363,F,threat,0,SYRUP,foil,F,CR,CR,2.0573,NR,NR,NR,999.0000
75,2,33,341.1143,9.1211,TI_2,threat,0,ALLIGATOR,escalator,F,M,MI,2.1065,NR,NR,NR,999.0000
76,2,34,350.2658,9.2758,F,threat,0,BELL,foil,F,CR,CR,3.0061,NR,NR,NR,999.0000
77,2,35,359.5725,12.3228,TI_4,threat,0,GOAT,candy_store,TI,H,HI_Lo,1.7208,NR,NR,NR,999.0000
78,2,36,371.9270,10.1965,TI_4,threat,0,SCOTCH,bazaar,TI,H,HI_Lo,3.9040,NR,NR,NR,999.0000
79,2,37,382.1543,9.7535,F,threat,0,LION,foil,F,CR,CR,1.3622,NR,NR,NR,999.0000
80,2,38,391.9389,9.3892,TO_4,threat,0,SOUP,palace,F,M,MI,3.0094,NR,NR,NR,999.0000
81,2,39,401.3594,10.5668,F,threat,0,MAP,foil,F,CR,CR,2.3013,NR,NR,NR,999.0000
82,2,40,411.9576,11.1858,TO_4,threat,0,WITCH,crevasse,NR,NR,NR,999.0000,F,M,MI,0.2386
83,2,41,423.1745,9.9859,TO_2,threat,0,BENCH,pasture,F,M,MI,1.9205,TO,H,HO_Hi,3.6510
84,2,42,433.1920,9.1761,TO_2,threat,0,TEETH,rope_bridge,F,M,MI,1.6990,NR,NR,NR,999.0000
85,3,1,12.0052,11.7074,F,safe,0,MUSSEL,foil,F,CR,CR,2.4376,NR,NR,NR,999.0000
86,3,2,23.7453,9.9848,TO_2,safe,0,CAMERA,hot_tub,F,M,MI,1.8838,NR,NR,NR,999.0000
87,3,3,33.7621,9.7602,TO_2,safe,0,SANDAL,oilrig,TI,SM,SMO_Hi,2.5441,NR,NR,NR,999.0000
88,3,4,43.5544,11.2631,TI_4,safe,0,CHEESE,aquarium,F,M,MI,2.3561,NR,NR,NR,999.0000
89,3,5,54.8492,9.2519,TO_4,safe,0,ANT,cabin,TO,H,HO_Hi,1.9726,NR,NR,NR,999.0000
