index,run,trial,onset,duration,cond,subcond,resp,acc,respRT,ISIresp,ISIacc,ISIrespRT
1,1,1,12.0045,1.4965,object,natural,NR,0,999.0000,natural,1,0.1470
2,1,2,13.5857,1.4157,object,natural,NR,0,999.0000,natural,1,0.0872
3,1,3,15.0319,1.4685,object,manmade,natural,0,0.3515,NR,0,999.0000
4,1,4,16.5310,1.4697,object,natural,NR,0,999.0000,manmade,0,0.1589
5,1,5,18.0309,1.4699,object,manmade,NR,0,999.0000,manmade,1,0.0373
6,1,6,19.5321,1.4684,object,natural,natural,1,0.3322,NR,0,999.0000
7,1,7,21.0319,1.4683,object,manmade,natural,0,0.4531,NR,0,999.0000
8,1,8,22.5322,1.4689,object,manmade,NR,0,999.0000,manmade,1,0.1454
9,1,9,24.0336,1.4678,object,manmade,NR,0,999.0000,manmade,1,0.0864
10,1,10,25.5346,1.4659,object,natural,NR,0,999.0000,natural,1,0.0554
11,1,11,27.0443,10.4563,rest,rest,rest,1,999.0000,NR,1,0.0000
12,1,12,37.5502,1.4504,face,female,NR,0,999.0000,female,1,0.0737
13,1,13,39.0503,1.4513,face,male,NR,0,999.0000,male,1,0.0547
14,1,14,40.5375,1.4639,face,female,female,1,0.3366,NR,0,999.0000
15,1,15,42.0369,1.4631,face,male,NR,0,999.0000,male,1,0.0795
16,1,16,43.5371,1.4639,face,female,NR,0,999.0000,female,1,0.0108
17,1,17,45.0378,1.4626,face,female,male,0,0.3769,NR,0,999.0000
18,1,18,46.5385,1.4628,face,female,female,1,0.4469,NR,0,999.0000
19,1,19,48.0394,1.4618,face,male,NR,0,999.0000,male,1,0.0525
20,1,20,49.5406,1.4600,face,male,NR,0,999.0000,male,1,0.0092
21,1,21,51.0406,1.4602,face,male,male,1,0.3368,NR,0,999.0000
22,1,22,52.5439,10.4563,rest,rest,rest,1,999.0000,NR,1,0.0000
23,1,23,63.0588,1.4421,place,outdoor,NR,0,999.0000,outdoor,1,0.4825
24,1,24,64.5608,1.4406,place,indoor,indoor,1,0.3914,NR,0,999.0000
25,1,25,66.0439,1.4568,place,outdoor,NR,0,999.0000,outdoor,1,0.2201
26,1,26,67.5430,1.4573,place,indoor,NR,0,999.0000,indoor,1,0.0992
27,1,27,69.0432,1.4575,place,outdoor,outdoor,1,0.2899,NR,0,999.0000
28,1,28,70.5437,1.4564,place,indoor,NR,0,999.0000,indoor,1,0.0634
29,1,29,72.0449,1.4552,place,indoor,indoor,1,0.3384,NR,0,999.0000
30,1,30,73.5442,1.4560,place,outdoor,NR,0,999.0000,outdoor,1,0.1104
31,1,31,75.0456,1.4547,place,indoor,NR,0,999.0000,indoor,1,0.0228
32,1,32,76.5467,1.4537,place,outdoor,NR,0,999.0000,outdoor,1,0.0048
33,1,33,78.0613,10.4391,rest,rest,rest,1,999.0000,NR,1,0.0000
34,1,34,88.5686,1.4322,place,outdoor,NR,0,999.0000,outdoor,1,0.2338
35,1,35,90.0698,1.4304,place,outdoor,NR,0,999.0000,outdoor,1,0.4544
36,1,36,91.5488,1.4515,place,indoor,NR,0,999.0000,indoor,1,0.1395
37,1,37,93.0494,1.4517,place,indoor,NR,0,999.0000,outdoor,0,0.0608
38,1,38,94.5510,1.4501,place,indoor,NR,0,999.0000,indoor,1,0.1099
39,1,39,96.0507,1.4503,place,outdoor,NR,0,999.0000,outdoor,1,0.2495
40,1,40,97.5521,1.4484,place,indoor,NR,0,999.0000,indoor,1,0.0094
41,1,41,99.0515,1.4496,place,outdoor,outdoor,1,0.4102,NR,0,999.0000
42,1,42,100.5529,1.4482,place,outdoor,NR,0,999.0000,outdoor,1,0.3805
43,1,43,102.0535,1.4475,place,indoor,NR,0,999.0000,indoor,1,0.0196
44,1,44,103.5624,10.4387,rest,rest,rest,1,999.0000,NR,1,0.0000
45,1,45,114.0789,1.4230,object,manmade,NR,0,999.0000,manmade,1,0.2827
46,1,46,115.5804,1.4213,object,natural,natural,1,0.3824,NR,0,999.0000
47,1,47,117.0565,1.4439,object,natural,NR,0,999.0000,natural,1,0.0389
48,1,48,118.5556,1.4446,object,manmade,NR,0,999.0000,manmade,1,0.1596
49,1,49,120.0567,1.4438,object,natural,NR,0,999.0000,natural,1,0.3704
50,1,50,121.5577,1.4424,object,natural,NR,0,999.0000,manmade,0,0.0033
51,1,51,123.0577,1.4435,object,natural,natural,1,0.4243,NR,0,999.0000
52,1,52,124.5587,1.4414,object,manmade,NR,0,999.0000,manmade,1,0.1968
53,1,53,126.0585,1.4419,object,manmade,NR,0,999.0000,manmade,1,0.1167
54,1,54,127.5599,1.4404,object,manmade,NR,0,999.0000,manmade,1,0.1590
55,1,55,129.0792,10.4209,rest,rest,rest,1,999.0000,NR,1,0.0000
56,1,56,139.5873,1.4143,face,male,NR,0,999.0000,male,1,0.2143
57,1,57,141.0900,1.4114,face,male,NR,0,999.0000,male,1,0.1259
58,1,58,142.5629,1.4378,face,male,female,0,0.3605,NR,0,999.0000
59,1,59,144.0618,1.4386,face,female,male,0,0.2888,NR,0,999.0000
60,1,60,145.5630,1.4376,face,female,female,1,0.4190,NR,0,999.0000
61,1,61,147.0630,1.4374,face,female,NR,0,999.0000,female,1,0.0507
62,1,62,148.5652,1.4351,face,male,NR,0,999.0000,male,1,0.1416
63,1,63,150.0649,1.4365,face,female,female,1,0.3773,NR,0,999.0000
64,1,64,151.5659,1.4354,face,female,NR,0,999.0000,female,1,0.0216
65,1,65,153.0663,1.4339,face,male,male,1,0.3959,NR,0,999.0000
66,1,66,154.5797,10.4215,rest,rest,rest,1,999.0000,NR,1,0.0000
67,1,67,165.0982,1.4025,face,female,NR,0,999.0000,female,1,0.1154
68,1,68,166.5986,1.4018,face,male,NR,0,999.0000,male,1,0.0810
