index	block	miniblock	category	subcategory	imgID	imgFile
1	1	1	object	manmade	object23	1.36_Adayplanner.jpg
2	1	1	object	natural	object78	ALEAF2.jpg
3	1	1	object	natural	object45	AALMOND1.jpg
4	1	1	object	manmade	object36	1.61_bait04.jpg
5	1	1	object	natural	object61	ASEASHE17.jpg
6	1	1	object	manmade	object6	0.82_AANTICUP4.jpg
7	1	1	object	natural	object54	Ablossom.jpg
8	1	1	object	manmade	object17	1.07_B_stapler.jpg
9	1	1	object	natural	object72	126a.jpg
10	1	1	object	manmade	object4	0.75_Abinoculars5.jpg
11	1	0	rest	rest	rest	rest
12	1	2	face	female	face77	TMWfemale22neutral.jpg
13	1	2	face	male	face23	Wmale_22neutral.jpg
14	1	2	face	male	face2	WWmale20-1neutral.jpg
15	1	2	face	female	face57	TSFWfemale34neutral.jpg
16	1	2	face	male	face19	WWmale23neutral.jpg
17	1	2	face	male	face15	WWmale23-4neutral.jpg
18	1	2	face	female	face72	TMWfemale19-3neutral.jpg
19	1	2	face	male	face34	TSFWmale37neutral.jpg
20	1	2	face	female	face43	WWfemale20-4neutral.jpg
21	1	2	face	female	face62	TSFWfemale52-2neutral.jpg
22	1	0	rest	rest	rest	rest
23	1	3	face	female	face61	TSFWfemale51neutral.jpg
24	1	3	face	female	face46	WWfemale21neutral.jpg
25	1	3	face	male	face28	Wmale_55-3neutral.jpg
26	1	3	face	female	face48	WWfemale22-3neutral.jpg
27	1	3	face	male	face1	WWmale19neutral.jpg
28	1	3	face	male	face20	WWmale24neutral.jpg
29	1	3	face	female	face74	TMWfemale20neutral.jpg
30	1	3	face	female	face63	TSFWfemale52neutral.jpg
31	1	3	face	male	face13	WWmale23-2neutral.jpg
32	1	3	face	male	face29	Wmale_55neutral.jpg
33	1	0	rest	rest	rest	rest
34	1	4	object	natural	object51	Aberries5.jpg
35	1	4	object	manmade	object7	0.86_Acompas19.jpg
36	1	4	object	natural	object44	AACORN2.jpg
37	1	4	object	natural	object48	AARTIVE8.jpg
38	1	4	object	natural	object57	ACAROSLI2.jpg
39	1	4	object	natural	object65	003a.jpg
40	1	4	object	manmade	object24	1.37_Askigoggles10.jpg
41	1	4	object	manmade	object5	0.80_corkscrew02.jpg
42	1	4	object	manmade	object35	1.55_Acalculator12.jpg
43	1	4	object	manmade	object9	0.96_Athimble2.jpg
44	1	0	rest	rest	rest	rest
45	1	5	object	manmade	object15	1.01_funnel.jpg
46	1	5	object	natural	object56	ACANTELOP.jpg
47	1	5	object	manmade	object21	1.26_ABADBIRDY.jpg
48	1	5	object	natural	object66	002a.jpg
49	1	5	object	natural	object69	040a.jpg
50	1	5	object	manmade	object32	1.48_wristwatch.jpg
51	1	5	object	manmade	object8	0.93_Aductta15.jpg
52	1	5	object	manmade	object27	1.45_A70ssunglass3.jpg
53	1	5	object	natural	object71	117a.jpg
54	1	5	object	natural	object64	banana.jpg
55	1	0	rest	rest	rest	rest
56	1	6	place	indoor	place8	sun_aarrrtwbudejifln.jpg
57	1	6	place	indoor	place5	sun_akuyjjtcvufniosb.jpg
58	1	6	place	outdoor	place41	sun_aaalbzqrimafwbiv.jpg
59	1	6	place	outdoor	place74	sun_anvtesjyqmeqcyvv.jpg
60	1	6	place	outdoor	place72	sun_alzkzywxnedlhmim.jpg
61	1	6	place	outdoor	place49	sun_abpohapclcyuuzca.jpg
62	1	6	place	outdoor	place44	sun_aanagevlfvqgaiju.jpg
63	1	6	place	indoor	place12	sun_afbwnojpqeyzssoe.jpg
64	1	6	place	indoor	place1	sun_agsnlmcahkaccnjq.jpg
65	1	6	place	indoor	place4	sun_addgddyzsxwcajet.jpg
66	1	0	rest	rest	rest	rest
67	1	7	place	indoor	place36	sun_apfvvwlewcjxdowt.jpg
68	1	7	place	outdoor	place50	sun_abumagbrnbjdmhzd.jpg
69	1	7	place	outdoor	place58	sun_adhnoxscoslxsjgv.jpg
70	1	7	place	outdoor	place57	sun_aczhoifcpordydap.jpg
71	1	7	place	outdoor	place47	sun_abaurduclrugbugf.jpg
72	1	7	place	indoor	place29	sun_aglqunwuycxydmyu.jpg
73	1	7	place	indoor	place10	sun_afmwfbbfbsxrjxnt.jpg
74	1	7	place	indoor	place20	sun_akguqnwcvdppseuq.jpg
75	1	7	place	indoor	place32	sun_afksconlmomfievh.jpg
76	1	7	place	outdoor	place69	sun_ajgxdqhnxerezgzx.jpg
77	1	0	rest	rest	rest	rest
78	1	8	object	natural	object67	006c.jpg
79	1	8	object	manmade	object10	0.98_Arollofstrin2.jpg
80	1	8	object	natural	object47	AARTIVE6.jpg
81	1	8	object	manmade	object16	1.05_B_coffee.jpg
82	1	8	object	natural	object70	110a.jpg
83	1	8	object	manmade	object39	1.96_Acoathanger4.jpg
84	1	8	object	natural	object76	Acantaloupe4.jpg
85	1	8	object	manmade	object29	1.45_dustpan02.jpg
86	1	8	object	manmade	object22	1.29_ASERVICEB.jpg
87	1	8	object	natural	object58	ACEDAR.jpg
88	1	0	rest	rest	rest	rest
89	1	9	face	male	face32	TSFWmale22neutral.jpg
90	1	9	face	female	face70	TMWfemale18neutral.jpg
91	1	9	face	male	face3	WWmale20-2neutral.jpg
92	1	9	face	female	face69	TMWfemale18-4neutral.jpg
93	1	9	face	male	face5	WWmale21-2neutral.jpg
94	1	9	face	female	face50	WWfemale22-5neutral.jpg
95	1	9	face	male	face33	TSFWmale23neutral.jpg
96	1	9	face	female	face80	TMWfemale23neutral.jpg
97	1	9	face	male	face27	Wmale_55-2neutral.jpg
98	1	9	face	female	face53	WWfemale27neutral.jpg
99	1	0	rest	rest	rest	rest
100	1	10	place	outdoor	place76	sun_avmhlescecjjosib.jpg
101	1	10	place	outdoor	place66	sun_agtqhhwxjeuxdebe.jpg
102	1	10	place	outdoor	place60	sun_adstiwlwupkqzlwc.jpg
103	1	10	place	indoor	place22	sun_aclfzgynxzxlbepz.jpg
104	1	10	place	indoor	place16	sun_bmqtxhjuqbhoxszk.jpg
105	1	10	place	outdoor	place52	sun_acccbclgbgylfhgf.jpg
106	1	10	place	indoor	place15	sun_bfcjqflixwbkxcyw.jpg
107	1	10	place	outdoor	place46	sun_aazepdqhrojqunox.jpg
108	1	10	place	indoor	place30	sun_abnkymhstjyvjkuo.jpg
109	1	10	place	indoor	place6	sun_abaprzfiorwddcof.jpg
110	1	0	rest	rest	rest	rest
111	1	11	face	male	face39	TSFWmale57neutral.jpg
112	1	11	face	female	face64	TSFWfemale54neutral.jpg
113	1	11	face	male	face11	WWmale22-4neutral.jpg
114	1	11	face	male	face18	WWmale23-7neutral.jpg
115	1	11	face	male	face16	WWmale23-5neutral.jpg
116	1	11	face	female	face68	TMWfemale18-3neutral.jpg
117	1	11	face	female	face51	WWfemale22neutral.jpg
118	1	11	face	female	face66	TSFWfemale58neutral.jpg
119	1	11	face	female	face42	WWfemale20-3neutral.jpg
120	1	11	face	male	face9	WWmale22-2neutral.jpg
121	1	0	rest	rest	rest	rest
122	1	12	place	indoor	place11	sun_aazxoikkoxmptssh.jpg
123	1	12	place	indoor	place9	sun_acnnlxlsowybowsy.jpg
124	1	12	place	outdoor	place54	sun_acprpfnzampmxfib.jpg
