index	block	cond	shockCond	shockTrial	term	ForS	condID	wordID	wordName	imgID	imgName	imgFile	imgType	subType	repType
1	1	TO_4	threat	0	TO_4	Outdoor	WO_8	W119	wwLIME	Outdoor62	heliport	outdoor_heliport.jpg	outdoor	manmade	4
2	1	TI_4	threat	0	TI_4	Indoor	WI_8	W59	wwSNOW	Indoor118	toyshop	indoor_toyshop.jpg	indoor	indoor	4
3	1	F	threat	1	F	FOIL	F_4	W176	wwHIGHWAY	FOIL	FOIL	FOIL	FOIL	FOIL	0
4	1	F	threat	0	F	FOIL	F_12	W38	wwTOBACCO	FOIL	FOIL	FOIL	FOIL	FOIL	0
5	1	TO_4	threat	0	TO_4	Outdoor	WO_2	W217	wwARROW	Outdoor118	rock_arch	outdoor_rock_arch.jpg	outdoor	natural	4
6	1	TI_4	threat	0	TI_4	Indoor	WI_4	W10	wwOYSTER	Indoor98	pulpit	indoor_pulpit.jpg	indoor	indoor	4
7	1	TO_2	threat	0	TO_2	Outdoor	WO_3	W238	wwCORAL	Outdoor75	islet	outdoor_islet.jpg	outdoor	natural	2
8	1	TO_2	threat	0	TO_2	Outdoor	WO_1	W114	wwBUTTER	Outdoor71	ice_shelf	outdoor_ice_shelf.jpg	outdoor	natural	2
9	1	F	threat	0	F	FOIL	F_13	W70	wwRICE	FOIL	FOIL	FOIL	FOIL	FOIL	0
10	1	F	threat	0	F	FOIL	F_8	W247	wwFENCE	FOIL	FOIL	FOIL	FOIL	FOIL	0
11	1	F	threat	0	F	FOIL	F_6	W109	wwFIRE	FOIL	FOIL	FOIL	FOIL	FOIL	0
12	1	TI_4	threat	0	TI_4	Indoor	WI_6	W186	wwTURTLE	Indoor36	car_interior	indoor_car_interior.jpg	indoor	indoor	4
13	1	TI_2	threat	0	TI_2	Indoor	WI_3	W1	wwSCROLL	Indoor88	museum	indoor_museum.jpg	indoor	indoor	2
14	1	F	threat	0	F	FOIL	F_5	W113	wwFORK	FOIL	FOIL	FOIL	FOIL	FOIL	0
15	1	TO_4	threat	0	TO_4	Outdoor	WO_10	W36	wwDAISY	Outdoor20	bridge	outdoor_bridge.jpg	outdoor	manmade	4
16	1	F	threat	0	F	FOIL	F_7	W207	wwLAMP	FOIL	FOIL	FOIL	FOIL	FOIL	0
17	1	TI_2	threat	0	TI_2	Indoor	WI_5	W110	wwSANDAL	Indoor69	ice_skating_rink	indoor_ice_skating_rink.jpg	indoor	indoor	2
18	1	TI_4	threat	0	TI_4	Indoor	WI_12	W44	wwGEESE	Indoor16	ball_pit	indoor_ball_pit.jpg	indoor	indoor	4
19	1	TO_4	threat	0	TO_4	Outdoor	WO_4	W120	wwGORILLA	Outdoor10	baseball_field	outdoor_baseball_field.jpg	outdoor	manmade	4
20	1	F	threat	0	F	FOIL	F_9	W81	wwCHERRY	FOIL	FOIL	FOIL	FOIL	FOIL	0
21	1	TO_2	threat	0	TO_2	Outdoor	WO_7	W154	wwMOUSE	Outdoor108	playground	outdoor_playground.jpg	outdoor	natural	2
22	1	TO_4	threat	0	TO_4	Outdoor	WO_14	W223	wwLETTUCE	Outdoor106	phone_booth	outdoor_phone_booth.jpg	outdoor	manmade	4
23	1	TI_2	threat	0	TI_2	Indoor	WI_1	W33	wwENVELOPE	Indoor37	casino	indoor_casino.jpg	indoor	indoor	2
24	1	TI_2	threat	0	TI_2	Indoor	WI_13	W68	wwMEDICINE	Indoor93	optician	indoor_optician.jpg	indoor	indoor	2
25	1	TI_4	threat	0	TI_4	Indoor	WI_14	W160	wwPIANO	Indoor10	attic	indoor_attic.jpg	indoor	indoor	4
