index	block	cond	shockCond	shockTrial	term	ForS	condID	wordID	wordName	imgID	imgName	imgFile	imgType	subType	repType
1	1	F	threat	0	F	FOIL	F_10	W145	wwBIBLE	FOIL	FOIL	FOIL	FOIL	FOIL	0
2	1	TO_2	threat	0	TO_2	Outdoor	WO_1	W66	wwSHARK	Outdoor94	office_building	outdoor_office_building.jpg	outdoor	manmade	2
3	1	TI_2	threat	0	TI_2	Indoor	WI_1	W43	wwOTTER	Indoor55	drugstore	indoor_drugstore.jpg	indoor	indoor	2
4	1	TO_2	threat	0	TO_2	Outdoor	WO_13	W201	wwASPIRIN	Outdoor3	aqueduct	outdoor_aqueduct.jpg	outdoor	natural	2
5	1	TO_2	threat	0	TO_2	Outdoor	WO_9	W238	wwCORAL	Outdoor7	balcony	outdoor_balcony.jpg	outdoor	manmade	2
6	1	F	threat	0	F	FOIL	F_5	W156	wwMUFFIN	FOIL	FOIL	FOIL	FOIL	FOIL	0
7	1	F	threat	0	F	FOIL	F_1	W164	wwPASSPORT	FOIL	FOIL	FOIL	FOIL	FOIL	0
8	1	TI_2	threat	0	TI_2	Indoor	WI_9	W189	wwSCORPION	Indoor38	catacomb	indoor_catacomb.jpg	indoor	indoor	2
9	1	F	threat	0	F	FOIL	F_13	W160	wwPIANO	FOIL	FOIL	FOIL	FOIL	FOIL	0
10	1	F	threat	0	F	FOIL	F_11	W161	wwPANTS	FOIL	FOIL	FOIL	FOIL	FOIL	0
11	1	TO_2	threat	0	TO_2	Outdoor	WO_3	W72	wwTYPEWRITER	Outdoor51	forest_path	outdoor_forest_path.jpg	outdoor	natural	2
12	1	TO_4	threat	0	TO_4	Outdoor	WO_2	W109	wwFIRE	Outdoor36	creek	outdoor_creek.jpg	outdoor	natural	4
13	1	TO_4	threat	0	TO_4	Outdoor	WO_14	W240	wwTABLE	Outdoor38	crosswalk	outdoor_crosswalk.jpg	outdoor	manmade	4
14	1	TI_2	threat	0	TI_2	Indoor	WI_7	W242	wwPOSTER	Indoor37	casino	indoor_casino.jpg	indoor	indoor	2
15	1	TO_4	threat	0	TO_4	Outdoor	WO_4	W228	wwSCREWDRIVER	Outdoor85	marsh	outdoor_marsh.jpg	outdoor	natural	4
16	1	F	threat	0	F	FOIL	F_9	W163	wwROSE	FOIL	FOIL	FOIL	FOIL	FOIL	0
17	1	F	threat	0	F	FOIL	F_2	W89	wwBOAT	FOIL	FOIL	FOIL	FOIL	FOIL	0
18	1	TO_2	threat	0	TO_2	Outdoor	WO_7	W171	wwSARDINE	Outdoor11	basilica	outdoor_basilica.jpg	outdoor	manmade	2
19	1	TI_2	threat	0	TI_2	Indoor	WI_13	W162	wwDESK	Indoor3	apse	indoor_apse.jpg	indoor	indoor	2
